Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12260,SDAH DURONTO,BIKANER JN,BKN,5,ER
12260,SDAH DURONTO,SRI DUNGARGARH,SDGH,14,ER
12260,SDAH DURONTO,RATANGARH JN,RTGH,19,ER
12260,SDAH DURONTO,CHURU,CUR,23,ER
12260,SDAH DURONTO,SADULPUR JN,SDLP,23,ER
12260,SDAH DURONTO,LOHARU,LHU,24,ER
12260,SDAH DURONTO,NEW DELHI,NDLS,24,ER
12260,SDAH DURONTO,KANPUR CENTRAL,CNB,83,ER
12260,SDAH DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,110,ER
12260,SDAH DURONTO,KODERMA,KQR,130,ER
12260,SDAH DURONTO,DHANBAD JN,DHN,139,ER
12260,SDAH DURONTO,SEALDAH,SDAH,127,ER
