Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01223,ERS DURONTO SPL,,,,
09231,HAPA DURONTO SPL,,,,
09232,MMCT DURONTO SPL,,,,
12213,DURONTO EXPRESS,YESVANTPUR JN,YPR,3,SWR
12213,DURONTO EXPRESS,GUNTAKAL JN,GTL,9,SWR
12213,DURONTO EXPRESS,SECUNDERABAD JN,SC,40,SWR
12213,DURONTO EXPRESS,BALHARSHAH,BPQ,64,SWR
12213,DURONTO EXPRESS,NAGPUR,NGP,85,SWR
12213,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,60,SWR
12213,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,87,SWR
12213,DURONTO EXPRESS,DELHI S ROHILLA,DEE,91,SWR
12214,YPR DURONTO EXP,DELHI S ROHILLA,DEE,1,SWR
12214,YPR DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,10,SWR
12214,YPR DURONTO EXP,RANI KAMLAPATI,RKMP,28,SWR
12214,YPR DURONTO EXP,NAGPUR,NGP,41,SWR
12214,YPR DURONTO EXP,BALHARSHAH,BPQ,31,SWR
12214,YPR DURONTO EXP,SECUNDERABAD JN,SC,83,SWR
12214,YPR DURONTO EXP,GUNTAKAL JN,GTL,110,SWR
12214,YPR DURONTO EXP,YESVANTPUR JN,YPR,43,SWR
12219,SC DURONTO EXP,LOKMANYATILAK T,LTT,5,CR
12219,SC DURONTO EXP,PUNE JN,PUNE,42,CR
12219,SC DURONTO EXP,SOLAPUR JN,SUR,32,CR
12219,SC DURONTO EXP,WADI,WADI,21,CR
12219,SC DURONTO EXP,SECUNDERABAD JN,SC,10,CR
12220,DURONTO AC EXP,SECUNDERABAD JN,SC,12,CR
12220,DURONTO AC EXP,WADI,WADI,41,CR
12220,DURONTO AC EXP,SOLAPUR JN,SUR,38,CR
12220,DURONTO AC EXP,PUNE JN,PUNE,29,CR
12220,DURONTO AC EXP,LOKMANYATILAK T,LTT,22,CR
12221,HOWRAH DURONTO,PUNE JN,PUNE,12,CR
12221,HOWRAH DURONTO,DAUND CHORD LINE,DDCC,33,CR
12221,HOWRAH DURONTO,MANMAD JN,MMR,20,CR
12221,HOWRAH DURONTO,BHUSAVAL JN,BSL,25,CR
12221,HOWRAH DURONTO,NAGPUR,NGP,18,CR
12221,HOWRAH DURONTO,RAIPUR JN,R,20,CR
12221,HOWRAH DURONTO,BILASPUR JN,BSP,22,CR
12221,HOWRAH DURONTO,TATANAGAR JN,TATA,200,CR
12221,HOWRAH DURONTO,HOWRAH JN,HWH,244,CR
12222,HWH PUNE DURONTO,HOWRAH JN,HWH,254,CR
12222,HWH PUNE DURONTO,TATANAGAR JN,TATA,304,CR
12222,HWH PUNE DURONTO,BILASPUR JN,BSP,460,CR
12222,HWH PUNE DURONTO,RAIPUR JN,R,476,CR
12222,HWH PUNE DURONTO,NAGPUR,NGP,482,CR
12222,HWH PUNE DURONTO,BHUSAVAL JN,BSL,531,CR
12222,HWH PUNE DURONTO,MANMAD JN,MMR,531,CR
12222,HWH PUNE DURONTO,DAUND CHORD LINE,DDCC,522,CR
12222,HWH PUNE DURONTO,PUNE JN,PUNE,476,CR
12223,LTT ERS DURONTO,LOKMANYATILAK T,LTT,6,CR
12223,LTT ERS DURONTO,PANVEL,PNVL,18,CR
12223,LTT ERS DURONTO,RATNAGIRI,RN,66,CR
12223,LTT ERS DURONTO,MADGAON,MAO,59,CR
12223,LTT ERS DURONTO,MANGALORE JN,MAJN,33,CR
12223,LTT ERS DURONTO,KOZHIKODE,CLT,37,CR
12223,LTT ERS DURONTO,ERNAKULAM JN,ERS,8,CR
12224,ERS LTT DURONTO,ERNAKULAM JN,ERS,19,CR
12224,ERS LTT DURONTO,KOZHIKODE,CLT,37,CR
12224,ERS LTT DURONTO,MANGALORE JN,MAJN,29,CR
12224,ERS LTT DURONTO,MADGAON,MAO,61,CR
12224,ERS LTT DURONTO,RATNAGIRI,RN,75,CR
12224,ERS LTT DURONTO,PANVEL,PNVL,51,CR
12224,ERS LTT DURONTO,LOKMANYATILAK T,LTT,33,CR
12227,INDORE DURONTO,MUMBAI CENTRAL,MMCT,1,WR
12227,INDORE DURONTO,VADODARA JN,BRC,8,WR
12227,INDORE DURONTO,RATLAM JN,RTM,8,WR
12227,INDORE DURONTO,UJJAIN JN,UJN,6,WR
12228,MUMBAI DURONTO,INDORE JN BG,INDB,1,WR
12228,MUMBAI DURONTO,UJJAIN JN,UJN,11,WR
12228,MUMBAI DURONTO,RATLAM JN,RTM,9,WR
12228,MUMBAI DURONTO,VADODARA JN,BRC,5,WR
12228,MUMBAI DURONTO,MUMBAI CENTRAL,MMCT,14,WR
12239,HISAR DURONTO,MUMBAI CENTRAL,MMCT,1,WR
12239,HISAR DURONTO,VADODARA JN,BRC,8,WR
12239,HISAR DURONTO,RATLAM JN,RTM,5,WR
12239,HISAR DURONTO,KOTA JN,KOTA,7,WR
12239,HISAR DURONTO,SAWAI MADHOPUR,SWM,9,WR
12239,HISAR DURONTO,JAIPUR,JP,21,WR
12239,HISAR DURONTO,RINGAS JN,RGS,26,WR
12239,HISAR DURONTO,SIKAR JN,SIKR,14,WR
12239,HISAR DURONTO,JHUNJHUNUN,JJN,15,WR
12239,HISAR DURONTO,LOHARU,LHU,5,WR
12239,HISAR DURONTO,SADULPUR JN,SDLP,15,WR
12240,HSR MMCT DURONTO,HISAR,HSR,3,WR
12240,HSR MMCT DURONTO,SADULPUR JN,SDLP,6,WR
12240,HSR MMCT DURONTO,LOHARU,LHU,1,WR
12240,HSR MMCT DURONTO,JHUNJHUNUN,JJN,1,WR
12240,HSR MMCT DURONTO,SIKAR JN,SIKR,6,WR
12240,HSR MMCT DURONTO,RINGAS JN,RGS,5,WR
12240,HSR MMCT DURONTO,JAIPUR,JP,10,WR
12240,HSR MMCT DURONTO,SAWAI MADHOPUR,SWM,5,WR
12240,HSR MMCT DURONTO,KOTA JN,KOTA,8,WR
12240,HSR MMCT DURONTO,RATLAM JN,RTM,5,WR
12240,HSR MMCT DURONTO,VADODARA JN,BRC,7,WR
12240,HSR MMCT DURONTO,MUMBAI CENTRAL,MMCT,9,WR
12245,HWH SMVB DURONTO,HOWRAH JN,HWH,25,SER
12245,HWH SMVB DURONTO,BHUBANESWAR,BBS,84,SER
12245,HWH SMVB DURONTO,VIZIANAGRAM JN,VZM,55,SER
12245,HWH SMVB DURONTO,VIJAYAWADA JN,BZA,59,SER
12245,HWH SMVB DURONTO,RENIGUNTA JN,RU,47,SER
12245,HWH SMVB DURONTO,SMVT BENGALURU,SMVB,56,SER
12246,DURONTO EXPRESS,SMVT BENGALURU,SMVB,5,SER
12246,DURONTO EXPRESS,RENIGUNTA JN,RU,11,SER
12246,DURONTO EXPRESS,VIJAYAWADA JN,BZA,17,SER
12246,DURONTO EXPRESS,VIZIANAGRAM JN,VZM,10,SER
12246,DURONTO EXPRESS,BHUBANESWAR,BBS,35,SER
12246,DURONTO EXPRESS,HOWRAH JN,HWH,30,SER
12259,BKN DURONTO EXP,SEALDAH,SDAH,0,ER
12259,BKN DURONTO EXP,DHANBAD JN,DHN,5,ER
12259,BKN DURONTO EXP,KODERMA,KQR,21,ER
12259,BKN DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,14,ER
12259,BKN DURONTO EXP,KANPUR CENTRAL,CNB,49,ER
12259,BKN DURONTO EXP,NEW DELHI,NDLS,77,ER
12259,BKN DURONTO EXP,LOHARU,LHU,102,ER
12259,BKN DURONTO EXP,SADULPUR JN,SDLP,105,ER
12259,BKN DURONTO EXP,CHURU,CUR,109,ER
12259,BKN DURONTO EXP,RATANGARH JN,RTGH,122,ER
12259,BKN DURONTO EXP,SRI DUNGARGARH,SDGH,124,ER
12259,BKN DURONTO EXP,BIKANER JN,BKN,87,ER
12260,SDAH DURONTO,BIKANER JN,BKN,5,ER
12260,SDAH DURONTO,SRI DUNGARGARH,SDGH,14,ER
12260,SDAH DURONTO,RATANGARH JN,RTGH,19,ER
12260,SDAH DURONTO,CHURU,CUR,23,ER
12260,SDAH DURONTO,SADULPUR JN,SDLP,23,ER
12260,SDAH DURONTO,LOHARU,LHU,24,ER
12260,SDAH DURONTO,NEW DELHI,NDLS,24,ER
12260,SDAH DURONTO,KANPUR CENTRAL,CNB,83,ER
12260,SDAH DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,110,ER
12260,SDAH DURONTO,KODERMA,KQR,130,ER
12260,SDAH DURONTO,DHANBAD JN,DHN,139,ER
12260,SDAH DURONTO,SEALDAH,SDAH,127,ER
12261,HOWRAH DURONTO,C SHIVAJI TERM MUMBAI,CSMT,193,SER
12261,HOWRAH DURONTO,KALYAN JN,KYN,228,SER
12261,HOWRAH DURONTO,BHUSAVAL JN,BSL,269,SER
12261,HOWRAH DURONTO,NAGPUR,NGP,264,SER
12261,HOWRAH DURONTO,RAIPUR JN,R,263,SER
12261,HOWRAH DURONTO,BILASPUR JN,BSP,270,SER
12261,HOWRAH DURONTO,TATANAGAR JN,TATA,457,SER
12261,HOWRAH DURONTO,HOWRAH JN,HWH,515,SER
12262,HWH CSTM DURONTO,HOWRAH JN,HWH,110,SER
12262,HWH CSTM DURONTO,TATANAGAR JN,TATA,141,SER
12262,HWH CSTM DURONTO,BILASPUR JN,BSP,291,SER
12262,HWH CSTM DURONTO,RAIPUR JN,R,298,SER
12262,HWH CSTM DURONTO,NAGPUR,NGP,299,SER
12262,HWH CSTM DURONTO,BHUSAVAL JN,BSL,353,SER
12262,HWH CSTM DURONTO,KALYAN JN,KYN,381,SER
12262,HWH CSTM DURONTO,C SHIVAJI TERM MUMBAI,CSMT,340,SER
12263,NZM DURONTO EXP,PUNE JN,PUNE,19,NR
12263,NZM DURONTO EXP,VASAI ROAD,BSR,32,NR
12263,NZM DURONTO EXP,SURAT,ST,36,NR
12263,NZM DURONTO EXP,VADODARA JN,BRC,41,NR
12263,NZM DURONTO EXP,RATLAM JN,RTM,39,NR
12263,NZM DURONTO EXP,KOTA JN,KOTA,36,NR
12263,NZM DURONTO EXP,H NIZAMUDDIN,NZM,42,NR
12264,PUNE DURONTO EXP,H NIZAMUDDIN,NZM,3,NR
12264,PUNE DURONTO EXP,KOTA JN,KOTA,40,NR
12264,PUNE DURONTO EXP,RATLAM JN,RTM,30,NR
12264,PUNE DURONTO EXP,VADODARA JN,BRC,26,NR
12264,PUNE DURONTO EXP,SURAT,ST,27,NR
12264,PUNE DURONTO EXP,VASAI ROAD,BSR,31,NR
12264,PUNE DURONTO EXP,PUNE JN,PUNE,30,NR
12265,DEE JAT DURONTO,DELHI S ROHILLA,DEE,1,NR
12265,DEE JAT DURONTO,LUDHIANA JN,LDH,12,NR
12265,DEE JAT DURONTO,JAMMU TAWI,JAT,15,NR
12266,DURONTO EXPRESS,JAMMU TAWI,JAT,4,NR
12266,DURONTO EXPRESS,LUDHIANA JN,LDH,10,NR
12266,DURONTO EXPRESS,DELHI S ROHILLA,DEE,11,NR
12267,RJT DURONTO EXP,MUMBAI CENTRAL,MMCT,1,WR
12267,RJT DURONTO EXP,AHMEDABAD JN,ADI,5,WR
12267,RJT DURONTO EXP,SURENDRANAGAR JN,SUNR,4,WR
12267,RJT DURONTO EXP,RAJKOT JN,RJT,5,WR
12268,MMCT DURONTO EXP,HAPA,HAPA,3,WR
12268,MMCT DURONTO EXP,RAJKOT JN,RJT,11,WR
12268,MMCT DURONTO EXP,SURENDRANAGAR JN,SUNR,7,WR
12268,MMCT DURONTO EXP,AHMEDABAD JN,ADI,7,WR
12269,DURONTO EXPRESS,CHENNAI CENTRAL,MAS,81,SR
12269,DURONTO EXPRESS,VIJAYAWADA JN,BZA,89,SR
12269,DURONTO EXPRESS,BALHARSHAH,BPQ,121,SR
12269,DURONTO EXPRESS,NAGPUR,NGP,136,SR
12269,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,130,SR
12269,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,149,SR
12269,DURONTO EXPRESS,GWALIOR,GWL,171,SR
12269,DURONTO EXPRESS,H NIZAMUDDIN,NZM,170,SR
12270,MAS DURONTO EXP,H NIZAMUDDIN,NZM,166,SR
12270,MAS DURONTO EXP,GWALIOR,GWL,201,SR
12270,MAS DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,198,SR
12270,MAS DURONTO EXP,RANI KAMLAPATI,RKMP,225,SR
12270,MAS DURONTO EXP,NAGPUR,NGP,244,SR
12270,MAS DURONTO EXP,BALHARSHAH,BPQ,224,SR
12270,MAS DURONTO EXP,VIJAYAWADA JN,BZA,278,SR
12270,MAS DURONTO EXP,CHENNAI CENTRAL,MAS,259,SR
12273,NDLS DURONTO,HOWRAH JN,HWH,7,ER
12273,NDLS DURONTO,ASANSOL JN,ASN,15,ER
12273,NDLS DURONTO,JASIDIH JN,JSME,32,ER
12273,NDLS DURONTO,PATNA JN,PNBE,40,ER
12273,NDLS DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,19,ER
12273,NDLS DURONTO,KANPUR CENTRAL,CNB,58,ER
12273,NDLS DURONTO,NEW DELHI,NDLS,80,ER
12274,HWH DURONTO EXP,NEW DELHI,NDLS,68,ER
12274,HWH DURONTO EXP,KANPUR CENTRAL,CNB,119,ER
12274,HWH DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,141,ER
12274,HWH DURONTO EXP,PATNA JN,PNBE,174,ER
12274,HWH DURONTO EXP,JASIDIH JN,JSME,160,ER
12274,HWH DURONTO EXP,ASANSOL JN,ASN,127,ER
12274,HWH DURONTO EXP,HOWRAH JN,HWH,130,ER
12281,BBS DURONTO EXP,BHUBANESWAR,BBS,38,ECOR
12281,BBS DURONTO EXP,BALASORE,BLS,47,ECOR
12281,BBS DURONTO EXP,ADRA JN,ADRA,67,ECOR
12281,BBS DURONTO EXP,GAYA JN,GAYA,60,ECOR
12281,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,73,ECOR
12281,BBS DURONTO EXP,KANPUR CENTRAL,CNB,127,ECOR
12281,BBS DURONTO EXP,NEW DELHI,NDLS,138,ECOR
12282,BBS DURONTO EXP,NEW DELHI,NDLS,120,ECOR
12282,BBS DURONTO EXP,KANPUR CENTRAL,CNB,177,ECOR
12282,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,212,ECOR
12282,BBS DURONTO EXP,ADRA JN,ADRA,218,ECOR
12282,BBS DURONTO EXP,BALASORE,BLS,231,ECOR
12282,BBS DURONTO EXP,BHUBANESWAR,BBS,211,ECOR
12283,ERS NZM DURONTO,ERNAKULAM JN,ERS,1,NR
12283,ERS NZM DURONTO,KOZHIKODE,CLT,23,NR
12283,ERS NZM DURONTO,MANGALORE JN,MAJN,15,NR
12283,ERS NZM DURONTO,MADGAON,MAO,32,NR
12283,ERS NZM DURONTO,RATNAGIRI,RN,42,NR
12283,ERS NZM DURONTO,PANVEL,PNVL,46,NR
12283,ERS NZM DURONTO,VASAI ROAD,BSR,22,NR
12283,ERS NZM DURONTO,SURAT,ST,15,NR
12283,ERS NZM DURONTO,VADODARA JN,BRC,15,NR
12283,ERS NZM DURONTO,RATLAM JN,RTM,14,NR
12283,ERS NZM DURONTO,KOTA JN,KOTA,12,NR
12283,ERS NZM DURONTO,H NIZAMUDDIN,NZM,38,NR
12284,NZM ERS DURONTO,H NIZAMUDDIN,NZM,3,NR
12284,NZM ERS DURONTO,KOTA JN,KOTA,24,NR
12284,NZM ERS DURONTO,RATLAM JN,RTM,11,NR
12284,NZM ERS DURONTO,VADODARA JN,BRC,12,NR
12284,NZM ERS DURONTO,SURAT,ST,7,NR
12284,NZM ERS DURONTO,VASAI ROAD,BSR,7,NR
12284,NZM ERS DURONTO,PANVEL,PNVL,11,NR
12284,NZM ERS DURONTO,RATNAGIRI,RN,44,NR
12284,NZM ERS DURONTO,MADGAON,MAO,43,NR
12284,NZM ERS DURONTO,MANGALORE JN,MAJN,1,NR
12284,NZM ERS DURONTO,KOZHIKODE,CLT,26,NR
12285,NZM DURONTO EX,SECUNDERABAD JN,SC,38,SCR
12285,NZM DURONTO EX,BALHARSHAH,BPQ,45,SCR
12285,NZM DURONTO EX,NAGPUR,NGP,58,SCR
12285,NZM DURONTO EX,RANI KAMLAPATI,RKMP,53,SCR
12285,NZM DURONTO EX,V LAKSHMIBAI JHANSI,VGLJ,65,SCR
12285,NZM DURONTO EX,H NIZAMUDDIN,NZM,85,SCR
12286,NZM SC DURONTO,H NIZAMUDDIN,NZM,81,SCR
12286,NZM SC DURONTO,V LAKSHMIBAI JHANSI,VGLJ,109,SCR
12286,NZM SC DURONTO,RANI KAMLAPATI,RKMP,143,SCR
12286,NZM SC DURONTO,NAGPUR,NGP,152,SCR
12286,NZM SC DURONTO,BALHARSHAH,BPQ,150,SCR
12286,NZM SC DURONTO,SECUNDERABAD JN,SC,127,SCR
12289,CSMT NGP DURONTO,C SHIVAJI TERM MUMBAI,CSMT,6,CR
12289,CSMT NGP DURONTO,BHUSAVAL JN,BSL,44,CR
12289,CSMT NGP DURONTO,BADNERA JN,BD,36,CR
12289,CSMT NGP DURONTO,NAGPUR,NGP,17,CR
12290,NGP CSMT DURONTO,NAGPUR,NGP,3,CR
12290,NGP CSMT DURONTO,BADNERA JN,BD,15,CR
12290,NGP CSMT DURONTO,BHUSAVAL JN,BSL,29,CR
12290,NGP CSMT DURONTO,DADAR,DR,8,CR
12290,NGP CSMT DURONTO,C SHIVAJI TERM MUMBAI,CSMT,14,CR
12293,ALD DURONTO EXP,LOKMANYATILAK T,LTT,13,CR
12293,ALD DURONTO EXP,BHUSAVAL JN,BSL,41,CR
12293,ALD DURONTO EXP,ITARSI JN,ET,21,CR
12293,ALD DURONTO EXP,JABALPUR,JBP,42,CR
12293,ALD DURONTO EXP,SATNA,STA,56,CR
12293,ALD DURONTO EXP,NAINI,NYN,103,CR
12293,ALD DURONTO EXP,LINK JN CABIN,LKJN,113,CR
12293,ALD DURONTO EXP,PRAYAGRAJ JN,PRYJ,38,CR
12294,ALD LTT DURONTO,PRAYAGRAJ JN,PRYJ,7,CR
12294,ALD LTT DURONTO,NAINI,NYN,38,CR
12294,ALD LTT DURONTO,LINK JN CABIN,LKJN,8,CR
12294,ALD LTT DURONTO,SATNA,STA,53,CR
12294,ALD LTT DURONTO,JABALPUR,JBP,71,CR
12294,ALD LTT DURONTO,ITARSI JN,ET,45,CR
12294,ALD LTT DURONTO,BHUSAVAL JN,BSL,50,CR
12294,ALD LTT DURONTO,LOKMANYATILAK T,LTT,46,CR
12297,PUNE DURONTO,AHMEDABAD JN,ADI,2,CR
12297,PUNE DURONTO,UDHNA JN,UDN,1,CR
12297,PUNE DURONTO,SURAT,ST,2,CR
12297,PUNE DURONTO,VASAI ROAD,BSR,9,CR
12297,PUNE DURONTO,LONAVALA,LNL,27,CR
12297,PUNE DURONTO,PUNE JN,PUNE,10,CR
12298,ADI DURONTO EXP,PUNE JN,PUNE,8,CR
12298,ADI DURONTO EXP,LONAVALA,LNL,9,CR
12298,ADI DURONTO EXP,VASAI ROAD,BSR,10,CR
12298,ADI DURONTO EXP,UDHNA JN,UDN,2,CR
12298,ADI DURONTO EXP,SURAT,ST,10,CR
22201,DURONTO EXPRESS,SEALDAH,SDAH,1,ER
22201,DURONTO EXPRESS,ANDUL,ADL,0,ER
22201,DURONTO EXPRESS,KHARAGPUR JN,KGP,22,ER
22201,DURONTO EXPRESS,BHUBANESWAR,BBS,42,ER
22201,DURONTO EXPRESS,PURI,PURI,30,ER
22202,DURONTO EXPRESS,PURI,PURI,2,ER
22202,DURONTO EXPRESS,BHUBANESWAR,BBS,24,ER
22202,DURONTO EXPRESS,KHARAGPUR JN,KGP,38,ER
22202,DURONTO EXPRESS,KANKURGACHHI ROAD JN,KGK,650,ER
22202,DURONTO EXPRESS,SEALDAH,SDAH,37,ER
22203,SC DURONTO EXP,VISHAKAPATNAM,VSKP,2,ECOR
22203,SC DURONTO EXP,VIJAYAWADA JN,BZA,9,ECOR
22203,SC DURONTO EXP,GUNTUR JN,GNT,17,ECOR
22204,VSKP DURONTO EX,SECUNDERABAD JN,SC,9,ECOR
22204,VSKP DURONTO EX,GUNTUR JN,GNT,40,ECOR
22204,VSKP DURONTO EX,VIJAYAWADA JN,BZA,29,ECOR
22204,VSKP DURONTO EX,VISHAKAPATNAM,VSKP,7,ECOR
22209,NDLS DURONTO EXP,MUMBAI CENTRAL,MMCT,1,WR
22209,NDLS DURONTO EXP,VADODARA JN,BRC,7,WR
22209,NDLS DURONTO EXP,RATLAM JN,RTM,4,WR
22209,NDLS DURONTO EXP,KOTA JN,KOTA,8,WR
22209,NDLS DURONTO EXP,H NIZAMUDDIN,NZM,5,WR
