Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01223,ERS DURONTO SPL,,,,
09231,HAPA DURONTO SPL,,,,
09232,MMCT DURONTO SPL,,,,
12213,DURONTO EXPRESS,YESVANTPUR JN,YPR,2,SWR
12213,DURONTO EXPRESS,GUNTAKAL JN,GTL,6,SWR
12213,DURONTO EXPRESS,SECUNDERABAD JN,SC,47,SWR
12213,DURONTO EXPRESS,BALHARSHAH,BPQ,69,SWR
12213,DURONTO EXPRESS,NAGPUR,NGP,99,SWR
12213,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,90,SWR
12213,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,106,SWR
12213,DURONTO EXPRESS,DELHI S ROHILLA,DEE,75,SWR
12214,YPR DURONTO EXP,DELHI S ROHILLA,DEE,1,SWR
12214,YPR DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,8,SWR
12214,YPR DURONTO EXP,RANI KAMLAPATI,RKMP,17,SWR
12214,YPR DURONTO EXP,NAGPUR,NGP,35,SWR
12214,YPR DURONTO EXP,BALHARSHAH,BPQ,38,SWR
12214,YPR DURONTO EXP,SECUNDERABAD JN,SC,75,SWR
12214,YPR DURONTO EXP,GUNTAKAL JN,GTL,155,SWR
12214,YPR DURONTO EXP,YESVANTPUR JN,YPR,82,SWR
12219,SC DURONTO EXP,LOKMANYATILAK T,LTT,2,CR
12219,SC DURONTO EXP,PUNE JN,PUNE,41,CR
12219,SC DURONTO EXP,SOLAPUR JN,SUR,35,CR
12219,SC DURONTO EXP,WADI,WADI,20,CR
12219,SC DURONTO EXP,SECUNDERABAD JN,SC,5,CR
12220,DURONTO AC EXP,SECUNDERABAD JN,SC,13,CR
12220,DURONTO AC EXP,WADI,WADI,40,CR
12220,DURONTO AC EXP,SOLAPUR JN,SUR,70,CR
12220,DURONTO AC EXP,PUNE JN,PUNE,61,CR
12220,DURONTO AC EXP,LOKMANYATILAK T,LTT,50,CR
12221,HOWRAH DURONTO,PUNE JN,PUNE,53,CR
12221,HOWRAH DURONTO,DAUND CHORD LINE,DDCC,76,CR
12221,HOWRAH DURONTO,MANMAD JN,MMR,67,CR
12221,HOWRAH DURONTO,BHUSAVAL JN,BSL,76,CR
12221,HOWRAH DURONTO,NAGPUR,NGP,65,CR
12221,HOWRAH DURONTO,RAIPUR JN,R,68,CR
12221,HOWRAH DURONTO,BILASPUR JN,BSP,72,CR
12221,HOWRAH DURONTO,TATANAGAR JN,TATA,296,CR
12221,HOWRAH DURONTO,HOWRAH JN,HWH,354,CR
12222,HWH PUNE DURONTO,HOWRAH JN,HWH,228,CR
12222,HWH PUNE DURONTO,TATANAGAR JN,TATA,284,CR
12222,HWH PUNE DURONTO,BILASPUR JN,BSP,481,CR
12222,HWH PUNE DURONTO,RAIPUR JN,R,496,CR
12222,HWH PUNE DURONTO,NAGPUR,NGP,494,CR
12222,HWH PUNE DURONTO,BHUSAVAL JN,BSL,542,CR
12222,HWH PUNE DURONTO,MANMAD JN,MMR,546,CR
12222,HWH PUNE DURONTO,DAUND CHORD LINE,DDCC,556,CR
12222,HWH PUNE DURONTO,PUNE JN,PUNE,444,CR
12223,LTT ERS DURONTO,LOKMANYATILAK T,LTT,1,CR
12223,LTT ERS DURONTO,PANVEL,PNVL,11,CR
12223,LTT ERS DURONTO,RATNAGIRI,RN,69,CR
12223,LTT ERS DURONTO,MADGAON,MAO,24,CR
12223,LTT ERS DURONTO,MANGALORE JN,MAJN,7,CR
12223,LTT ERS DURONTO,KOZHIKODE,CLT,12,CR
12224,ERS LTT DURONTO,ERNAKULAM JN,ERS,2,CR
12224,ERS LTT DURONTO,KOZHIKODE,CLT,8,CR
12224,ERS LTT DURONTO,MANGALORE JN,MAJN,6,CR
12224,ERS LTT DURONTO,MADGAON,MAO,72,CR
12224,ERS LTT DURONTO,RATNAGIRI,RN,85,CR
12224,ERS LTT DURONTO,PANVEL,PNVL,47,CR
12224,ERS LTT DURONTO,LOKMANYATILAK T,LTT,28,CR
12227,INDORE DURONTO,MUMBAI CENTRAL,MMCT,1,WR
12227,INDORE DURONTO,VADODARA JN,BRC,5,WR
12227,INDORE DURONTO,RATLAM JN,RTM,5,WR
12227,INDORE DURONTO,UJJAIN JN,UJN,2,WR
12228,MUMBAI DURONTO,INDORE JN BG,INDB,1,WR
12228,MUMBAI DURONTO,UJJAIN JN,UJN,13,WR
12228,MUMBAI DURONTO,RATLAM JN,RTM,14,WR
12228,MUMBAI DURONTO,VADODARA JN,BRC,3,WR
12228,MUMBAI DURONTO,MUMBAI CENTRAL,MMCT,58,WR
12239,HISAR DURONTO,MUMBAI CENTRAL,MMCT,0,WR
12239,HISAR DURONTO,VADODARA JN,BRC,7,WR
12239,HISAR DURONTO,RATLAM JN,RTM,4,WR
12239,HISAR DURONTO,KOTA JN,KOTA,1,WR
12239,HISAR DURONTO,SAWAI MADHOPUR,SWM,4,WR
12239,HISAR DURONTO,JAIPUR,JP,6,WR
12239,HISAR DURONTO,RINGAS JN,RGS,13,WR
12239,HISAR DURONTO,SIKAR JN,SIKR,9,WR
12239,HISAR DURONTO,JHUNJHUNUN,JJN,14,WR
12239,HISAR DURONTO,LOHARU,LHU,6,WR
12239,HISAR DURONTO,SADULPUR JN,SDLP,12,WR
12240,HSR MMCT DURONTO,HISAR,HSR,1,WR
12240,HSR MMCT DURONTO,SADULPUR JN,SDLP,3,WR
12240,HSR MMCT DURONTO,LOHARU,LHU,0,WR
12240,HSR MMCT DURONTO,JHUNJHUNUN,JJN,0,WR
12240,HSR MMCT DURONTO,SIKAR JN,SIKR,10,WR
12240,HSR MMCT DURONTO,RINGAS JN,RGS,0,WR
12240,HSR MMCT DURONTO,JAIPUR,JP,5,WR
12240,HSR MMCT DURONTO,SAWAI MADHOPUR,SWM,5,WR
12240,HSR MMCT DURONTO,KOTA JN,KOTA,7,WR
12240,HSR MMCT DURONTO,RATLAM JN,RTM,2,WR
12240,HSR MMCT DURONTO,VADODARA JN,BRC,4,WR
12240,HSR MMCT DURONTO,MUMBAI CENTRAL,MMCT,6,WR
12245,HWH SMVB DURONTO,HOWRAH JN,HWH,56,SER
12245,HWH SMVB DURONTO,BHUBANESWAR,BBS,121,SER
12245,HWH SMVB DURONTO,VIZIANAGRAM JN,VZM,101,SER
12245,HWH SMVB DURONTO,VIJAYAWADA JN,BZA,106,SER
12245,HWH SMVB DURONTO,RENIGUNTA JN,RU,88,SER
12245,HWH SMVB DURONTO,SMVT BENGALURU,SMVB,106,SER
12246,DURONTO EXPRESS,SMVT BENGALURU,SMVB,2,SER
12246,DURONTO EXPRESS,RENIGUNTA JN,RU,11,SER
12246,DURONTO EXPRESS,VIJAYAWADA JN,BZA,22,SER
12246,DURONTO EXPRESS,VIZIANAGRAM JN,VZM,13,SER
12246,DURONTO EXPRESS,BHUBANESWAR,BBS,34,SER
12246,DURONTO EXPRESS,HOWRAH JN,HWH,27,SER
12259,BKN DURONTO EXP,SEALDAH,SDAH,1,ER
12259,BKN DURONTO EXP,DHANBAD JN,DHN,1,ER
12259,BKN DURONTO EXP,KODERMA,KQR,14,ER
12259,BKN DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,31,ER
12259,BKN DURONTO EXP,KANPUR CENTRAL,CNB,113,ER
12259,BKN DURONTO EXP,NEW DELHI,NDLS,132,ER
12259,BKN DURONTO EXP,LOHARU,LHU,175,ER
12259,BKN DURONTO EXP,SADULPUR JN,SDLP,181,ER
12259,BKN DURONTO EXP,CHURU,CUR,179,ER
12259,BKN DURONTO EXP,RATANGARH JN,RTGH,196,ER
12259,BKN DURONTO EXP,SRI DUNGARGARH,SDGH,200,ER
12259,BKN DURONTO EXP,BIKANER JN,BKN,147,ER
12260,SDAH DURONTO,BIKANER JN,BKN,10,ER
12260,SDAH DURONTO,SRI DUNGARGARH,SDGH,26,ER
12260,SDAH DURONTO,RATANGARH JN,RTGH,25,ER
12260,SDAH DURONTO,CHURU,CUR,36,ER
12260,SDAH DURONTO,SADULPUR JN,SDLP,36,ER
12260,SDAH DURONTO,LOHARU,LHU,34,ER
12260,SDAH DURONTO,NEW DELHI,NDLS,33,ER
12260,SDAH DURONTO,KANPUR CENTRAL,CNB,94,ER
12260,SDAH DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,194,ER
12260,SDAH DURONTO,KODERMA,KQR,236,ER
12260,SDAH DURONTO,DHANBAD JN,DHN,253,ER
12260,SDAH DURONTO,SEALDAH,SDAH,237,ER
12261,HOWRAH DURONTO,C SHIVAJI TERM MUMBAI,CSMT,224,SER
12261,HOWRAH DURONTO,KALYAN JN,KYN,256,SER
12261,HOWRAH DURONTO,BHUSAVAL JN,BSL,305,SER
12261,HOWRAH DURONTO,NAGPUR,NGP,302,SER
12261,HOWRAH DURONTO,RAIPUR JN,R,305,SER
12261,HOWRAH DURONTO,BILASPUR JN,BSP,311,SER
12261,HOWRAH DURONTO,TATANAGAR JN,TATA,558,SER
12261,HOWRAH DURONTO,HOWRAH JN,HWH,605,SER
12262,HWH CSTM DURONTO,HOWRAH JN,HWH,85,SER
12262,HWH CSTM DURONTO,TATANAGAR JN,TATA,125,SER
12262,HWH CSTM DURONTO,BILASPUR JN,BSP,336,SER
12262,HWH CSTM DURONTO,RAIPUR JN,R,347,SER
12262,HWH CSTM DURONTO,NAGPUR,NGP,349,SER
12262,HWH CSTM DURONTO,BHUSAVAL JN,BSL,403,SER
12262,HWH CSTM DURONTO,KALYAN JN,KYN,420,SER
12262,HWH CSTM DURONTO,C SHIVAJI TERM MUMBAI,CSMT,407,SER
12263,NZM DURONTO EXP,PUNE JN,PUNE,16,NR
12263,NZM DURONTO EXP,VASAI ROAD,BSR,35,NR
12263,NZM DURONTO EXP,SURAT,ST,35,NR
12263,NZM DURONTO EXP,VADODARA JN,BRC,41,NR
12263,NZM DURONTO EXP,RATLAM JN,RTM,36,NR
12263,NZM DURONTO EXP,KOTA JN,KOTA,30,NR
12263,NZM DURONTO EXP,H NIZAMUDDIN,NZM,33,NR
12264,PUNE DURONTO EXP,H NIZAMUDDIN,NZM,4,NR
12264,PUNE DURONTO EXP,KOTA JN,KOTA,15,NR
12264,PUNE DURONTO EXP,RATLAM JN,RTM,13,NR
12264,PUNE DURONTO EXP,VADODARA JN,BRC,5,NR
12264,PUNE DURONTO EXP,SURAT,ST,7,NR
12264,PUNE DURONTO EXP,VASAI ROAD,BSR,14,NR
12265,DEE JAT DURONTO,DELHI S ROHILLA,DEE,0,NR
12265,DEE JAT DURONTO,LUDHIANA JN,LDH,0,NR
12265,DEE JAT DURONTO,JAMMU TAWI,JAT,0,NR
12266,DURONTO EXPRESS,JAMMU TAWI,JAT,0,NR
12266,DURONTO EXPRESS,LUDHIANA JN,LDH,0,NR
12266,DURONTO EXPRESS,DELHI S ROHILLA,DEE,0,NR
12267,RJT DURONTO EXP,MUMBAI CENTRAL,MMCT,1,WR
12267,RJT DURONTO EXP,AHMEDABAD JN,ADI,3,WR
12267,RJT DURONTO EXP,SURENDRANAGAR JN,SUNR,2,WR
12267,RJT DURONTO EXP,RAJKOT JN,RJT,3,WR
12268,MMCT DURONTO EXP,HAPA,HAPA,1,WR
12268,MMCT DURONTO EXP,RAJKOT JN,RJT,14,WR
12268,MMCT DURONTO EXP,SURENDRANAGAR JN,SUNR,6,WR
12268,MMCT DURONTO EXP,AHMEDABAD JN,ADI,7,WR
12269,DURONTO EXPRESS,CHENNAI CENTRAL,MAS,20,SR
12269,DURONTO EXPRESS,VIJAYAWADA JN,BZA,25,SR
12269,DURONTO EXPRESS,BALHARSHAH,BPQ,53,SR
12269,DURONTO EXPRESS,NAGPUR,NGP,68,SR
12269,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,61,SR
12269,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,78,SR
12269,DURONTO EXPRESS,GWALIOR,GWL,108,SR
12269,DURONTO EXPRESS,H NIZAMUDDIN,NZM,109,SR
12270,MAS DURONTO EXP,H NIZAMUDDIN,NZM,112,SR
12270,MAS DURONTO EXP,GWALIOR,GWL,141,SR
12270,MAS DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,138,SR
12270,MAS DURONTO EXP,RANI KAMLAPATI,RKMP,159,SR
12270,MAS DURONTO EXP,NAGPUR,NGP,168,SR
12270,MAS DURONTO EXP,BALHARSHAH,BPQ,164,SR
12270,MAS DURONTO EXP,VIJAYAWADA JN,BZA,192,SR
12270,MAS DURONTO EXP,CHENNAI CENTRAL,MAS,147,SR
12273,NDLS DURONTO,HOWRAH JN,HWH,0,ER
12273,NDLS DURONTO,ASANSOL JN,ASN,13,ER
12273,NDLS DURONTO,JASIDIH JN,JSME,31,ER
12273,NDLS DURONTO,PATNA JN,PNBE,49,ER
12273,NDLS DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,32,ER
12273,NDLS DURONTO,KANPUR CENTRAL,CNB,119,ER
12273,NDLS DURONTO,NEW DELHI,NDLS,126,ER
12274,HWH DURONTO EXP,NEW DELHI,NDLS,109,ER
12274,HWH DURONTO EXP,KANPUR CENTRAL,CNB,168,ER
12274,HWH DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,256,ER
12274,HWH DURONTO EXP,PATNA JN,PNBE,328,ER
12274,HWH DURONTO EXP,JASIDIH JN,JSME,318,ER
12274,HWH DURONTO EXP,ASANSOL JN,ASN,268,ER
12274,HWH DURONTO EXP,HOWRAH JN,HWH,250,ER
12281,BBS DURONTO EXP,BHUBANESWAR,BBS,149,ECOR
12281,BBS DURONTO EXP,BALASORE,BLS,164,ECOR
12281,BBS DURONTO EXP,ADRA JN,ADRA,194,ECOR
12281,BBS DURONTO EXP,GAYA JN,GAYA,189,ECOR
12281,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,216,ECOR
12281,BBS DURONTO EXP,KANPUR CENTRAL,CNB,288,ECOR
12281,BBS DURONTO EXP,NEW DELHI,NDLS,285,ECOR
12282,BBS DURONTO EXP,NEW DELHI,NDLS,361,ECOR
12282,BBS DURONTO EXP,KANPUR CENTRAL,CNB,405,ECOR
12282,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,478,ECOR
12282,BBS DURONTO EXP,ADRA JN,ADRA,535,ECOR
12282,BBS DURONTO EXP,BALASORE,BLS,561,ECOR
12282,BBS DURONTO EXP,BHUBANESWAR,BBS,543,ECOR
12283,ERS NZM DURONTO,ERNAKULAM JN,ERS,4,NR
12283,ERS NZM DURONTO,KOZHIKODE,CLT,42,NR
12283,ERS NZM DURONTO,MANGALORE JN,MAJN,39,NR
12283,ERS NZM DURONTO,MADGAON,MAO,45,NR
12283,ERS NZM DURONTO,RATNAGIRI,RN,69,NR
12283,ERS NZM DURONTO,PANVEL,PNVL,66,NR
12283,ERS NZM DURONTO,VASAI ROAD,BSR,29,NR
12283,ERS NZM DURONTO,SURAT,ST,26,NR
12283,ERS NZM DURONTO,VADODARA JN,BRC,26,NR
12283,ERS NZM DURONTO,RATLAM JN,RTM,17,NR
12283,ERS NZM DURONTO,KOTA JN,KOTA,4,NR
12283,ERS NZM DURONTO,H NIZAMUDDIN,NZM,10,NR
12284,NZM ERS DURONTO,H NIZAMUDDIN,NZM,0,NR
12284,NZM ERS DURONTO,KOTA JN,KOTA,7,NR
12284,NZM ERS DURONTO,RATLAM JN,RTM,2,NR
12284,NZM ERS DURONTO,VADODARA JN,BRC,4,NR
12284,NZM ERS DURONTO,SURAT,ST,5,NR
12284,NZM ERS DURONTO,VASAI ROAD,BSR,4,NR
12284,NZM ERS DURONTO,PANVEL,PNVL,8,NR
12284,NZM ERS DURONTO,RATNAGIRI,RN,11,NR
12284,NZM ERS DURONTO,MADGAON,MAO,9,NR
12284,NZM ERS DURONTO,MANGALORE JN,MAJN,0,NR
12284,NZM ERS DURONTO,KOZHIKODE,CLT,42,NR
12285,NZM DURONTO EX,SECUNDERABAD JN,SC,7,SCR
12285,NZM DURONTO EX,BALHARSHAH,BPQ,13,SCR
12285,NZM DURONTO EX,NAGPUR,NGP,20,SCR
12285,NZM DURONTO EX,RANI KAMLAPATI,RKMP,16,SCR
12285,NZM DURONTO EX,V LAKSHMIBAI JHANSI,VGLJ,21,SCR
12285,NZM DURONTO EX,H NIZAMUDDIN,NZM,20,SCR
12286,NZM SC DURONTO,H NIZAMUDDIN,NZM,22,SCR
12286,NZM SC DURONTO,V LAKSHMIBAI JHANSI,VGLJ,40,SCR
12286,NZM SC DURONTO,RANI KAMLAPATI,RKMP,50,SCR
12286,NZM SC DURONTO,NAGPUR,NGP,59,SCR
12286,NZM SC DURONTO,BALHARSHAH,BPQ,59,SCR
12286,NZM SC DURONTO,SECUNDERABAD JN,SC,32,SCR
12289,CSMT NGP DURONTO,C SHIVAJI TERM MUMBAI,CSMT,1,CR
12289,CSMT NGP DURONTO,BHUSAVAL JN,BSL,32,CR
12289,CSMT NGP DURONTO,BADNERA JN,BD,28,CR
12289,CSMT NGP DURONTO,NAGPUR,NGP,8,CR
12290,NGP CSMT DURONTO,NAGPUR,NGP,1,CR
12290,NGP CSMT DURONTO,BADNERA JN,BD,16,CR
12290,NGP CSMT DURONTO,BHUSAVAL JN,BSL,33,CR
12290,NGP CSMT DURONTO,DADAR,DR,8,CR
12290,NGP CSMT DURONTO,C SHIVAJI TERM MUMBAI,CSMT,13,CR
12293,ALD DURONTO EXP,LOKMANYATILAK T,LTT,62,CR
12293,ALD DURONTO EXP,BHUSAVAL JN,BSL,105,CR
12293,ALD DURONTO EXP,ITARSI JN,ET,82,CR
12293,ALD DURONTO EXP,JABALPUR,JBP,108,CR
12293,ALD DURONTO EXP,SATNA,STA,145,CR
12293,ALD DURONTO EXP,NAINI,NYN,122,CR
12293,ALD DURONTO EXP,PRAYAGRAJ JN,PRYJ,138,CR
12294,ALD LTT DURONTO,PRAYAGRAJ JN,PRYJ,25,CR
12294,ALD LTT DURONTO,NAINI,NYN,56,CR
12294,ALD LTT DURONTO,SATNA,STA,247,CR
12294,ALD LTT DURONTO,JABALPUR,JBP,277,CR
12294,ALD LTT DURONTO,ITARSI JN,ET,237,CR
12294,ALD LTT DURONTO,BHUSAVAL JN,BSL,241,CR
12294,ALD LTT DURONTO,LOKMANYATILAK T,LTT,217,CR
12297,PUNE DURONTO,AHMEDABAD JN,ADI,2,CR
12297,PUNE DURONTO,UDHNA JN,UDN,1,CR
12297,PUNE DURONTO,VASAI ROAD,BSR,22,CR
12297,PUNE DURONTO,LONAVALA,LNL,36,CR
12297,PUNE DURONTO,PUNE JN,PUNE,4,CR
12298,ADI DURONTO EXP,PUNE JN,PUNE,4,CR
12298,ADI DURONTO EXP,LONAVALA,LNL,3,CR
12298,ADI DURONTO EXP,VASAI ROAD,BSR,6,CR
12298,ADI DURONTO EXP,UDHNA JN,UDN,2,CR
22201,DURONTO EXPRESS,SEALDAH,SDAH,0,ER
22201,DURONTO EXPRESS,KHARAGPUR JN,KGP,25,ER
22201,DURONTO EXPRESS,BHUBANESWAR,BBS,49,ER
22201,DURONTO EXPRESS,PURI,PURI,35,ER
22202,DURONTO EXPRESS,PURI,PURI,1,ER
22202,DURONTO EXPRESS,BHUBANESWAR,BBS,33,ER
22202,DURONTO EXPRESS,KHARAGPUR JN,KGP,60,ER
22202,DURONTO EXPRESS,SEALDAH,SDAH,58,ER
22203,SC DURONTO EXP,VISHAKAPATNAM,VSKP,1,ECOR
22203,SC DURONTO EXP,VIJAYAWADA JN,BZA,11,ECOR
22203,SC DURONTO EXP,GUNTUR JN,GNT,14,ECOR
22204,VSKP DURONTO EX,SECUNDERABAD JN,SC,5,ECOR
22204,VSKP DURONTO EX,GUNTUR JN,GNT,34,ECOR
22204,VSKP DURONTO EX,VIJAYAWADA JN,BZA,22,ECOR
22209,NDLS DURONTO EXP,MUMBAI CENTRAL,MMCT,1,WR
22209,NDLS DURONTO EXP,VADODARA JN,BRC,5,WR
22209,NDLS DURONTO EXP,RATLAM JN,RTM,2,WR
22209,NDLS DURONTO EXP,KOTA JN,KOTA,2,WR
22209,NDLS DURONTO EXP,H NIZAMUDDIN,NZM,8,WR
22209,NDLS DURONTO EXP,NEW DELHI,NDLS,0,WR
22210,MMCT DURONTO,NEW DELHI,NDLS,0,WR
22210,MMCT DURONTO,H NIZAMUDDIN,NZM,2,WR
22210,MMCT DURONTO,KOTA JN,KOTA,10,WR
22210,MMCT DURONTO,RATLAM JN,RTM,4,WR
22210,MMCT DURONTO,VADODARA JN,BRC,6,WR
22213,SHM PNBE DURONTO,SHALIMAR,SHM,24,SER
22213,SHM PNBE DURONTO,ASANSOL JN,ASN,41,SER
22213,SHM PNBE DURONTO,JASIDIH JN,JSME,62,SER
22213,SHM PNBE DURONTO,PATNA JN,PNBE,29,SER
