Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01223,ERS DURONTO SPL,,,,
09231,HAPA DURONTO SPL,,,,
09232,MMCT DURONTO SPL,,,,
12213,DURONTO EXPRESS,YESVANTPUR JN,YPR,1,SWR
12213,DURONTO EXPRESS,GUNTAKAL JN,GTL,10,SWR
12213,DURONTO EXPRESS,SECUNDERABAD JN,SC,29,SWR
12213,DURONTO EXPRESS,BALHARSHAH,BPQ,30,SWR
12213,DURONTO EXPRESS,NAGPUR,NGP,84,SWR
12213,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,78,SWR
12213,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,87,SWR
12213,DURONTO EXPRESS,DELHI S ROHILLA,DEE,50,SWR
12214,YPR DURONTO EXP,DELHI S ROHILLA,DEE,0,SWR
12214,YPR DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,4,SWR
12214,YPR DURONTO EXP,RANI KAMLAPATI,RKMP,23,SWR
12214,YPR DURONTO EXP,NAGPUR,NGP,42,SWR
12214,YPR DURONTO EXP,BALHARSHAH,BPQ,70,SWR
12214,YPR DURONTO EXP,SECUNDERABAD JN,SC,69,SWR
12214,YPR DURONTO EXP,GUNTAKAL JN,GTL,138,SWR
12214,YPR DURONTO EXP,YESVANTPUR JN,YPR,69,SWR
12219,SC DURONTO EXP,LOKMANYATILAK T,LTT,5,CR
12219,SC DURONTO EXP,PUNE JN,PUNE,38,CR
12219,SC DURONTO EXP,SOLAPUR JN,SUR,37,CR
12219,SC DURONTO EXP,WADI,WADI,16,CR
12220,DURONTO AC EXP,SECUNDERABAD JN,SC,1,CR
12220,DURONTO AC EXP,WADI,WADI,13,CR
12220,DURONTO AC EXP,SOLAPUR JN,SUR,17,CR
12220,DURONTO AC EXP,PUNE JN,PUNE,18,CR
12220,DURONTO AC EXP,LOKMANYATILAK T,LTT,12,CR
12221,HOWRAH DURONTO,PUNE JN,PUNE,1,CR
12221,HOWRAH DURONTO,DAUND CHORD LINE,DDCC,30,CR
12221,HOWRAH DURONTO,MANMAD JN,MMR,1,CR
12221,HOWRAH DURONTO,BHUSAVAL JN,BSL,12,CR
12221,HOWRAH DURONTO,NAGPUR,NGP,2,CR
12221,HOWRAH DURONTO,RAIPUR JN,R,0,CR
12221,HOWRAH DURONTO,BILASPUR JN,BSP,4,CR
12221,HOWRAH DURONTO,TATANAGAR JN,TATA,170,CR
12221,HOWRAH DURONTO,HOWRAH JN,HWH,222,CR
12222,HWH PUNE DURONTO,HOWRAH JN,HWH,78,CR
12222,HWH PUNE DURONTO,TATANAGAR JN,TATA,143,CR
12222,HWH PUNE DURONTO,BILASPUR JN,BSP,304,CR
12222,HWH PUNE DURONTO,RAIPUR JN,R,331,CR
12222,HWH PUNE DURONTO,NAGPUR,NGP,330,CR
12222,HWH PUNE DURONTO,BHUSAVAL JN,BSL,362,CR
12222,HWH PUNE DURONTO,MANMAD JN,MMR,356,CR
12222,HWH PUNE DURONTO,DAUND CHORD LINE,DDCC,389,CR
12222,HWH PUNE DURONTO,PUNE JN,PUNE,430,CR
12223,LTT ERS DURONTO,LOKMANYATILAK T,LTT,1,CR
12223,LTT ERS DURONTO,PANVEL,PNVL,16,CR
12223,LTT ERS DURONTO,RATNAGIRI,RN,64,CR
12223,LTT ERS DURONTO,MADGAON,MAO,24,CR
12223,LTT ERS DURONTO,MANGALORE JN,MAJN,18,CR
12223,LTT ERS DURONTO,KOZHIKODE,CLT,16,CR
12224,ERS LTT DURONTO,ERNAKULAM JN,ERS,0,CR
12224,ERS LTT DURONTO,KOZHIKODE,CLT,15,CR
12224,ERS LTT DURONTO,MANGALORE JN,MAJN,13,CR
12224,ERS LTT DURONTO,MADGAON,MAO,98,CR
12224,ERS LTT DURONTO,RATNAGIRI,RN,128,CR
12224,ERS LTT DURONTO,PANVEL,PNVL,87,CR
12224,ERS LTT DURONTO,LOKMANYATILAK T,LTT,53,CR
12227,INDORE DURONTO,MUMBAI CENTRAL,MMCT,0,WR
12227,INDORE DURONTO,VADODARA JN,BRC,12,WR
12227,INDORE DURONTO,RATLAM JN,RTM,13,WR
12227,INDORE DURONTO,UJJAIN JN,UJN,3,WR
12228,MUMBAI DURONTO,INDORE JN BG,INDB,1,WR
12228,MUMBAI DURONTO,UJJAIN JN,UJN,6,WR
12228,MUMBAI DURONTO,RATLAM JN,RTM,4,WR
12228,MUMBAI DURONTO,VADODARA JN,BRC,2,WR
12228,MUMBAI DURONTO,MUMBAI CENTRAL,MMCT,7,WR
12239,HISAR DURONTO,MUMBAI CENTRAL,MMCT,1,WR
12239,HISAR DURONTO,VADODARA JN,BRC,1,WR
12239,HISAR DURONTO,RATLAM JN,RTM,6,WR
12239,HISAR DURONTO,KOTA JN,KOTA,0,WR
12239,HISAR DURONTO,SAWAI MADHOPUR,SWM,9,WR
12239,HISAR DURONTO,JAIPUR,JP,9,WR
12239,HISAR DURONTO,RINGAS JN,RGS,15,WR
12239,HISAR DURONTO,SIKAR JN,SIKR,11,WR
12239,HISAR DURONTO,JHUNJHUNUN,JJN,13,WR
12239,HISAR DURONTO,LOHARU,LHU,7,WR
12239,HISAR DURONTO,SADULPUR JN,SDLP,15,WR
12240,HSR MMCT DURONTO,HISAR,HSR,2,WR
12240,HSR MMCT DURONTO,SADULPUR JN,SDLP,3,WR
12240,HSR MMCT DURONTO,LOHARU,LHU,1,WR
12240,HSR MMCT DURONTO,JHUNJHUNUN,JJN,0,WR
12240,HSR MMCT DURONTO,SIKAR JN,SIKR,13,WR
12240,HSR MMCT DURONTO,RINGAS JN,RGS,0,WR
12240,HSR MMCT DURONTO,JAIPUR,JP,3,WR
12240,HSR MMCT DURONTO,SAWAI MADHOPUR,SWM,6,WR
12240,HSR MMCT DURONTO,KOTA JN,KOTA,5,WR
12240,HSR MMCT DURONTO,RATLAM JN,RTM,2,WR
12240,HSR MMCT DURONTO,VADODARA JN,BRC,6,WR
12240,HSR MMCT DURONTO,MUMBAI CENTRAL,MMCT,7,WR
12245,HWH SMVB DURONTO,HOWRAH JN,HWH,21,SER
12245,HWH SMVB DURONTO,BHUBANESWAR,BBS,67,SER
12245,HWH SMVB DURONTO,VIZIANAGRAM JN,VZM,50,SER
12245,HWH SMVB DURONTO,VIJAYAWADA JN,BZA,51,SER
12245,HWH SMVB DURONTO,RENIGUNTA JN,RU,31,SER
12245,HWH SMVB DURONTO,SMVT BENGALURU,SMVB,47,SER
12246,DURONTO EXPRESS,SMVT BENGALURU,SMVB,1,SER
12246,DURONTO EXPRESS,RENIGUNTA JN,RU,4,SER
12246,DURONTO EXPRESS,VIJAYAWADA JN,BZA,15,SER
12246,DURONTO EXPRESS,VIZIANAGRAM JN,VZM,6,SER
12246,DURONTO EXPRESS,BHUBANESWAR,BBS,25,SER
12259,BKN DURONTO EXP,SEALDAH,SDAH,0,ER
12259,BKN DURONTO EXP,DHANBAD JN,DHN,2,ER
12259,BKN DURONTO EXP,KODERMA,KQR,10,ER
12259,BKN DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,17,ER
12259,BKN DURONTO EXP,KANPUR CENTRAL,CNB,78,ER
12259,BKN DURONTO EXP,NEW DELHI,NDLS,98,ER
12259,BKN DURONTO EXP,LOHARU,LHU,125,ER
12259,BKN DURONTO EXP,SADULPUR JN,SDLP,133,ER
12259,BKN DURONTO EXP,CHURU,CUR,128,ER
12259,BKN DURONTO EXP,RATANGARH JN,RTGH,139,ER
12259,BKN DURONTO EXP,SRI DUNGARGARH,SDGH,141,ER
12259,BKN DURONTO EXP,BIKANER JN,BKN,94,ER
12260,SDAH DURONTO,BIKANER JN,BKN,1,ER
12260,SDAH DURONTO,SRI DUNGARGARH,SDGH,17,ER
12260,SDAH DURONTO,RATANGARH JN,RTGH,17,ER
12260,SDAH DURONTO,CHURU,CUR,30,ER
12260,SDAH DURONTO,SADULPUR JN,SDLP,33,ER
12260,SDAH DURONTO,LOHARU,LHU,30,ER
12260,SDAH DURONTO,NEW DELHI,NDLS,1,ER
12260,SDAH DURONTO,KANPUR CENTRAL,CNB,44,ER
12260,SDAH DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,117,ER
12260,SDAH DURONTO,KODERMA,KQR,139,ER
12260,SDAH DURONTO,DHANBAD JN,DHN,155,ER
12260,SDAH DURONTO,SEALDAH,SDAH,136,ER
12261,HOWRAH DURONTO,C SHIVAJI TERM MUMBAI,CSMT,75,SER
12261,HOWRAH DURONTO,KALYAN JN,KYN,116,SER
12261,HOWRAH DURONTO,BHUSAVAL JN,BSL,158,SER
12261,HOWRAH DURONTO,NAGPUR,NGP,157,SER
12261,HOWRAH DURONTO,RAIPUR JN,R,165,SER
12261,HOWRAH DURONTO,BILASPUR JN,BSP,167,SER
12261,HOWRAH DURONTO,TATANAGAR JN,TATA,393,SER
12261,HOWRAH DURONTO,HOWRAH JN,HWH,449,SER
12262,HWH CSTM DURONTO,HOWRAH JN,HWH,2,SER
12262,HWH CSTM DURONTO,TATANAGAR JN,TATA,24,SER
12262,HWH CSTM DURONTO,BILASPUR JN,BSP,212,SER
12262,HWH CSTM DURONTO,RAIPUR JN,R,221,SER
12262,HWH CSTM DURONTO,NAGPUR,NGP,217,SER
12262,HWH CSTM DURONTO,BHUSAVAL JN,BSL,249,SER
12262,HWH CSTM DURONTO,KALYAN JN,KYN,257,SER
12262,HWH CSTM DURONTO,C SHIVAJI TERM MUMBAI,CSMT,247,SER
12263,NZM DURONTO EXP,PUNE JN,PUNE,0,NR
12263,NZM DURONTO EXP,VASAI ROAD,BSR,0,NR
12263,NZM DURONTO EXP,SURAT,ST,1,NR
12263,NZM DURONTO EXP,VADODARA JN,BRC,18,NR
12263,NZM DURONTO EXP,RATLAM JN,RTM,8,NR
12263,NZM DURONTO EXP,KOTA JN,KOTA,5,NR
12264,PUNE DURONTO EXP,H NIZAMUDDIN,NZM,0,NR
12264,PUNE DURONTO EXP,KOTA JN,KOTA,4,NR
12264,PUNE DURONTO EXP,RATLAM JN,RTM,8,NR
12264,PUNE DURONTO EXP,VADODARA JN,BRC,5,NR
12264,PUNE DURONTO EXP,SURAT,ST,10,NR
12264,PUNE DURONTO EXP,VASAI ROAD,BSR,19,NR
12264,PUNE DURONTO EXP,PUNE JN,PUNE,16,NR
12265,DEE JAT DURONTO,DELHI S ROHILLA,DEE,0,NR
12265,DEE JAT DURONTO,LUDHIANA JN,LDH,0,NR
12265,DEE JAT DURONTO,JAMMU TAWI,JAT,0,NR
12266,DURONTO EXPRESS,JAMMU TAWI,JAT,0,NR
12266,DURONTO EXPRESS,LUDHIANA JN,LDH,0,NR
12266,DURONTO EXPRESS,DELHI S ROHILLA,DEE,0,NR
12267,RJT DURONTO EXP,MUMBAI CENTRAL,MMCT,0,WR
12267,RJT DURONTO EXP,AHMEDABAD JN,ADI,4,WR
12267,RJT DURONTO EXP,SURENDRANAGAR JN,SUNR,1,WR
12267,RJT DURONTO EXP,RAJKOT JN,RJT,2,WR
12267,RJT DURONTO EXP,HAPA,HAPA,4,WR
12268,MMCT DURONTO EXP,HAPA,HAPA,1,WR
12268,MMCT DURONTO EXP,RAJKOT JN,RJT,30,WR
12268,MMCT DURONTO EXP,SURENDRANAGAR JN,SUNR,18,WR
12268,MMCT DURONTO EXP,AHMEDABAD JN,ADI,16,WR
12269,DURONTO EXPRESS,CHENNAI CENTRAL,MAS,33,SR
12269,DURONTO EXPRESS,VIJAYAWADA JN,BZA,40,SR
12269,DURONTO EXPRESS,BALHARSHAH,BPQ,61,SR
12269,DURONTO EXPRESS,NAGPUR,NGP,108,SR
12269,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,100,SR
12269,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,113,SR
12269,DURONTO EXPRESS,GWALIOR,GWL,129,SR
12269,DURONTO EXPRESS,H NIZAMUDDIN,NZM,106,SR
12270,MAS DURONTO EXP,H NIZAMUDDIN,NZM,115,SR
12270,MAS DURONTO EXP,GWALIOR,GWL,141,SR
12270,MAS DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,133,SR
12270,MAS DURONTO EXP,RANI KAMLAPATI,RKMP,158,SR
12270,MAS DURONTO EXP,NAGPUR,NGP,162,SR
12270,MAS DURONTO EXP,BALHARSHAH,BPQ,159,SR
12270,MAS DURONTO EXP,VIJAYAWADA JN,BZA,176,SR
12270,MAS DURONTO EXP,CHENNAI CENTRAL,MAS,130,SR
12273,NDLS DURONTO,HOWRAH JN,HWH,0,ER
12273,NDLS DURONTO,ASANSOL JN,ASN,20,ER
12273,NDLS DURONTO,JASIDIH JN,JSME,30,ER
12273,NDLS DURONTO,PATNA JN,PNBE,59,ER
12273,NDLS DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,52,ER
12273,NDLS DURONTO,KANPUR CENTRAL,CNB,87,ER
12273,NDLS DURONTO,NEW DELHI,NDLS,74,ER
12274,HWH DURONTO EXP,NEW DELHI,NDLS,80,ER
12274,HWH DURONTO EXP,KANPUR CENTRAL,CNB,153,ER
12274,HWH DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,170,ER
12274,HWH DURONTO EXP,PATNA JN,PNBE,218,ER
12274,HWH DURONTO EXP,JASIDIH JN,JSME,191,ER
12274,HWH DURONTO EXP,ASANSOL JN,ASN,134,ER
12274,HWH DURONTO EXP,HOWRAH JN,HWH,95,ER
12281,BBS DURONTO EXP,BHUBANESWAR,BBS,0,ECOR
12281,BBS DURONTO EXP,BALASORE,BLS,0,ECOR
12281,BBS DURONTO EXP,ADRA JN,ADRA,34,ECOR
12281,BBS DURONTO EXP,GAYA JN,GAYA,1,ECOR
12281,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,9,ECOR
12281,BBS DURONTO EXP,KANPUR CENTRAL,CNB,44,ECOR
12281,BBS DURONTO EXP,NEW DELHI,NDLS,1,ECOR
12282,BBS DURONTO EXP,NEW DELHI,NDLS,0,ECOR
12282,BBS DURONTO EXP,KANPUR CENTRAL,CNB,0,ECOR
12282,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,0,ECOR
12282,BBS DURONTO EXP,ADRA JN,ADRA,0,ECOR
12282,BBS DURONTO EXP,BALASORE,BLS,0,ECOR
12282,BBS DURONTO EXP,BHUBANESWAR,BBS,0,ECOR
12283,ERS NZM DURONTO,ERNAKULAM JN,ERS,0,NR
12283,ERS NZM DURONTO,KOZHIKODE,CLT,17,NR
12283,ERS NZM DURONTO,MANGALORE JN,MAJN,21,NR
12283,ERS NZM DURONTO,MADGAON,MAO,35,NR
12283,ERS NZM DURONTO,RATNAGIRI,RN,8,NR
12283,ERS NZM DURONTO,PANVEL,PNVL,27,NR
12283,ERS NZM DURONTO,VASAI ROAD,BSR,0,NR
12283,ERS NZM DURONTO,SURAT,ST,11,NR
12283,ERS NZM DURONTO,VADODARA JN,BRC,11,NR
12283,ERS NZM DURONTO,RATLAM JN,RTM,8,NR
12283,ERS NZM DURONTO,KOTA JN,KOTA,0,NR
12283,ERS NZM DURONTO,H NIZAMUDDIN,NZM,12,NR
12284,NZM ERS DURONTO,H NIZAMUDDIN,NZM,1,NR
12284,NZM ERS DURONTO,KOTA JN,KOTA,6,NR
12284,NZM ERS DURONTO,RATLAM JN,RTM,4,NR
12284,NZM ERS DURONTO,VADODARA JN,BRC,3,NR
12284,NZM ERS DURONTO,SURAT,ST,5,NR
12284,NZM ERS DURONTO,VASAI ROAD,BSR,5,NR
12284,NZM ERS DURONTO,PANVEL,PNVL,0,NR
12284,NZM ERS DURONTO,RATNAGIRI,RN,0,NR
12284,NZM ERS DURONTO,MADGAON,MAO,28,NR
12284,NZM ERS DURONTO,MANGALORE JN,MAJN,0,NR
12284,NZM ERS DURONTO,KOZHIKODE,CLT,37,NR
12285,NZM DURONTO EX,SECUNDERABAD JN,SC,11,SCR
12285,NZM DURONTO EX,BALHARSHAH,BPQ,7,SCR
12285,NZM DURONTO EX,NAGPUR,NGP,32,SCR
12285,NZM DURONTO EX,RANI KAMLAPATI,RKMP,28,SCR
12285,NZM DURONTO EX,V LAKSHMIBAI JHANSI,VGLJ,43,SCR
12285,NZM DURONTO EX,H NIZAMUDDIN,NZM,37,SCR
12286,NZM SC DURONTO,H NIZAMUDDIN,NZM,49,SCR
12286,NZM SC DURONTO,V LAKSHMIBAI JHANSI,VGLJ,59,SCR
12286,NZM SC DURONTO,RANI KAMLAPATI,RKMP,73,SCR
12286,NZM SC DURONTO,NAGPUR,NGP,76,SCR
12286,NZM SC DURONTO,BALHARSHAH,BPQ,71,SCR
12286,NZM SC DURONTO,SECUNDERABAD JN,SC,36,SCR
12289,CSMT NGP DURONTO,C SHIVAJI TERM MUMBAI,CSMT,2,CR
12289,CSMT NGP DURONTO,BHUSAVAL JN,BSL,33,CR
12289,CSMT NGP DURONTO,BADNERA JN,BD,31,CR
12289,CSMT NGP DURONTO,NAGPUR,NGP,17,CR
12290,NGP CSMT DURONTO,NAGPUR,NGP,1,CR
12290,NGP CSMT DURONTO,BADNERA JN,BD,21,CR
12290,NGP CSMT DURONTO,BHUSAVAL JN,BSL,44,CR
12290,NGP CSMT DURONTO,DADAR,DR,8,CR
12290,NGP CSMT DURONTO,C SHIVAJI TERM MUMBAI,CSMT,17,CR
12293,ALD DURONTO EXP,LOKMANYATILAK T,LTT,180,CR
12293,ALD DURONTO EXP,BHUSAVAL JN,BSL,275,CR
12293,ALD DURONTO EXP,ITARSI JN,ET,244,CR
12293,ALD DURONTO EXP,JABALPUR,JBP,276,CR
12293,ALD DURONTO EXP,SATNA,STA,281,CR
12293,ALD DURONTO EXP,NAINI,NYN,265,CR
12293,ALD DURONTO EXP,PRAYAGRAJ JN,PRYJ,265,CR
12294,ALD LTT DURONTO,PRAYAGRAJ JN,PRYJ,12,CR
12294,ALD LTT DURONTO,NAINI,NYN,0,CR
12294,ALD LTT DURONTO,SATNA,STA,439,CR
12294,ALD LTT DURONTO,JABALPUR,JBP,493,CR
12294,ALD LTT DURONTO,ITARSI JN,ET,462,CR
12294,ALD LTT DURONTO,BHUSAVAL JN,BSL,454,CR
12294,ALD LTT DURONTO,LOKMANYATILAK T,LTT,415,CR
12297,PUNE DURONTO,AHMEDABAD JN,ADI,1,CR
12297,PUNE DURONTO,UDHNA JN,UDN,2,CR
12297,PUNE DURONTO,VASAI ROAD,BSR,30,CR
12297,PUNE DURONTO,LONAVALA,LNL,46,CR
12297,PUNE DURONTO,PUNE JN,PUNE,14,CR
12298,ADI DURONTO EXP,PUNE JN,PUNE,13,CR
12298,ADI DURONTO EXP,LONAVALA,LNL,12,CR
12298,ADI DURONTO EXP,VASAI ROAD,BSR,5,CR
12298,ADI DURONTO EXP,UDHNA JN,UDN,1,CR
22201,DURONTO EXPRESS,SEALDAH,SDAH,0,ER
22201,DURONTO EXPRESS,KHARAGPUR JN,KGP,16,ER
22201,DURONTO EXPRESS,BHUBANESWAR,BBS,45,ER
22201,DURONTO EXPRESS,PURI,PURI,32,ER
22202,DURONTO EXPRESS,PURI,PURI,1,ER
22202,DURONTO EXPRESS,BHUBANESWAR,BBS,32,ER
22202,DURONTO EXPRESS,KHARAGPUR JN,KGP,46,ER
22202,DURONTO EXPRESS,SEALDAH,SDAH,32,ER
22203,SC DURONTO EXP,VISHAKAPATNAM,VSKP,2,ECOR
22203,SC DURONTO EXP,VIJAYAWADA JN,BZA,16,ECOR
22203,SC DURONTO EXP,GUNTUR JN,GNT,18,ECOR
22204,VSKP DURONTO EX,SECUNDERABAD JN,SC,5,ECOR
22204,VSKP DURONTO EX,GUNTUR JN,GNT,29,ECOR
22204,VSKP DURONTO EX,VIJAYAWADA JN,BZA,15,ECOR
22209,NDLS DURONTO EXP,MUMBAI CENTRAL,MMCT,1,WR
22209,NDLS DURONTO EXP,VADODARA JN,BRC,4,WR
22209,NDLS DURONTO EXP,RATLAM JN,RTM,3,WR
22209,NDLS DURONTO EXP,KOTA JN,KOTA,5,WR
22209,NDLS DURONTO EXP,NEW DELHI,NDLS,0,WR
22210,MMCT DURONTO,NEW DELHI,NDLS,0,WR
22210,MMCT DURONTO,KOTA JN,KOTA,5,WR
22210,MMCT DURONTO,RATLAM JN,RTM,6,WR
22210,MMCT DURONTO,VADODARA JN,BRC,4,WR
22213,SHM PNBE DURONTO,SHALIMAR,SHM,23,SER
22213,SHM PNBE DURONTO,ASANSOL JN,ASN,25,SER
22213,SHM PNBE DURONTO,JASIDIH JN,JSME,44,SER
22213,SHM PNBE DURONTO,PATNA JN,PNBE,9,SER
22214,DURONTO EXPRESS,PATNA JN,PNBE,0,SER
22214,DURONTO EXPRESS,JASIDIH JN,JSME,18,SER
22214,DURONTO EXPRESS,ASANSOL JN,ASN,21,SER
