Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01223,ERS DURONTO SPL,,,,
09231,HAPA DURONTO SPL,,,,
09232,MMCT DURONTO SPL,,,,
12213,DURONTO EXPRESS,YESVANTPUR JN,YPR,4,SWR
12213,DURONTO EXPRESS,GUNTAKAL JN,GTL,11,SWR
12213,DURONTO EXPRESS,SECUNDERABAD JN,SC,37,SWR
12213,DURONTO EXPRESS,BALHARSHAH,BPQ,60,SWR
12213,DURONTO EXPRESS,NAGPUR,NGP,79,SWR
12213,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,54,SWR
12213,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,73,SWR
12213,DURONTO EXPRESS,DELHI S ROHILLA,DEE,75,SWR
12214,YPR DURONTO EXP,DELHI S ROHILLA,DEE,1,SWR
12214,YPR DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,9,SWR
12214,YPR DURONTO EXP,RANI KAMLAPATI,RKMP,20,SWR
12214,YPR DURONTO EXP,NAGPUR,NGP,33,SWR
12214,YPR DURONTO EXP,BALHARSHAH,BPQ,27,SWR
12214,YPR DURONTO EXP,SECUNDERABAD JN,SC,91,SWR
12214,YPR DURONTO EXP,GUNTAKAL JN,GTL,109,SWR
12214,YPR DURONTO EXP,YESVANTPUR JN,YPR,50,SWR
12219,SC DURONTO EXP,LOKMANYATILAK T,LTT,7,CR
12219,SC DURONTO EXP,PUNE JN,PUNE,42,CR
12219,SC DURONTO EXP,SOLAPUR JN,SUR,33,CR
12219,SC DURONTO EXP,WADI,WADI,22,CR
12219,SC DURONTO EXP,SECUNDERABAD JN,SC,12,CR
12220,DURONTO AC EXP,SECUNDERABAD JN,SC,15,CR
12220,DURONTO AC EXP,WADI,WADI,39,CR
12220,DURONTO AC EXP,SOLAPUR JN,SUR,36,CR
12220,DURONTO AC EXP,PUNE JN,PUNE,30,CR
12220,DURONTO AC EXP,LOKMANYATILAK T,LTT,28,CR
12221,HOWRAH DURONTO,PUNE JN,PUNE,7,CR
12221,HOWRAH DURONTO,DAUND CHORD LINE,DDCC,25,CR
12221,HOWRAH DURONTO,MANMAD JN,MMR,15,CR
12221,HOWRAH DURONTO,BHUSAVAL JN,BSL,21,CR
12221,HOWRAH DURONTO,NAGPUR,NGP,11,CR
12221,HOWRAH DURONTO,RAIPUR JN,R,24,CR
12221,HOWRAH DURONTO,BILASPUR JN,BSP,35,CR
12221,HOWRAH DURONTO,TATANAGAR JN,TATA,194,CR
12221,HOWRAH DURONTO,SANTRAGACHI JN,SRC,300,CR
12221,HOWRAH DURONTO,HOWRAH JN,HWH,231,CR
12222,HWH PUNE DURONTO,HOWRAH JN,HWH,285,CR
12222,HWH PUNE DURONTO,TATANAGAR JN,TATA,332,CR
12222,HWH PUNE DURONTO,BILASPUR JN,BSP,467,CR
12222,HWH PUNE DURONTO,RAIPUR JN,R,479,CR
12222,HWH PUNE DURONTO,NAGPUR,NGP,502,CR
12222,HWH PUNE DURONTO,BHUSAVAL JN,BSL,547,CR
12222,HWH PUNE DURONTO,MANMAD JN,MMR,551,CR
12222,HWH PUNE DURONTO,DAUND CHORD LINE,DDCC,552,CR
12222,HWH PUNE DURONTO,PUNE JN,PUNE,536,CR
12223,LTT ERS DURONTO,LOKMANYATILAK T,LTT,16,CR
12223,LTT ERS DURONTO,PANVEL,PNVL,30,CR
12223,LTT ERS DURONTO,RATNAGIRI,RN,75,CR
12223,LTT ERS DURONTO,MADGAON,MAO,74,CR
12223,LTT ERS DURONTO,MANGALORE JN,MAJN,43,CR
12223,LTT ERS DURONTO,KOZHIKODE,CLT,47,CR
12223,LTT ERS DURONTO,ERNAKULAM JN,ERS,36,CR
12224,ERS LTT DURONTO,ERNAKULAM JN,ERS,45,CR
12224,ERS LTT DURONTO,KOZHIKODE,CLT,65,CR
12224,ERS LTT DURONTO,MANGALORE JN,MAJN,63,CR
12224,ERS LTT DURONTO,MADGAON,MAO,92,CR
12224,ERS LTT DURONTO,RATNAGIRI,RN,104,CR
12224,ERS LTT DURONTO,PANVEL,PNVL,86,CR
12224,ERS LTT DURONTO,THANE,TNA,111,CR
12224,ERS LTT DURONTO,LOKMANYATILAK T,LTT,71,CR
12227,INDORE DURONTO,MUMBAI CENTRAL,MMCT,2,WR
12227,INDORE DURONTO,VADODARA JN,BRC,8,WR
12227,INDORE DURONTO,RATLAM JN,RTM,6,WR
12227,INDORE DURONTO,UJJAIN JN,UJN,5,WR
12228,MUMBAI DURONTO,INDORE JN BG,INDB,2,WR
12228,MUMBAI DURONTO,UJJAIN JN,UJN,11,WR
12228,MUMBAI DURONTO,RATLAM JN,RTM,10,WR
12228,MUMBAI DURONTO,VADODARA JN,BRC,7,WR
12228,MUMBAI DURONTO,MUMBAI CENTRAL,MMCT,10,WR
12239,HISAR DURONTO,MUMBAI CENTRAL,MMCT,2,WR
12239,HISAR DURONTO,VADODARA JN,BRC,10,WR
12239,HISAR DURONTO,RATLAM JN,RTM,7,WR
12239,HISAR DURONTO,KOTA JN,KOTA,22,WR
12239,HISAR DURONTO,SAWAI MADHOPUR,SWM,23,WR
12239,HISAR DURONTO,JAIPUR,JP,36,WR
12239,HISAR DURONTO,RINGAS JN,RGS,41,WR
12239,HISAR DURONTO,SIKAR JN,SIKR,27,WR
12239,HISAR DURONTO,JHUNJHUNUN,JJN,27,WR
12239,HISAR DURONTO,LOHARU,LHU,19,WR
12239,HISAR DURONTO,SADULPUR JN,SDLP,34,WR
12239,HISAR DURONTO,HISAR,HSR,18,WR
12240,HSR MMCT DURONTO,HISAR,HSR,10,WR
12240,HSR MMCT DURONTO,SADULPUR JN,SDLP,13,WR
12240,HSR MMCT DURONTO,LOHARU,LHU,10,WR
12240,HSR MMCT DURONTO,JHUNJHUNUN,JJN,11,WR
12240,HSR MMCT DURONTO,SIKAR JN,SIKR,16,WR
12240,HSR MMCT DURONTO,RINGAS JN,RGS,17,WR
12240,HSR MMCT DURONTO,JAIPUR,JP,19,WR
12240,HSR MMCT DURONTO,SAWAI MADHOPUR,SWM,13,WR
12240,HSR MMCT DURONTO,KOTA JN,KOTA,17,WR
12240,HSR MMCT DURONTO,RATLAM JN,RTM,13,WR
12240,HSR MMCT DURONTO,VADODARA JN,BRC,24,WR
12240,HSR MMCT DURONTO,MUMBAI CENTRAL,MMCT,31,WR
12245,HWH SMVB DURONTO,HOWRAH JN,HWH,17,SER
12245,HWH SMVB DURONTO,BHUBANESWAR,BBS,69,SER
12245,HWH SMVB DURONTO,VIZIANAGRAM JN,VZM,41,SER
12245,HWH SMVB DURONTO,VIJAYAWADA JN,BZA,49,SER
12245,HWH SMVB DURONTO,RENIGUNTA JN,RU,39,SER
12245,HWH SMVB DURONTO,SMVT BENGALURU,SMVB,40,SER
12246,DURONTO EXPRESS,SMVT BENGALURU,SMVB,8,SER
12246,DURONTO EXPRESS,RENIGUNTA JN,RU,16,SER
12246,DURONTO EXPRESS,VIJAYAWADA JN,BZA,18,SER
12246,DURONTO EXPRESS,VIZIANAGRAM JN,VZM,12,SER
12246,DURONTO EXPRESS,BHUBANESWAR,BBS,37,SER
12246,DURONTO EXPRESS,HOWRAH JN,HWH,23,SER
12259,BKN DURONTO EXP,SEALDAH,SDAH,2,ER
12259,BKN DURONTO EXP,DHANBAD JN,DHN,8,ER
12259,BKN DURONTO EXP,KODERMA,KQR,21,ER
12259,BKN DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,12,ER
12259,BKN DURONTO EXP,KANPUR CENTRAL,CNB,33,ER
12259,BKN DURONTO EXP,NEW DELHI,NDLS,47,ER
12259,BKN DURONTO EXP,LOHARU,LHU,69,ER
12259,BKN DURONTO EXP,SADULPUR JN,SDLP,77,ER
12259,BKN DURONTO EXP,CHURU,CUR,82,ER
12259,BKN DURONTO EXP,RATANGARH JN,RTGH,91,ER
12259,BKN DURONTO EXP,SRI DUNGARGARH,SDGH,94,ER
12259,BKN DURONTO EXP,BIKANER JN,BKN,54,ER
12260,SDAH DURONTO,BIKANER JN,BKN,5,ER
12260,SDAH DURONTO,SRI DUNGARGARH,SDGH,13,ER
12260,SDAH DURONTO,RATANGARH JN,RTGH,17,ER
12260,SDAH DURONTO,CHURU,CUR,20,ER
12260,SDAH DURONTO,SADULPUR JN,SDLP,21,ER
12260,SDAH DURONTO,LOHARU,LHU,25,ER
12260,SDAH DURONTO,NEW DELHI,NDLS,17,ER
12260,SDAH DURONTO,KANPUR CENTRAL,CNB,55,ER
12260,SDAH DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,70,ER
12260,SDAH DURONTO,KODERMA,KQR,85,ER
12260,SDAH DURONTO,DHANBAD JN,DHN,93,ER
12260,SDAH DURONTO,SEALDAH,SDAH,82,ER
12261,HOWRAH DURONTO,C SHIVAJI TERM MUMBAI,CSMT,182,SER
12261,HOWRAH DURONTO,DADAR,DR,591,SER
12261,HOWRAH DURONTO,KALYAN JN,KYN,231,SER
12261,HOWRAH DURONTO,BHUSAVAL JN,BSL,267,SER
12261,HOWRAH DURONTO,NAGPUR,NGP,263,SER
12261,HOWRAH DURONTO,RAIPUR JN,R,273,SER
12261,HOWRAH DURONTO,BILASPUR JN,BSP,288,SER
12261,HOWRAH DURONTO,TATANAGAR JN,TATA,449,SER
12261,HOWRAH DURONTO,SANTRAGACHI JN,SRC,549,SER
12261,HOWRAH DURONTO,HOWRAH JN,HWH,502,SER
12262,HWH CSTM DURONTO,HOWRAH JN,HWH,107,SER
12262,HWH CSTM DURONTO,TATANAGAR JN,TATA,136,SER
12262,HWH CSTM DURONTO,BILASPUR JN,BSP,269,SER
12262,HWH CSTM DURONTO,RAIPUR JN,R,279,SER
12262,HWH CSTM DURONTO,NAGPUR,NGP,297,SER
12262,HWH CSTM DURONTO,BHUSAVAL JN,BSL,341,SER
12262,HWH CSTM DURONTO,KALYAN JN,KYN,371,SER
12262,HWH CSTM DURONTO,DADAR,DR,723,SER
12262,HWH CSTM DURONTO,THANE,TNA,658,SER
12262,HWH CSTM DURONTO,C SHIVAJI TERM MUMBAI,CSMT,325,SER
12263,NZM DURONTO EXP,PUNE JN,PUNE,10,NR
12263,NZM DURONTO EXP,VASAI ROAD,BSR,23,NR
12263,NZM DURONTO EXP,SURAT,ST,27,NR
12263,NZM DURONTO EXP,VADODARA JN,BRC,30,NR
12263,NZM DURONTO EXP,RATLAM JN,RTM,29,NR
12263,NZM DURONTO EXP,KOTA JN,KOTA,28,NR
12263,NZM DURONTO EXP,H NIZAMUDDIN,NZM,25,NR
12264,PUNE DURONTO EXP,H NIZAMUDDIN,NZM,3,NR
12264,PUNE DURONTO EXP,KOTA JN,KOTA,30,NR
12264,PUNE DURONTO EXP,RATLAM JN,RTM,20,NR
12264,PUNE DURONTO EXP,VADODARA JN,BRC,18,NR
12264,PUNE DURONTO EXP,SURAT,ST,19,NR
12264,PUNE DURONTO EXP,VASAI ROAD,BSR,22,NR
12264,PUNE DURONTO EXP,PUNE JN,PUNE,21,NR
12265,DEE JAT DURONTO,DELHI S ROHILLA,DEE,3,NR
12265,DEE JAT DURONTO,LUDHIANA JN,LDH,64,NR
12265,DEE JAT DURONTO,JAMMU TAWI,JAT,75,NR
12266,DURONTO EXPRESS,JAMMU TAWI,JAT,21,NR
12266,DURONTO EXPRESS,LUDHIANA JN,LDH,33,NR
12266,DURONTO EXPRESS,DELHI S ROHILLA,DEE,77,NR
12267,RJT DURONTO EXP,MUMBAI CENTRAL,MMCT,6,WR
12267,RJT DURONTO EXP,AHMEDABAD JN,ADI,10,WR
12267,RJT DURONTO EXP,SURENDRANAGAR JN,SUNR,10,WR
12267,RJT DURONTO EXP,RAJKOT JN,RJT,11,WR
12268,MMCT DURONTO EXP,HAPA,HAPA,4,WR
12268,MMCT DURONTO EXP,RAJKOT JN,RJT,16,WR
12268,MMCT DURONTO EXP,SURENDRANAGAR JN,SUNR,12,WR
12268,MMCT DURONTO EXP,AHMEDABAD JN,ADI,13,WR
12268,MMCT DURONTO EXP,MUMBAI CENTRAL,MMCT,1,WR
12269,DURONTO EXPRESS,CHENNAI CENTRAL,MAS,46,SR
12269,DURONTO EXPRESS,VIJAYAWADA JN,BZA,52,SR
12269,DURONTO EXPRESS,BALHARSHAH,BPQ,78,SR
12269,DURONTO EXPRESS,NAGPUR,NGP,94,SR
12269,DURONTO EXPRESS,RANI KAMLAPATI,RKMP,86,SR
12269,DURONTO EXPRESS,V LAKSHMIBAI JHANSI,VGLJ,98,SR
12269,DURONTO EXPRESS,GWALIOR,GWL,116,SR
12269,DURONTO EXPRESS,H NIZAMUDDIN,NZM,104,SR
12270,MAS DURONTO EXP,H NIZAMUDDIN,NZM,100,SR
12270,MAS DURONTO EXP,GWALIOR,GWL,126,SR
12270,MAS DURONTO EXP,V LAKSHMIBAI JHANSI,VGLJ,121,SR
12270,MAS DURONTO EXP,RANI KAMLAPATI,RKMP,140,SR
12270,MAS DURONTO EXP,NAGPUR,NGP,151,SR
12270,MAS DURONTO EXP,BALHARSHAH,BPQ,139,SR
12270,MAS DURONTO EXP,VIJAYAWADA JN,BZA,181,SR
12270,MAS DURONTO EXP,CHENNAI CENTRAL,MAS,155,SR
12273,NDLS DURONTO,HOWRAH JN,HWH,5,ER
12273,NDLS DURONTO,ASANSOL JN,ASN,14,ER
12273,NDLS DURONTO,JASIDIH JN,JSME,25,ER
12273,NDLS DURONTO,PATNA JN,PNBE,27,ER
12273,NDLS DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,10,ER
12273,NDLS DURONTO,KANPUR CENTRAL,CNB,40,ER
12273,NDLS DURONTO,NEW DELHI,NDLS,42,ER
12274,HWH DURONTO EXP,NEW DELHI,NDLS,36,ER
12274,HWH DURONTO EXP,KANPUR CENTRAL,CNB,70,ER
12274,HWH DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,81,ER
12274,HWH DURONTO EXP,PATNA JN,PNBE,103,ER
12274,HWH DURONTO EXP,JASIDIH JN,JSME,93,ER
12274,HWH DURONTO EXP,ASANSOL JN,ASN,68,ER
12274,HWH DURONTO EXP,HOWRAH JN,HWH,71,ER
12281,BBS DURONTO EXP,BHUBANESWAR,BBS,19,ECOR
12281,BBS DURONTO EXP,BALASORE,BLS,28,ECOR
12281,BBS DURONTO EXP,ADRA JN,ADRA,40,ECOR
12281,BBS DURONTO EXP,GAYA JN,GAYA,39,ECOR
12281,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,57,ECOR
12281,BBS DURONTO EXP,KANPUR CENTRAL,CNB,101,ECOR
12281,BBS DURONTO EXP,NEW DELHI,NDLS,92,ECOR
12282,BBS DURONTO EXP,NEW DELHI,NDLS,67,ECOR
12282,BBS DURONTO EXP,KANPUR CENTRAL,CNB,104,ECOR
12282,BBS DURONTO EXP,PT DEEN DAYAL UPADHYAY JN,DDU,133,ECOR
12282,BBS DURONTO EXP,ADRA JN,ADRA,135,ECOR
12282,BBS DURONTO EXP,BALASORE,BLS,139,ECOR
12282,BBS DURONTO EXP,BHUBANESWAR,BBS,116,ECOR
12283,ERS NZM DURONTO,ERNAKULAM JN,ERS,4,NR
12283,ERS NZM DURONTO,KOZHIKODE,CLT,27,NR
12283,ERS NZM DURONTO,MANGALORE JN,MAJN,26,NR
12283,ERS NZM DURONTO,MADGAON,MAO,48,NR
12283,ERS NZM DURONTO,RATNAGIRI,RN,47,NR
12283,ERS NZM DURONTO,PANVEL,PNVL,79,NR
12283,ERS NZM DURONTO,VASAI ROAD,BSR,57,NR
12283,ERS NZM DURONTO,SURAT,ST,53,NR
12283,ERS NZM DURONTO,VADODARA JN,BRC,54,NR
12283,ERS NZM DURONTO,RATLAM JN,RTM,49,NR
12283,ERS NZM DURONTO,KOTA JN,KOTA,51,NR
12283,ERS NZM DURONTO,H NIZAMUDDIN,NZM,68,NR
12284,NZM ERS DURONTO,H NIZAMUDDIN,NZM,4,NR
12284,NZM ERS DURONTO,KOTA JN,KOTA,23,NR
12284,NZM ERS DURONTO,RATLAM JN,RTM,11,NR
12284,NZM ERS DURONTO,VADODARA JN,BRC,13,NR
12284,NZM ERS DURONTO,SURAT,ST,11,NR
12284,NZM ERS DURONTO,VASAI ROAD,BSR,12,NR
12284,NZM ERS DURONTO,PANVEL,PNVL,17,NR
12284,NZM ERS DURONTO,RATNAGIRI,RN,47,NR
12284,NZM ERS DURONTO,MADGAON,MAO,70,NR
12284,NZM ERS DURONTO,MANGALORE JN,MAJN,21,NR
12284,NZM ERS DURONTO,KOZHIKODE,CLT,40,NR
12284,NZM ERS DURONTO,ERNAKULAM JN,ERS,28,NR
12285,NZM DURONTO EX,SECUNDERABAD JN,SC,31,SCR
12285,NZM DURONTO EX,BALHARSHAH,BPQ,40,SCR
12285,NZM DURONTO EX,NAGPUR,NGP,57,SCR
12285,NZM DURONTO EX,RANI KAMLAPATI,RKMP,51,SCR
12285,NZM DURONTO EX,V LAKSHMIBAI JHANSI,VGLJ,59,SCR
12285,NZM DURONTO EX,H NIZAMUDDIN,NZM,76,SCR
12286,NZM SC DURONTO,H NIZAMUDDIN,NZM,76,SCR
12286,NZM SC DURONTO,V LAKSHMIBAI JHANSI,VGLJ,94,SCR
12286,NZM SC DURONTO,RANI KAMLAPATI,RKMP,118,SCR
12286,NZM SC DURONTO,NAGPUR,NGP,127,SCR
12286,NZM SC DURONTO,BALHARSHAH,BPQ,118,SCR
12286,NZM SC DURONTO,SECUNDERABAD JN,SC,118,SCR
12289,CSMT NGP DURONTO,C SHIVAJI TERM MUMBAI,CSMT,10,CR
12289,CSMT NGP DURONTO,BHUSAVAL JN,BSL,46,CR
12289,CSMT NGP DURONTO,BADNERA JN,BD,35,CR
12289,CSMT NGP DURONTO,NAGPUR,NGP,17,CR
12290,NGP CSMT DURONTO,NAGPUR,NGP,5,CR
12290,NGP CSMT DURONTO,BADNERA JN,BD,17,CR
12290,NGP CSMT DURONTO,BHUSAVAL JN,BSL,29,CR
12290,NGP CSMT DURONTO,DADAR,DR,26,CR
12290,NGP CSMT DURONTO,C SHIVAJI TERM MUMBAI,CSMT,19,CR
12293,ALD DURONTO EXP,LOKMANYATILAK T,LTT,18,CR
12293,ALD DURONTO EXP,BHUSAVAL JN,BSL,47,CR
12293,ALD DURONTO EXP,ITARSI JN,ET,29,CR
12293,ALD DURONTO EXP,JABALPUR,JBP,46,CR
12293,ALD DURONTO EXP,SATNA,STA,54,CR
12293,ALD DURONTO EXP,NAINI,NYN,103,CR
12293,ALD DURONTO EXP,LINK JN CABIN,LKJN,113,CR
12293,ALD DURONTO EXP,PRAYAGRAJ JN,PRYJ,26,CR
12294,ALD LTT DURONTO,PRAYAGRAJ JN,PRYJ,5,CR
12294,ALD LTT DURONTO,NAINI,NYN,38,CR
12294,ALD LTT DURONTO,LINK JN CABIN,LKJN,8,CR
12294,ALD LTT DURONTO,SATNA,STA,36,CR
12294,ALD LTT DURONTO,JABALPUR,JBP,52,CR
12294,ALD LTT DURONTO,ITARSI JN,ET,27,CR
12294,ALD LTT DURONTO,BHUSAVAL JN,BSL,31,CR
12294,ALD LTT DURONTO,LOKMANYATILAK T,LTT,23,CR
12297,PUNE DURONTO,AHMEDABAD JN,ADI,5,CR
12297,PUNE DURONTO,UDHNA JN,UDN,1,CR
12297,PUNE DURONTO,SURAT,ST,9,CR
12297,PUNE DURONTO,VASAI ROAD,BSR,19,CR
12297,PUNE DURONTO,LONAVALA,LNL,33,CR
12297,PUNE DURONTO,PUNE JN,PUNE,18,CR
12298,ADI DURONTO EXP,PUNE JN,PUNE,6,CR
12298,ADI DURONTO EXP,LONAVALA,LNL,9,CR
12298,ADI DURONTO EXP,VASAI ROAD,BSR,15,CR
12298,ADI DURONTO EXP,UDHNA JN,UDN,2,CR
12298,ADI DURONTO EXP,SURAT,ST,18,CR
12298,ADI DURONTO EXP,AHMEDABAD JN,ADI,1,CR
22201,DURONTO EXPRESS,SEALDAH,SDAH,3,ER
22201,DURONTO EXPRESS,ANDUL,ADL,0,ER
22201,DURONTO EXPRESS,KHARAGPUR JN,KGP,23,ER
22201,DURONTO EXPRESS,BHUBANESWAR,BBS,39,ER
22201,DURONTO EXPRESS,PURI,PURI,25,ER
22202,DURONTO EXPRESS,PURI,PURI,5,ER
22202,DURONTO EXPRESS,BHUBANESWAR,BBS,20,ER
22202,DURONTO EXPRESS,KHARAGPUR JN,KGP,27,ER
22202,DURONTO EXPRESS,KANKURGACHHI ROAD JN,KGK,650,ER
22202,DURONTO EXPRESS,SEALDAH,SDAH,30,ER
22203,SC DURONTO EXP,VISHAKAPATNAM,VSKP,3,ECOR
22203,SC DURONTO EXP,VIJAYAWADA JN,BZA,9,ECOR
22203,SC DURONTO EXP,GUNTUR JN,GNT,21,ECOR
