Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12260,SDAH DURONTO,BIKANER JN,BKN,10,ER
12260,SDAH DURONTO,SRI DUNGARGARH,SDGH,26,ER
12260,SDAH DURONTO,RATANGARH JN,RTGH,25,ER
12260,SDAH DURONTO,CHURU,CUR,36,ER
12260,SDAH DURONTO,SADULPUR JN,SDLP,36,ER
12260,SDAH DURONTO,LOHARU,LHU,34,ER
12260,SDAH DURONTO,NEW DELHI,NDLS,33,ER
12260,SDAH DURONTO,KANPUR CENTRAL,CNB,94,ER
12260,SDAH DURONTO,PT DEEN DAYAL UPADHYAY JN,DDU,194,ER
12260,SDAH DURONTO,KODERMA,KQR,236,ER
12260,SDAH DURONTO,DHANBAD JN,DHN,253,ER
12260,SDAH DURONTO,SEALDAH,SDAH,237,ER
