Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12284,NZM ERS DURONTO,H NIZAMUDDIN,NZM,1,NR
12284,NZM ERS DURONTO,KOTA JN,KOTA,6,NR
12284,NZM ERS DURONTO,RATLAM JN,RTM,4,NR
12284,NZM ERS DURONTO,VADODARA JN,BRC,3,NR
12284,NZM ERS DURONTO,SURAT,ST,5,NR
12284,NZM ERS DURONTO,VASAI ROAD,BSR,5,NR
12284,NZM ERS DURONTO,PANVEL,PNVL,0,NR
12284,NZM ERS DURONTO,RATNAGIRI,RN,0,NR
12284,NZM ERS DURONTO,MADGAON,MAO,28,NR
12284,NZM ERS DURONTO,MANGALORE JN,MAJN,0,NR
12284,NZM ERS DURONTO,KOZHIKODE,CLT,37,NR
