Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12201,KCVL GARIB RATH,LOKMANYATILAK T,LTT,2,SR
12201,KCVL GARIB RATH,THANE,TNA,5,SR
12201,KCVL GARIB RATH,PANVEL,PNVL,10,SR
12201,KCVL GARIB RATH,RATNAGIRI,RN,46,SR
12201,KCVL GARIB RATH,MADGAON,MAO,34,SR
12201,KCVL GARIB RATH,KARWAR,KAWR,52,SR
12201,KCVL GARIB RATH,ANKOLA,ANKL,59,SR
12201,KCVL GARIB RATH,MOOKAMBIKA ROAD,BYNR,45,SR
12201,KCVL GARIB RATH,UDUPI,UD,60,SR
12201,KCVL GARIB RATH,MANGALORE JN,MAJN,49,SR
12201,KCVL GARIB RATH,KASARAGOD,KGQ,53,SR
12201,KCVL GARIB RATH,KANNUR,CAN,52,SR
12201,KCVL GARIB RATH,KOZHIKODE,CLT,54,SR
12201,KCVL GARIB RATH,TIRUR,TIR,53,SR
12201,KCVL GARIB RATH,SHORANUR JN,SRR,50,SR
12201,KCVL GARIB RATH,THRISUR,TCR,57,SR
12201,KCVL GARIB RATH,ERNAKULAM TOWN,ERN,68,SR
12201,KCVL GARIB RATH,KOTTAYAM,KTYM,57,SR
12201,KCVL GARIB RATH,CHANGANASERI,CGY,58,SR
12201,KCVL GARIB RATH,TIRUVALLA,TRVL,58,SR
12201,KCVL GARIB RATH,CHENGANNUR,CNGR,59,SR
12201,KCVL GARIB RATH,KAYANKULAM JN,KYJ,57,SR
12201,KCVL GARIB RATH,KOLLAM JN,QLN,61,SR
12201,KCVL GARIB RATH,Unknown Station,KCVL,7,SR
