Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
03309,DHN JAT G R SPL,DHANBAD JN,DHN,65,ER
03309,DHN JAT G R SPL,NSC BOSE J GOMO,GMO,79,ER
03309,DHN JAT G R SPL,PARASNATH,PNME,84,ER
03309,DHN JAT G R SPL,HAZARIBAGH RD,HZD,86,ER
03309,DHN JAT G R SPL,KODERMA,KQR,95,ER
03309,DHN JAT G R SPL,GAYA JN,GAYA,82,ER
03309,DHN JAT G R SPL,ANUGRAHA N ROAD,AUBR,112,ER
03309,DHN JAT G R SPL,DEHRI ON SONE,DOS,120,ER
03309,DHN JAT G R SPL,SASARAM,SSM,130,ER
03309,DHN JAT G R SPL,BHABUA ROAD,BBU,134,ER
03309,DHN JAT G R SPL,PT DEEN DAYAL UPADHYAY JN,DDU,115,ER
03309,DHN JAT G R SPL,VARANASI JN,BSB,143,ER
03309,DHN JAT G R SPL,PRAYAGRAJ JN,PRYJ,183,ER
03309,DHN JAT G R SPL,KANPUR CENTRAL,CNB,183,ER
03309,DHN JAT G R SPL,GOVINDPURI,GOY,230,ER
03309,DHN JAT G R SPL,TUNDLA JN,TDL,177,ER
03309,DHN JAT G R SPL,DELHI,DLI,222,ER
03309,DHN JAT G R SPL,SONIPAT JN,SNP,221,ER
03309,DHN JAT G R SPL,PANIPAT JN,PNP,238,ER
03309,DHN JAT G R SPL,AMBALA CANT JN,UMB,225,ER
03309,DHN JAT G R SPL,SIRHIND JN,SIR,240,ER
03309,DHN JAT G R SPL,LUDHIANA JN,LDH,214,ER
03309,DHN JAT G R SPL,JALANDHAR CANT,JRC,222,ER
03309,DHN JAT G R SPL,PATHANKOT CANTT,PTKC,208,ER
03309,DHN JAT G R SPL,JAMMU TAWI,JAT,138,ER
03310,GARIB RATH SPL,JAMMU TAWI,JAT,187,ECR
03310,GARIB RATH SPL,PATHANKOT CANTT,PTKC,179,ECR
03310,GARIB RATH SPL,JALANDHAR CANT,JRC,164,ECR
03310,GARIB RATH SPL,LUDHIANA JN,LDH,167,ECR
03310,GARIB RATH SPL,SIRHIND JN,SIR,167,ECR
03310,GARIB RATH SPL,AMBALA CANT JN,UMB,140,ECR
03310,GARIB RATH SPL,PANIPAT JN,PNP,152,ECR
03310,GARIB RATH SPL,SONIPAT JN,SNP,165,ECR
03310,GARIB RATH SPL,DELHI,DLI,139,ECR
03310,GARIB RATH SPL,TUNDLA JN,TDL,195,ECR
03310,GARIB RATH SPL,GOVINDPURI,GOY,143,ECR
03310,GARIB RATH SPL,PRAYAGRAJ JN,PRYJ,195,ECR
03310,GARIB RATH SPL,VARANASI JN,BSB,156,ECR
03310,GARIB RATH SPL,PT DEEN DAYAL UPADHYAY JN,DDU,145,ECR
03310,GARIB RATH SPL,BHABUA ROAD,BBU,136,ECR
03310,GARIB RATH SPL,SASARAM,SSM,154,ECR
03310,GARIB RATH SPL,DEHRI ON SONE,DOS,152,ECR
03310,GARIB RATH SPL,ANUGRAHA N ROAD,AUBR,154,ECR
03310,GARIB RATH SPL,GAYA JN,GAYA,168,ECR
03310,GARIB RATH SPL,KODERMA,KQR,168,ECR
03310,GARIB RATH SPL,HAZARIBAGH RD,HZD,180,ECR
03310,GARIB RATH SPL,PARASNATH,PNME,168,ECR
03310,GARIB RATH SPL,NSC BOSE J GOMO,GMO,168,ECR
03310,GARIB RATH SPL,DHANBAD JN,DHN,157,ECR
03347,PNBE ARA G R SPL,PATNA JN,PNBE,17,ECR
03347,PNBE ARA G R SPL,DANAPUR,DNR,31,ECR
03347,PNBE ARA G R SPL,ARA,ARA,67,ECR
03348,ARA PNBE SPL,ARA,ARA,2,ECR
03348,ARA PNBE SPL,DANAPUR,DNR,7,ECR
03348,ARA PNBE SPL,PATNA JN,PNBE,2,ECR
03397,DHN NK SPL,DHANBAD JN,DHN,128,ER
03397,DHN NK SPL,KATRASGARH,KTH,135,ER
03397,DHN NK SPL,CHANDRAPURA,CRP,149,ER
03397,DHN NK SPL,BOKARO THERMAL,BKRO,160,ER
03397,DHN NK SPL,GUMIA,GMIA,161,ER
03397,DHN NK SPL,RANCHI ROAD,RRME,164,ER
03397,DHN NK SPL,BARKA KANA,BRKA,164,ER
03397,DHN NK SPL,PATRATU,PTRU,177,ER
03397,DHN NK SPL,KHALARI,KLRE,185,ER
03397,DHN NK SPL,TORI,TORI,204,ER
03397,DHN NK SPL,LATEHAR,LTHR,216,ER
03397,DHN NK SPL,BARWADIH JN,BRWD,252,ER
03397,DHN NK SPL,DALTONGANJ,DTO,259,ER
03397,DHN NK SPL,GARWA ROAD,GHD,266,ER
03397,DHN NK SPL,RENUKUT,RNQ,262,ER
03397,DHN NK SPL,CHOPAN,CPU,247,ER
03397,DHN NK SPL,SINGRAULI,SGRL,275,ER
03397,DHN NK SPL,BARGAWAN,BRGW,418,ER
03397,DHN NK SPL,BEOHARI,BEHR,441,ER
03397,DHN NK SPL,KATNI SOUTH,KTES,458,ER
03397,DHN NK SPL,NEW KATNI JN,NKJ,235,ER
03397,DHN NK SPL,JABALPUR,JBP,404,ER
03397,DHN NK SPL,ITARSI JN,ET,397,ER
03397,DHN NK SPL,KHANDWA,KNW,327,ER
03397,DHN NK SPL,BHUSAVAL JN,BSL,351,ER
03397,DHN NK SPL,JALGAON JN,JL,344,ER
03397,DHN NK SPL,MANMAD JN,MMR,380,ER
03397,DHN NK SPL,NASIK ROAD,NK,375,ER
03398,NK DHANBAD SPL,NASIK ROAD,NK,367,ER
03398,NK DHANBAD SPL,MANMAD JN,MMR,386,ER
03398,NK DHANBAD SPL,JALGAON JN,JL,422,ER
03398,NK DHANBAD SPL,BHUSAVAL JN,BSL,417,ER
03398,NK DHANBAD SPL,KHANDWA,KNW,338,ER
03398,NK DHANBAD SPL,ITARSI JN,ET,179,ER
03398,NK DHANBAD SPL,JABALPUR,JBP,180,ER
03398,NK DHANBAD SPL,KATNI SOUTH,KTES,329,ER
03398,NK DHANBAD SPL,BEOHARI,BEHR,358,ER
03398,NK DHANBAD SPL,BARGAWAN,BRGW,361,ER
03398,NK DHANBAD SPL,NEW KATNI JN,NKJ,141,ER
03398,NK DHANBAD SPL,SINGRAULI,SGRL,243,ER
03398,NK DHANBAD SPL,CHOPAN,CPU,228,ER
03398,NK DHANBAD SPL,RENUKUT,RNQ,265,ER
03398,NK DHANBAD SPL,GARWA ROAD,GHD,283,ER
03398,NK DHANBAD SPL,DALTONGANJ,DTO,295,ER
03398,NK DHANBAD SPL,BARWADIH JN,BRWD,306,ER
03398,NK DHANBAD SPL,LATEHAR,LTHR,320,ER
03398,NK DHANBAD SPL,TORI,TORI,338,ER
03398,NK DHANBAD SPL,KHALARI,KLRE,351,ER
03398,NK DHANBAD SPL,PATRATU,PTRU,362,ER
03398,NK DHANBAD SPL,BARKA KANA,BRKA,363,ER
03398,NK DHANBAD SPL,RANCHI ROAD,RRME,369,ER
03398,NK DHANBAD SPL,GUMIA,GMIA,370,ER
03398,NK DHANBAD SPL,BOKARO THERMAL,BKRO,366,ER
03398,NK DHANBAD SPL,CHANDRAPURA,CRP,388,ER
03398,NK DHANBAD SPL,KATRASGARH,KTH,388,ER
03398,NK DHANBAD SPL,DHANBAD JN,DHN,377,ER
04082,NDLS HOLI SPL,H NIZAMUDDIN,NZM,10,NR
04082,NDLS HOLI SPL,KOTA JN,KOTA,38,NR
04082,NDLS HOLI SPL,RATLAM JN,RTM,17,NR
04082,NDLS HOLI SPL,VADODARA JN,BRC,21,NR
04082,NDLS HOLI SPL,UDHNA JN,UDN,63,NR
04082,NDLS HOLI SPL,VASAI ROAD,BSR,76,NR
04082,NDLS HOLI SPL,PANVEL,PNVL,79,NR
04082,NDLS HOLI SPL,ROHA,ROHA,54,NR
04082,NDLS HOLI SPL,CHIPLUN,CHI,63,NR
04082,NDLS HOLI SPL,RATNAGIRI,RN,162,NR
04082,NDLS HOLI SPL,KANKAVALI,KKW,180,NR
04082,NDLS HOLI SPL,THIVIM,THVM,163,NR
04082,NDLS HOLI SPL,MADGAON,MAO,166,NR
04082,NDLS HOLI SPL,KARWAR,KAWR,178,NR
04082,NDLS HOLI SPL,KUMTA,KT,196,NR
04082,NDLS HOLI SPL,MOOKAMBIKA ROAD,BYNR,180,NR
04082,NDLS HOLI SPL,KUNDAPURA,KUDA,193,NR
04082,NDLS HOLI SPL,UDUPI,UD,200,NR
04082,NDLS HOLI SPL,MANGALORE JN,MAJN,202,NR
04082,NDLS HOLI SPL,KASARAGOD,KGQ,205,NR
04082,NDLS HOLI SPL,KANNUR,CAN,221,NR
04082,NDLS HOLI SPL,KOZHIKODE,CLT,218,NR
04082,NDLS HOLI SPL,SHORANUR JN,SRR,206,NR
04082,NDLS HOLI SPL,THRISUR,TCR,219,NR
04082,NDLS HOLI SPL,ALUVA,AWY,217,NR
04082,NDLS HOLI SPL,ERNAKULAM TOWN,ERN,213,NR
04082,NDLS HOLI SPL,KOTTAYAM,KTYM,240,NR
04082,NDLS HOLI SPL,TIRUVALLA,TRVL,235,NR
04082,NDLS HOLI SPL,CHENGANNUR,CNGR,237,NR
04082,NDLS HOLI SPL,KAYANKULAM JN,KYJ,237,NR
04082,NDLS HOLI SPL,KOLLAM JN,QLN,289,NR
04082,NDLS HOLI SPL,VARKALA,VAK,287,NR
04082,NDLS HOLI SPL,TRIVANDRUM CNTL,TVC,248,NR
04082,NDLS HOLI SPL,MATA VAISHNO DEVI KATRA,SVDK,3,NR
04082,NDLS HOLI SPL,MTYR C TUSHAR MAHAJAN,MCTM,15,NR
04082,NDLS HOLI SPL,JAMMU TAWI,JAT,6,NR
04082,NDLS HOLI SPL,PATHANKOT CANTT,PTKC,7,NR
04082,NDLS HOLI SPL,JALANDHAR CANT,JRC,28,NR
04082,NDLS HOLI SPL,DHANDARI KALAN,DDL,69,NR
04082,NDLS HOLI SPL,AMBALA CANT JN,UMB,104,NR
04082,NDLS HOLI SPL,KURUKSHETRA JN,KKDE,136,NR
04082,NDLS HOLI SPL,KARNAL,KUN,161,NR
04082,NDLS HOLI SPL,PANIPAT JN,PNP,167,NR
04082,NDLS HOLI SPL,SONIPAT JN,SNP,177,NR
04082,NDLS HOLI SPL,NEW DELHI,NDLS,161,NR
05577,SHC ANVT GR SPL,SAHARSA JN,SHC,180,ECR
05577,SHC ANVT GR SPL,GARH BARUARI,GEB,138,ECR
05577,SHC ANVT GR SPL,SUPAUL,SOU,134,ECR
05577,SHC ANVT GR SPL,SARAYGARH,SRGR,148,ECR
05577,SHC ANVT GR SPL,NIRMALI,NMA,154,ECR
05577,SHC ANVT GR SPL,GHOGARDIHA,GGH,159,ECR
05577,SHC ANVT GR SPL,JHANJHARPUR,JJP,168,ECR
05577,SHC ANVT GR SPL,SAKRI JN,SKI,179,ECR
05577,SHC ANVT GR SPL,DARBHANGA JN,DBG,209,ECR
05577,SHC ANVT GR SPL,JANAKPUR ROAD,JNR,230,ECR
05577,SHC ANVT GR SPL,SITAMARHI,SMI,225,ECR
05577,SHC ANVT GR SPL,BAIRAGNIA,BGU,227,ECR
05577,SHC ANVT GR SPL,RAXAUL JN,RXL,261,ECR
05577,SHC ANVT GR SPL,NARKATIAGANJ JN,NKE,268,ECR
05577,SHC ANVT GR SPL,BAGAHA,BUG,292,ECR
05577,SHC ANVT GR SPL,KAPTANGANJ JN,CPJ,217,ECR
05577,SHC ANVT GR SPL,S BHAKHTIYARPUR,SBV,951,ECR
05577,SHC ANVT GR SPL,MANSI JN,MNE,962,ECR
05577,SHC ANVT GR SPL,KHAGARIA JN,KGG,962,ECR
05577,SHC ANVT GR SPL,BEGU SARAI,BGS,955,ECR
05577,SHC ANVT GR SPL,BARAUNI JN,BJU,968,ECR
05577,SHC ANVT GR SPL,SAMASTIPUR JN,SPJ,971,ECR
05577,SHC ANVT GR SPL,MUZAFFARPUR JN,MFP,984,ECR
05577,SHC ANVT GR SPL,HAJIPUR JN,HJP,986,ECR
05577,SHC ANVT GR SPL,CHHAPRA,CPR,993,ECR
05577,SHC ANVT GR SPL,GORAKHPUR JN,GKP,298,ECR
