Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
03309,DHN JAT G R SPL,DHANBAD JN,DHN,169,ER
03309,DHN JAT G R SPL,NSC BOSE J GOMO,GMO,178,ER
03309,DHN JAT G R SPL,PARASNATH,PNME,181,ER
03309,DHN JAT G R SPL,HAZARIBAGH RD,HZD,182,ER
03309,DHN JAT G R SPL,KODERMA,KQR,192,ER
03309,DHN JAT G R SPL,GAYA JN,GAYA,214,ER
03309,DHN JAT G R SPL,ANUGRAHA N ROAD,AUBR,255,ER
03309,DHN JAT G R SPL,DEHRI ON SONE,DOS,264,ER
03309,DHN JAT G R SPL,SASARAM,SSM,282,ER
03309,DHN JAT G R SPL,BHABUA ROAD,BBU,298,ER
03309,DHN JAT G R SPL,PT DEEN DAYAL UPADHYAY JN,DDU,310,ER
03309,DHN JAT G R SPL,VARANASI JN,BSB,410,ER
03309,DHN JAT G R SPL,PRAYAGRAJ JN,PRYJ,479,ER
03309,DHN JAT G R SPL,GOVINDPURI,GOY,525,ER
03309,DHN JAT G R SPL,TUNDLA JN,TDL,453,ER
03309,DHN JAT G R SPL,DELHI,DLI,577,ER
03309,DHN JAT G R SPL,SONIPAT JN,SNP,566,ER
03309,DHN JAT G R SPL,PANIPAT JN,PNP,569,ER
03309,DHN JAT G R SPL,AMBALA CANT JN,UMB,541,ER
03309,DHN JAT G R SPL,SIRHIND JN,SIR,551,ER
03309,DHN JAT G R SPL,LUDHIANA JN,LDH,517,ER
03309,DHN JAT G R SPL,JALANDHAR CANT,JRC,516,ER
03309,DHN JAT G R SPL,PATHANKOT CANTT,PTKC,532,ER
03309,DHN JAT G R SPL,JAMMU TAWI,JAT,486,ER
03310,GARIB RATH SPL,JAMMU TAWI,JAT,539,ECR
03310,GARIB RATH SPL,PATHANKOT CANTT,PTKC,518,ECR
03310,GARIB RATH SPL,JALANDHAR CANT,JRC,502,ECR
03310,GARIB RATH SPL,LUDHIANA JN,LDH,509,ECR
03310,GARIB RATH SPL,SIRHIND JN,SIR,509,ECR
03310,GARIB RATH SPL,AMBALA CANT JN,UMB,474,ECR
03310,GARIB RATH SPL,PANIPAT JN,PNP,485,ECR
03310,GARIB RATH SPL,SONIPAT JN,SNP,494,ECR
03310,GARIB RATH SPL,DELHI,DLI,461,ECR
03310,GARIB RATH SPL,TUNDLA JN,TDL,494,ECR
03310,GARIB RATH SPL,GOVINDPURI,GOY,496,ECR
03310,GARIB RATH SPL,PRAYAGRAJ JN,PRYJ,704,ECR
03310,GARIB RATH SPL,VARANASI JN,BSB,784,ECR
03310,GARIB RATH SPL,PT DEEN DAYAL UPADHYAY JN,DDU,827,ECR
03310,GARIB RATH SPL,BHABUA ROAD,BBU,823,ECR
03310,GARIB RATH SPL,SASARAM,SSM,860,ECR
03310,GARIB RATH SPL,DEHRI ON SONE,DOS,860,ECR
03310,GARIB RATH SPL,ANUGRAHA N ROAD,AUBR,860,ECR
03310,GARIB RATH SPL,GAYA JN,GAYA,899,ECR
03310,GARIB RATH SPL,KODERMA,KQR,905,ECR
03310,GARIB RATH SPL,HAZARIBAGH RD,HZD,917,ECR
03310,GARIB RATH SPL,PARASNATH,PNME,913,ECR
03310,GARIB RATH SPL,NSC BOSE J GOMO,GMO,919,ECR
03310,GARIB RATH SPL,DHANBAD JN,DHN,903,ECR
03347,PNBE ARA G R SPL,PATNA JN,PNBE,6,ECR
03347,PNBE ARA G R SPL,DANAPUR,DNR,24,ECR
03347,PNBE ARA G R SPL,ARA,ARA,58,ECR
03348,ARA PNBE SPL,ARA,ARA,4,ECR
03348,ARA PNBE SPL,DANAPUR,DNR,10,ECR
03348,ARA PNBE SPL,PATNA JN,PNBE,4,ECR
03397,DHN NK SPL,DHANBAD JN,DHN,251,ER
03397,DHN NK SPL,KATRASGARH,KTH,259,ER
03397,DHN NK SPL,CHANDRAPURA,CRP,275,ER
03397,DHN NK SPL,BOKARO THERMAL,BKRO,286,ER
03397,DHN NK SPL,GUMIA,GMIA,288,ER
03397,DHN NK SPL,RANCHI ROAD,RRME,290,ER
03397,DHN NK SPL,BARKA KANA,BRKA,284,ER
03397,DHN NK SPL,PATRATU,PTRU,307,ER
03397,DHN NK SPL,KHALARI,KLRE,313,ER
03397,DHN NK SPL,TORI,TORI,337,ER
03397,DHN NK SPL,LATEHAR,LTHR,348,ER
03397,DHN NK SPL,BARWADIH JN,BRWD,387,ER
03397,DHN NK SPL,DALTONGANJ,DTO,393,ER
03397,DHN NK SPL,GARWA ROAD,GHD,399,ER
03397,DHN NK SPL,RENUKUT,RNQ,391,ER
03397,DHN NK SPL,CHOPAN,CPU,373,ER
03397,DHN NK SPL,SINGRAULI,SGRL,392,ER
03397,DHN NK SPL,BARGAWAN,BRGW,418,ER
03397,DHN NK SPL,BEOHARI,BEHR,441,ER
03397,DHN NK SPL,KATNI SOUTH,KTES,458,ER
03397,DHN NK SPL,NEW KATNI JN,NKJ,220,ER
03397,DHN NK SPL,JABALPUR,JBP,502,ER
03397,DHN NK SPL,ITARSI JN,ET,476,ER
03397,DHN NK SPL,KHANDWA,KNW,387,ER
03397,DHN NK SPL,BHUSAVAL JN,BSL,405,ER
03397,DHN NK SPL,JALGAON JN,JL,400,ER
03397,DHN NK SPL,MANMAD JN,MMR,431,ER
03397,DHN NK SPL,NASIK ROAD,NK,441,ER
03398,NK DHANBAD SPL,NASIK ROAD,NK,483,ER
03398,NK DHANBAD SPL,MANMAD JN,MMR,502,ER
03398,NK DHANBAD SPL,JALGAON JN,JL,551,ER
03398,NK DHANBAD SPL,BHUSAVAL JN,BSL,551,ER
03398,NK DHANBAD SPL,KHANDWA,KNW,467,ER
03398,NK DHANBAD SPL,ITARSI JN,ET,339,ER
03398,NK DHANBAD SPL,JABALPUR,JBP,316,ER
03398,NK DHANBAD SPL,KATNI SOUTH,KTES,373,ER
03398,NK DHANBAD SPL,BEOHARI,BEHR,406,ER
03398,NK DHANBAD SPL,BARGAWAN,BRGW,410,ER
03398,NK DHANBAD SPL,NEW KATNI JN,NKJ,93,ER
03398,NK DHANBAD SPL,SINGRAULI,SGRL,367,ER
03398,NK DHANBAD SPL,CHOPAN,CPU,346,ER
03398,NK DHANBAD SPL,RENUKUT,RNQ,385,ER
03398,NK DHANBAD SPL,GARWA ROAD,GHD,403,ER
03398,NK DHANBAD SPL,DALTONGANJ,DTO,410,ER
03398,NK DHANBAD SPL,BARWADIH JN,BRWD,423,ER
03398,NK DHANBAD SPL,LATEHAR,LTHR,438,ER
03398,NK DHANBAD SPL,TORI,TORI,458,ER
03398,NK DHANBAD SPL,KHALARI,KLRE,470,ER
03398,NK DHANBAD SPL,PATRATU,PTRU,482,ER
03398,NK DHANBAD SPL,BARKA KANA,BRKA,476,ER
03398,NK DHANBAD SPL,RANCHI ROAD,RRME,493,ER
03398,NK DHANBAD SPL,GUMIA,GMIA,494,ER
03398,NK DHANBAD SPL,BOKARO THERMAL,BKRO,490,ER
03398,NK DHANBAD SPL,CHANDRAPURA,CRP,507,ER
03398,NK DHANBAD SPL,KATRASGARH,KTH,506,ER
03398,NK DHANBAD SPL,DHANBAD JN,DHN,495,ER
04082,NDLS HOLI SPL,,,,
05577,SHC ANVT GR SPL,SAHARSA JN,SHC,103,ECR
05577,SHC ANVT GR SPL,GARH BARUARI,GEB,110,ECR
05577,SHC ANVT GR SPL,SUPAUL,SOU,107,ECR
05577,SHC ANVT GR SPL,SARAYGARH,SRGR,116,ECR
05577,SHC ANVT GR SPL,NIRMALI,NMA,123,ECR
05577,SHC ANVT GR SPL,GHOGARDIHA,GGH,128,ECR
05577,SHC ANVT GR SPL,JHANJHARPUR,JJP,135,ECR
05577,SHC ANVT GR SPL,SAKRI JN,SKI,151,ECR
05577,SHC ANVT GR SPL,DARBHANGA JN,DBG,178,ECR
05577,SHC ANVT GR SPL,JANAKPUR ROAD,JNR,195,ECR
05577,SHC ANVT GR SPL,SITAMARHI,SMI,186,ECR
05577,SHC ANVT GR SPL,BAIRAGNIA,BGU,190,ECR
05577,SHC ANVT GR SPL,RAXAUL JN,RXL,221,ECR
05577,SHC ANVT GR SPL,NARKATIAGANJ JN,NKE,238,ECR
05577,SHC ANVT GR SPL,BAGAHA,BUG,263,ECR
05577,SHC ANVT GR SPL,KAPTANGANJ JN,CPJ,197,ECR
05577,SHC ANVT GR SPL,GORAKHPUR JN,GKP,233,ECR
05577,SHC ANVT GR SPL,BASTI,BST,200,ECR
05577,SHC ANVT GR SPL,GONDA JN,GD,356,ECR
05577,SHC ANVT GR SPL,SITAPUR,STP,347,ECR
05577,SHC ANVT GR SPL,SHAHJEHANPUR,SPN,355,ECR
05577,SHC ANVT GR SPL,BAREILLY,BE,380,ECR
05577,SHC ANVT GR SPL,MORADABAD,MB,367,ECR
05577,SHC ANVT GR SPL,GHAZIABAD,GZB,426,ECR
05577,SHC ANVT GR SPL,ANAND VIHAR TRM,ANVT,416,ECR
05578,ANVT SHC GR SPL,ANAND VIHAR TRM,ANVT,380,ECR
05578,ANVT SHC GR SPL,GHAZIABAD,GZB,418,ECR
05578,ANVT SHC GR SPL,MORADABAD,MB,447,ECR
05578,ANVT SHC GR SPL,BAREILLY,BE,473,ECR
05578,ANVT SHC GR SPL,SHAHJEHANPUR,SPN,513,ECR
05578,ANVT SHC GR SPL,SITAPUR,STP,470,ECR
05578,ANVT SHC GR SPL,GONDA JN,GD,524,ECR
05578,ANVT SHC GR SPL,BASTI,BST,540,ECR
05578,ANVT SHC GR SPL,GORAKHPUR JN,GKP,547,ECR
05578,ANVT SHC GR SPL,KAPTANGANJ JN,CPJ,565,ECR
05578,ANVT SHC GR SPL,BAGAHA,BUG,532,ECR
05578,ANVT SHC GR SPL,NARKATIAGANJ JN,NKE,532,ECR
05578,ANVT SHC GR SPL,RAXAUL JN,RXL,545,ECR
05578,ANVT SHC GR SPL,BAIRAGNIA,BGU,579,ECR
05578,ANVT SHC GR SPL,SITAMARHI,SMI,588,ECR
05578,ANVT SHC GR SPL,JANAKPUR ROAD,JNR,594,ECR
05578,ANVT SHC GR SPL,DARBHANGA JN,DBG,606,ECR
05578,ANVT SHC GR SPL,SAKRI JN,SKI,606,ECR
05578,ANVT SHC GR SPL,JHANJHARPUR,JJP,612,ECR
05578,ANVT SHC GR SPL,GHOGARDIHA,GGH,623,ECR
05578,ANVT SHC GR SPL,NIRMALI,NMA,568,ECR
05578,ANVT SHC GR SPL,SARAYGARH,SRGR,591,ECR
05578,ANVT SHC GR SPL,SUPAUL,SOU,619,ECR
05578,ANVT SHC GR SPL,GARH BARUARI,GEB,633,ECR
05578,ANVT SHC GR SPL,SAHARSA JN,SHC,629,ECR
09819,SGAC DNR SPL,SOGARIA,SGAC,0,WCR
09819,SGAC DNR SPL,BARAN,BAZ,9,WCR
09819,SGAC DNR SPL,RUTHIYAI,RTA,1,WCR
09819,SGAC DNR SPL,GUNA,GUNA,17,WCR
09819,SGAC DNR SPL,SAUGOR,SGO,99,WCR
09819,SGAC DNR SPL,DAMOH,DMO,169,WCR
09819,SGAC DNR SPL,KATNI MURWARA,KMZ,228,WCR
09819,SGAC DNR SPL,MAIHAR,MYR,256,WCR
09819,SGAC DNR SPL,SATNA,STA,265,WCR
09819,SGAC DNR SPL,MANIKPUR JN,MKP,243,WCR
09819,SGAC DNR SPL,PRAYAGRAJ CHHEOKI,PCOI,343,WCR
09819,SGAC DNR SPL,VINDHYACHAL,BDL,435,WCR
09819,SGAC DNR SPL,PT DEEN DAYAL UPADHYAY JN,DDU,526,WCR
09819,SGAC DNR SPL,BUXAR,BXR,669,WCR
09819,SGAC DNR SPL,ARA,ARA,796,WCR
