Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
03309,DHN JAT G R SPL,DHANBAD JN,DHN,0,ER
03309,DHN JAT G R SPL,NSC BOSE J GOMO,GMO,0,ER
03309,DHN JAT G R SPL,PARASNATH,PNME,0,ER
03309,DHN JAT G R SPL,HAZARIBAGH RD,HZD,0,ER
03309,DHN JAT G R SPL,KODERMA,KQR,0,ER
03309,DHN JAT G R SPL,GAYA JN,GAYA,0,ER
03309,DHN JAT G R SPL,ANUGRAHA N ROAD,AUBR,0,ER
03309,DHN JAT G R SPL,DEHRI ON SONE,DOS,0,ER
03309,DHN JAT G R SPL,SASARAM,SSM,0,ER
03309,DHN JAT G R SPL,BHABUA ROAD,BBU,0,ER
03309,DHN JAT G R SPL,PT DEEN DAYAL UPADHYAY JN,DDU,0,ER
03309,DHN JAT G R SPL,VARANASI JN,BSB,0,ER
03309,DHN JAT G R SPL,PRAYAGRAJ JN,PRYJ,0,ER
03309,DHN JAT G R SPL,GOVINDPURI,GOY,0,ER
03309,DHN JAT G R SPL,TUNDLA JN,TDL,0,ER
03309,DHN JAT G R SPL,DELHI,DLI,0,ER
03309,DHN JAT G R SPL,SONIPAT JN,SNP,0,ER
03309,DHN JAT G R SPL,PANIPAT JN,PNP,0,ER
03309,DHN JAT G R SPL,AMBALA CANT JN,UMB,0,ER
03309,DHN JAT G R SPL,SIRHIND JN,SIR,0,ER
03309,DHN JAT G R SPL,LUDHIANA JN,LDH,0,ER
03309,DHN JAT G R SPL,JALANDHAR CANT,JRC,0,ER
03309,DHN JAT G R SPL,PATHANKOT CANTT,PTKC,0,ER
03309,DHN JAT G R SPL,JAMMU TAWI,JAT,0,ER
03310,GARIB RATH SPL,JAMMU TAWI,JAT,0,ECR
03310,GARIB RATH SPL,PATHANKOT CANTT,PTKC,0,ECR
03310,GARIB RATH SPL,JALANDHAR CANT,JRC,0,ECR
03310,GARIB RATH SPL,LUDHIANA JN,LDH,0,ECR
03310,GARIB RATH SPL,SIRHIND JN,SIR,0,ECR
03310,GARIB RATH SPL,AMBALA CANT JN,UMB,0,ECR
03310,GARIB RATH SPL,PANIPAT JN,PNP,0,ECR
03310,GARIB RATH SPL,SONIPAT JN,SNP,0,ECR
03310,GARIB RATH SPL,DELHI,DLI,0,ECR
03310,GARIB RATH SPL,TUNDLA JN,TDL,0,ECR
03310,GARIB RATH SPL,GOVINDPURI,GOY,0,ECR
03310,GARIB RATH SPL,PRAYAGRAJ JN,PRYJ,0,ECR
03310,GARIB RATH SPL,VARANASI JN,BSB,0,ECR
03310,GARIB RATH SPL,PT DEEN DAYAL UPADHYAY JN,DDU,0,ECR
03310,GARIB RATH SPL,BHABUA ROAD,BBU,0,ECR
03310,GARIB RATH SPL,SASARAM,SSM,0,ECR
03310,GARIB RATH SPL,DEHRI ON SONE,DOS,0,ECR
03310,GARIB RATH SPL,ANUGRAHA N ROAD,AUBR,0,ECR
03310,GARIB RATH SPL,GAYA JN,GAYA,0,ECR
03310,GARIB RATH SPL,KODERMA,KQR,0,ECR
03310,GARIB RATH SPL,HAZARIBAGH RD,HZD,0,ECR
03310,GARIB RATH SPL,PARASNATH,PNME,0,ECR
03310,GARIB RATH SPL,NSC BOSE J GOMO,GMO,0,ECR
03310,GARIB RATH SPL,DHANBAD JN,DHN,0,ECR
03347,PNBE ARA G R SPL,PATNA JN,PNBE,6,ECR
03347,PNBE ARA G R SPL,DANAPUR,DNR,25,ECR
03347,PNBE ARA G R SPL,ARA,ARA,64,ECR
03348,ARA PNBE SPL,ARA,ARA,2,ECR
03348,ARA PNBE SPL,DANAPUR,DNR,8,ECR
03348,ARA PNBE SPL,PATNA JN,PNBE,11,ECR
03397,DHN NK SPL,DHANBAD JN,DHN,11,ER
03397,DHN NK SPL,KATRASGARH,KTH,39,ER
03397,DHN NK SPL,CHANDRAPURA,CRP,51,ER
03397,DHN NK SPL,BOKARO THERMAL,BKRO,65,ER
03397,DHN NK SPL,GUMIA,GMIA,69,ER
03397,DHN NK SPL,RANCHI ROAD,RRME,73,ER
03397,DHN NK SPL,BARKA KANA,BRKA,66,ER
03397,DHN NK SPL,PATRATU,PTRU,97,ER
03397,DHN NK SPL,KHALARI,KLRE,103,ER
03397,DHN NK SPL,TORI,TORI,119,ER
03397,DHN NK SPL,LATEHAR,LTHR,133,ER
03397,DHN NK SPL,BARWADIH JN,BRWD,163,ER
03397,DHN NK SPL,DALTONGANJ,DTO,169,ER
03397,DHN NK SPL,GARWA ROAD,GHD,173,ER
03397,DHN NK SPL,RENUKUT,RNQ,157,ER
03397,DHN NK SPL,CHOPAN,CPU,135,ER
03397,DHN NK SPL,SINGRAULI,SGRL,151,ER
03397,DHN NK SPL,BARGAWAN,BRGW,154,ER
03397,DHN NK SPL,BEOHARI,BEHR,186,ER
03397,DHN NK SPL,KATNI SOUTH,KTES,189,ER
03397,DHN NK SPL,JABALPUR,JBP,273,ER
03397,DHN NK SPL,ITARSI JN,ET,251,ER
03397,DHN NK SPL,KHANDWA,KNW,159,ER
03397,DHN NK SPL,BHUSAVAL JN,BSL,190,ER
03397,DHN NK SPL,JALGAON JN,JL,185,ER
03397,DHN NK SPL,MANMAD JN,MMR,206,ER
03397,DHN NK SPL,NASIK ROAD,NK,238,ER
03398,NK DHANBAD SPL,NASIK ROAD,NK,551,ER
03398,NK DHANBAD SPL,MANMAD JN,MMR,553,ER
03398,NK DHANBAD SPL,JALGAON JN,JL,592,ER
03398,NK DHANBAD SPL,BHUSAVAL JN,BSL,591,ER
03398,NK DHANBAD SPL,KHANDWA,KNW,515,ER
03398,NK DHANBAD SPL,ITARSI JN,ET,400,ER
03398,NK DHANBAD SPL,JABALPUR,JBP,411,ER
03398,NK DHANBAD SPL,KATNI SOUTH,KTES,413,ER
03398,NK DHANBAD SPL,BEOHARI,BEHR,434,ER
03398,NK DHANBAD SPL,BARGAWAN,BRGW,442,ER
03398,NK DHANBAD SPL,SINGRAULI,SGRL,438,ER
03398,NK DHANBAD SPL,CHOPAN,CPU,426,ER
03398,NK DHANBAD SPL,RENUKUT,RNQ,452,ER
03398,NK DHANBAD SPL,GARWA ROAD,GHD,464,ER
03398,NK DHANBAD SPL,DALTONGANJ,DTO,470,ER
03398,NK DHANBAD SPL,BARWADIH JN,BRWD,483,ER
03398,NK DHANBAD SPL,LATEHAR,LTHR,499,ER
03398,NK DHANBAD SPL,TORI,TORI,516,ER
03398,NK DHANBAD SPL,KHALARI,KLRE,526,ER
03398,NK DHANBAD SPL,PATRATU,PTRU,534,ER
03398,NK DHANBAD SPL,BARKA KANA,BRKA,515,ER
03398,NK DHANBAD SPL,RANCHI ROAD,RRME,537,ER
03398,NK DHANBAD SPL,GUMIA,GMIA,538,ER
03398,NK DHANBAD SPL,BOKARO THERMAL,BKRO,534,ER
03398,NK DHANBAD SPL,CHANDRAPURA,CRP,565,ER
03398,NK DHANBAD SPL,KATRASGARH,KTH,564,ER
03398,NK DHANBAD SPL,DHANBAD JN,DHN,552,ER
04082,NDLS HOLI SPL,,,,
05577,SHC ANVT GR SPL,SAHARSA JN,SHC,157,ECR
05577,SHC ANVT GR SPL,GARH BARUARI,GEB,164,ECR
05577,SHC ANVT GR SPL,SUPAUL,SOU,159,ECR
05577,SHC ANVT GR SPL,SARAYGARH,SRGR,165,ECR
05577,SHC ANVT GR SPL,NIRMALI,NMA,175,ECR
05577,SHC ANVT GR SPL,GHOGARDIHA,GGH,179,ECR
05577,SHC ANVT GR SPL,JHANJHARPUR,JJP,183,ECR
05577,SHC ANVT GR SPL,SAKRI JN,SKI,214,ECR
05577,SHC ANVT GR SPL,DARBHANGA JN,DBG,235,ECR
05577,SHC ANVT GR SPL,JANAKPUR ROAD,JNR,252,ECR
05577,SHC ANVT GR SPL,SITAMARHI,SMI,240,ECR
05577,SHC ANVT GR SPL,BAIRAGNIA,BGU,250,ECR
05577,SHC ANVT GR SPL,RAXAUL JN,RXL,284,ECR
05577,SHC ANVT GR SPL,NARKATIAGANJ JN,NKE,286,ECR
05577,SHC ANVT GR SPL,BAGAHA,BUG,302,ECR
05577,SHC ANVT GR SPL,KAPTANGANJ JN,CPJ,253,ECR
05577,SHC ANVT GR SPL,GORAKHPUR JN,GKP,286,ECR
05577,SHC ANVT GR SPL,BASTI,BST,350,ECR
05577,SHC ANVT GR SPL,GONDA JN,GD,425,ECR
05577,SHC ANVT GR SPL,SITAPUR,STP,403,ECR
05577,SHC ANVT GR SPL,SHAHJEHANPUR,SPN,408,ECR
05577,SHC ANVT GR SPL,BAREILLY,BE,437,ECR
05577,SHC ANVT GR SPL,MORADABAD,MB,422,ECR
05577,SHC ANVT GR SPL,GHAZIABAD,GZB,504,ECR
05577,SHC ANVT GR SPL,ANAND VIHAR TRM,ANVT,492,ECR
05578,ANVT SHC GR SPL,ANAND VIHAR TRM,ANVT,322,ECR
05578,ANVT SHC GR SPL,GHAZIABAD,GZB,352,ECR
05578,ANVT SHC GR SPL,MORADABAD,MB,364,ECR
05578,ANVT SHC GR SPL,BAREILLY,BE,387,ECR
05578,ANVT SHC GR SPL,SHAHJEHANPUR,SPN,427,ECR
05578,ANVT SHC GR SPL,SITAPUR,STP,387,ECR
05578,ANVT SHC GR SPL,GONDA JN,GD,457,ECR
05578,ANVT SHC GR SPL,BASTI,BST,479,ECR
05578,ANVT SHC GR SPL,GORAKHPUR JN,GKP,479,ECR
05578,ANVT SHC GR SPL,KAPTANGANJ JN,CPJ,501,ECR
05578,ANVT SHC GR SPL,BAGAHA,BUG,437,ECR
05578,ANVT SHC GR SPL,NARKATIAGANJ JN,NKE,437,ECR
05578,ANVT SHC GR SPL,RAXAUL JN,RXL,454,ECR
05578,ANVT SHC GR SPL,BAIRAGNIA,BGU,492,ECR
05578,ANVT SHC GR SPL,SITAMARHI,SMI,509,ECR
05578,ANVT SHC GR SPL,JANAKPUR ROAD,JNR,514,ECR
05578,ANVT SHC GR SPL,DARBHANGA JN,DBG,537,ECR
05578,ANVT SHC GR SPL,SAKRI JN,SKI,539,ECR
05578,ANVT SHC GR SPL,JHANJHARPUR,JJP,543,ECR
05578,ANVT SHC GR SPL,GHOGARDIHA,GGH,569,ECR
05578,ANVT SHC GR SPL,NIRMALI,NMA,513,ECR
05578,ANVT SHC GR SPL,SARAYGARH,SRGR,549,ECR
05578,ANVT SHC GR SPL,SUPAUL,SOU,581,ECR
05578,ANVT SHC GR SPL,GARH BARUARI,GEB,589,ECR
05578,ANVT SHC GR SPL,SAHARSA JN,SHC,577,ECR
09819,SGAC DNR SPL,SOGARIA,SGAC,0,WCR
09819,SGAC DNR SPL,BARAN,BAZ,0,WCR
09819,SGAC DNR SPL,RUTHIYAI,RTA,0,WCR
09819,SGAC DNR SPL,GUNA,GUNA,0,WCR
09819,SGAC DNR SPL,SAUGOR,SGO,0,WCR
09819,SGAC DNR SPL,DAMOH,DMO,0,WCR
09819,SGAC DNR SPL,KATNI MURWARA,KMZ,0,WCR
09819,SGAC DNR SPL,MAIHAR,MYR,0,WCR
09819,SGAC DNR SPL,SATNA,STA,0,WCR
09819,SGAC DNR SPL,MANIKPUR JN,MKP,0,WCR
