Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12207,JAMMU GARIB RATH,KATHGODAM,KGM,88,NR
12207,JAMMU GARIB RATH,HALDWANI,HDW,95,NR
12207,JAMMU GARIB RATH,LAL KUAN,LKU,92,NR
12207,JAMMU GARIB RATH,RUDRAPUR CITY,RUPC,94,NR
12207,JAMMU GARIB RATH,BILASPUR ROAD,BLQR,98,NR
12207,JAMMU GARIB RATH,RAMPUR,RMU,87,NR
12207,JAMMU GARIB RATH,MORADABAD,MB,86,NR
12207,JAMMU GARIB RATH,LAKSAR JN,LRJ,86,NR
12207,JAMMU GARIB RATH,SAHARANPUR,SRE,80,NR
12207,JAMMU GARIB RATH,YAMUNANAGAR JAGADHRI,YJUD,87,NR
12207,JAMMU GARIB RATH,AMBALA CANT JN,UMB,87,NR
12207,JAMMU GARIB RATH,LUDHIANA JN,LDH,133,NR
12207,JAMMU GARIB RATH,JALANDHAR CANT,JRC,133,NR
12207,JAMMU GARIB RATH,PATHANKOT CANTT,PTKC,125,NR
12207,JAMMU GARIB RATH,JAMMU TAWI,JAT,143,NR
