Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12503,AGTL HUMSAFAR,SMVT BENGALURU,SMVB,94,NFR
12503,AGTL HUMSAFAR,WHITEFIELD,WFD,106,NFR
12503,AGTL HUMSAFAR,KATPADI JN,KPD,127,NFR
12503,AGTL HUMSAFAR,PERAMBUR,PER,135,NFR
12503,AGTL HUMSAFAR,VIJAYAWADA JN,BZA,155,NFR
12503,AGTL HUMSAFAR,DUVVADA,DVD,135,NFR
12503,AGTL HUMSAFAR,VISHAKAPATNAM,VSKP,156,NFR
12503,AGTL HUMSAFAR,VIZIANAGRAM JN,VZM,170,NFR
12503,AGTL HUMSAFAR,SRIKAKULAM ROAD,CHE,174,NFR
12503,AGTL HUMSAFAR,PALASA,PSA,161,NFR
12503,AGTL HUMSAFAR,BRAHMAPUR,BAM,177,NFR
12503,AGTL HUMSAFAR,KHURDA ROAD JN,KUR,199,NFR
12503,AGTL HUMSAFAR,BHUBANESWAR,BBS,207,NFR
12503,AGTL HUMSAFAR,CUTTACK,CTC,222,NFR
12503,AGTL HUMSAFAR,BHADRAKH,BHC,199,NFR
12503,AGTL HUMSAFAR,KHARAGPUR JN,KGP,248,NFR
12503,AGTL HUMSAFAR,ANDUL,ADL,272,NFR
12503,AGTL HUMSAFAR,DANKUNI,DKAE,271,NFR
12503,AGTL HUMSAFAR,RAMPUR HAT,RPH,326,NFR
12503,AGTL HUMSAFAR,MALDA TOWN,MLDT,302,NFR
12503,AGTL HUMSAFAR,KISHANGANJ,KNE,314,NFR
12503,AGTL HUMSAFAR,NEW JALPAIGURI,NJP,314,NFR
12503,AGTL HUMSAFAR,NEW BONGAIGAON,NBQ,320,NFR
12503,AGTL HUMSAFAR,KAMAKHYA,KYQ,320,NFR
12503,AGTL HUMSAFAR,GUWAHATI,GHY,335,NFR
12503,AGTL HUMSAFAR,NEW HAFLONG,NHLG,380,NFR
12503,AGTL HUMSAFAR,BADARPUR JN,BPB,380,NFR
12503,AGTL HUMSAFAR,NEW KARIMGANJ,NKMG,381,NFR
12503,AGTL HUMSAFAR,DHARMANAGAR,DMR,372,NFR
12503,AGTL HUMSAFAR,AMBASA,ABSA,369,NFR
12503,AGTL HUMSAFAR,AGARTALA,AGTL,341,NFR
