Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02563,BJU NDLS HUMSFAR,BARAUNI JN,BJU,119,ECR
02563,BJU NDLS HUMSFAR,MUZAFFARPUR JN,MFP,216,ECR
02563,BJU NDLS HUMSFAR,CHHAPRA,CPR,242,ECR
02563,BJU NDLS HUMSFAR,SIWAN JN,SV,253,ECR
02563,BJU NDLS HUMSFAR,DEORIA SADAR,DEOS,288,ECR
02563,BJU NDLS HUMSFAR,GORAKHPUR JN,GKP,333,ECR
02563,BJU NDLS HUMSFAR,BASTI,BST,358,ECR
02563,BJU NDLS HUMSFAR,AISHBAGH,ASH,443,ECR
02563,BJU NDLS HUMSFAR,KANPUR CENTRAL,CNB,480,ECR
02563,BJU NDLS HUMSFAR,NEW DELHI,NDLS,494,ECR
02564,BJU HUMSAFAR,NEW DELHI,NDLS,61,ECR
02564,BJU HUMSAFAR,KANPUR CENTRAL,CNB,113,ECR
02564,BJU HUMSAFAR,AISHBAGH,ASH,140,ECR
02564,BJU HUMSAFAR,BASTI,BST,211,ECR
02564,BJU HUMSAFAR,GORAKHPUR JN,GKP,209,ECR
02564,BJU HUMSAFAR,DEORIA SADAR,DEOS,218,ECR
02564,BJU HUMSAFAR,SIWAN JN,SV,220,ECR
02564,BJU HUMSAFAR,CHHAPRA,CPR,257,ECR
02564,BJU HUMSAFAR,MUZAFFARPUR JN,MFP,319,ECR
02564,BJU HUMSAFAR,BARAUNI JN,BJU,402,ECR
02569,DBG NDLS HMSAFAR,DARBHANGA JN,DBG,33,ECR
02569,DBG NDLS HMSAFAR,SAMASTIPUR JN,SPJ,55,ECR
02569,DBG NDLS HMSAFAR,MUZAFFARPUR JN,MFP,84,ECR
02569,DBG NDLS HMSAFAR,CHHAPRA,CPR,129,ECR
02569,DBG NDLS HMSAFAR,SIWAN JN,SV,145,ECR
02569,DBG NDLS HMSAFAR,DEORIA SADAR,DEOS,180,ECR
02569,DBG NDLS HMSAFAR,GORAKHPUR JN,GKP,225,ECR
02569,DBG NDLS HMSAFAR,BASTI,BST,246,ECR
02569,DBG NDLS HMSAFAR,AISHBAGH,ASH,325,ECR
02569,DBG NDLS HMSAFAR,KANPUR CENTRAL,CNB,378,ECR
02569,DBG NDLS HMSAFAR,NEW DELHI,NDLS,422,ECR
02570,DBG HUMSAFAR,NEW DELHI,NDLS,170,ECR
02570,DBG HUMSAFAR,KANPUR CENTRAL,CNB,197,ECR
02570,DBG HUMSAFAR,AISHBAGH,ASH,234,ECR
02570,DBG HUMSAFAR,BASTI,BST,313,ECR
02570,DBG HUMSAFAR,GORAKHPUR JN,GKP,318,ECR
02570,DBG HUMSAFAR,DEORIA SADAR,DEOS,324,ECR
02570,DBG HUMSAFAR,SIWAN JN,SV,348,ECR
02570,DBG HUMSAFAR,CHHAPRA,CPR,332,ECR
02570,DBG HUMSAFAR,MUZAFFARPUR JN,MFP,378,ECR
02570,DBG HUMSAFAR,SAMASTIPUR JN,SPJ,403,ECR
02570,DBG HUMSAFAR,DARBHANGA JN,DBG,399,ECR
02595,GKP FESTIVAL SPL,,,,
02596,HMSFR FEST SPL,,,,
02751,JAT HUMSAFAR SPL,,,,
02752,NED HUMSAFAR SPL,,,,
04651,PNBE FZR HUMSAFAR,JAYNAGAR,JYG,121,NR
04651,PNBE FZR HUMSAFAR,DARBHANGA JN,DBG,154,NR
04651,PNBE FZR HUMSAFAR,SAMASTIPUR JN,SPJ,182,NR
04651,PNBE FZR HUMSAFAR,MUZAFFARPUR JN,MFP,223,NR
04651,PNBE FZR HUMSAFAR,CHHAPRA,CPR,243,NR
04651,PNBE FZR HUMSAFAR,SHAHGANJ JN,SHG,224,NR
04651,PNBE FZR HUMSAFAR,LUCKNOW NR,LKO,263,NR
04651,PNBE FZR HUMSAFAR,MORADABAD,MB,309,NR
04651,PNBE FZR HUMSAFAR,DELHI,DLI,397,NR
04651,PNBE FZR HUMSAFAR,AMBALA CANT JN,UMB,452,NR
04651,PNBE FZR HUMSAFAR,DHANDARI KALAN,DDL,909,NR
04651,PNBE FZR HUMSAFAR,AMRITSAR JN,ASR,481,NR
04652,JYG HUMSAFR SPL,AMRITSAR JN,ASR,44,NR
04652,JYG HUMSAFR SPL,DHANDARI KALAN,DDL,207,NR
04652,JYG HUMSAFR SPL,AMBALA CANT JN,UMB,113,NR
04652,JYG HUMSAFR SPL,DELHI,DLI,166,NR
04652,JYG HUMSAFR SPL,MORADABAD,MB,238,NR
04652,JYG HUMSAFR SPL,LUCKNOW NR,LKO,331,NR
04652,JYG HUMSAFR SPL,SHAHGANJ JN,SHG,345,NR
04652,JYG HUMSAFR SPL,CHHAPRA,CPR,361,NR
04652,JYG HUMSAFR SPL,MUZAFFARPUR JN,MFP,425,NR
04652,JYG HUMSAFR SPL,SAMASTIPUR JN,SPJ,450,NR
04652,JYG HUMSAFR SPL,DARBHANGA JN,DBG,481,NR
04652,JYG HUMSAFR SPL,JAYNAGAR,JYG,449,NR
06509,SBC DNR HUMSAFAR,KSR BANGALORE CY JN,SBC,3,SWR
06509,SBC DNR HUMSAFAR,KRISHNARAJAPURM,KJM,16,SWR
06509,SBC DNR HUMSAFAR,JOLARPETTAI,JTJ,11,SWR
06509,SBC DNR HUMSAFAR,KATPADI JN,KPD,4,SWR
06509,SBC DNR HUMSAFAR,ARAKKONAM,AJJ,11,SWR
06509,SBC DNR HUMSAFAR,PERAMBUR,PER,22,SWR
06509,SBC DNR HUMSAFAR,VIJAYAWADA JN,BZA,93,SWR
06509,SBC DNR HUMSAFAR,WARANGAL,WL,186,SWR
06509,SBC DNR HUMSAFAR,BALHARSHAH,BPQ,212,SWR
06509,SBC DNR HUMSAFAR,NAGPUR,NGP,248,SWR
06509,SBC DNR HUMSAFAR,ITARSI JN,ET,199,SWR
06509,SBC DNR HUMSAFAR,JABALPUR,JBP,265,SWR
06509,SBC DNR HUMSAFAR,SATNA,STA,336,SWR
06509,SBC DNR HUMSAFAR,PRAYAGRAJ CHHEOKI,PCOI,307,SWR
06509,SBC DNR HUMSAFAR,PT DEEN DAYAL UPADHYAY JN,DDU,229,SWR
06509,SBC DNR HUMSAFAR,ARA,ARA,241,SWR
06509,SBC DNR HUMSAFAR,DANAPUR,DNR,251,SWR
06510,DNR SBC HUMSAFAR,DANAPUR,DNR,163,SWR
06510,DNR SBC HUMSAFAR,ARA,ARA,197,SWR
06510,DNR SBC HUMSAFAR,PT DEEN DAYAL UPADHYAY JN,DDU,245,SWR
06510,DNR SBC HUMSAFAR,PRAYAGRAJ CHHEOKI,PCOI,287,SWR
06510,DNR SBC HUMSAFAR,SATNA,STA,305,SWR
06510,DNR SBC HUMSAFAR,JABALPUR,JBP,372,SWR
06510,DNR SBC HUMSAFAR,ITARSI JN,ET,378,SWR
06510,DNR SBC HUMSAFAR,NAGPUR,NGP,368,SWR
06510,DNR SBC HUMSAFAR,BALHARSHAH,BPQ,382,SWR
06510,DNR SBC HUMSAFAR,WARANGAL,WL,456,SWR
06510,DNR SBC HUMSAFAR,VIJAYAWADA JN,BZA,473,SWR
06510,DNR SBC HUMSAFAR,PERAMBUR,PER,514,SWR
06510,DNR SBC HUMSAFAR,ARAKKONAM,AJJ,518,SWR
06510,DNR SBC HUMSAFAR,KATPADI JN,KPD,517,SWR
06510,DNR SBC HUMSAFAR,JOLARPETTAI,JTJ,477,SWR
06510,DNR SBC HUMSAFAR,KSR BANGALORE CY JN,SBC,433,SWR
09065,CPR HUMSAFAR SPL,SURAT,ST,0,WR
09065,CPR HUMSAFAR SPL,UDHNA JN,UDN,2,WR
09065,CPR HUMSAFAR SPL,NANDURBAR,NDB,8,WR
09065,CPR HUMSAFAR SPL,BHUSAVAL JN,BSL,26,WR
09065,CPR HUMSAFAR SPL,ITARSI JN,ET,47,WR
09065,CPR HUMSAFAR SPL,JABALPUR,JBP,118,WR
09065,CPR HUMSAFAR SPL,PRAYAGRAJ CHHEOKI,PCOI,228,WR
09065,CPR HUMSAFAR SPL,VARANASI JN,BSB,225,WR
09065,CPR HUMSAFAR SPL,JAUNPUR JN,JNU,218,WR
09065,CPR HUMSAFAR SPL,KERAKAT H,KCT,222,WR
09065,CPR HUMSAFAR SPL,CHHAPRA,CPR,153,WR
09447,ADI PNBE SF SPL,AHMEDABAD JN,ADI,5,WR
09447,ADI PNBE SF SPL,CHHAYAPURI,CYI,7,WR
09447,ADI PNBE SF SPL,RATLAM JN,RTM,21,WR
09447,ADI PNBE SF SPL,KOTA JN,KOTA,26,WR
09447,ADI PNBE SF SPL,AGRA FORT,AF,45,WR
09447,ADI PNBE SF SPL,KANPUR CENTRAL,CNB,53,WR
09447,ADI PNBE SF SPL,PT DEEN DAYAL UPADHYAY JN,DDU,99,WR
09447,ADI PNBE SF SPL,PATNA JN,PNBE,152,WR
09448,PNBE ADI SPL,PATNA JN,PNBE,11,WR
09448,PNBE ADI SPL,PT DEEN DAYAL UPADHYAY JN,DDU,10,WR
09448,PNBE ADI SPL,KANPUR CENTRAL,CNB,54,WR
09448,PNBE ADI SPL,AGRA FORT,AF,68,WR
09448,PNBE ADI SPL,KOTA JN,KOTA,138,WR
09448,PNBE ADI SPL,RATLAM JN,RTM,94,WR
09448,PNBE ADI SPL,CHHAYAPURI,CYI,90,WR
09448,PNBE ADI SPL,AHMEDABAD JN,ADI,83,WR
09465,ADI DBG SPL,AHMEDABAD JN,ADI,5,WR
09465,ADI DBG SPL,CHHAYAPURI,CYI,6,WR
09465,ADI DBG SPL,RATLAM JN,RTM,16,WR
09465,ADI DBG SPL,UJJAIN JN,UJN,5,WR
09465,ADI DBG SPL,GUNA,GUNA,1,WR
09465,ADI DBG SPL,BINA JN,BINA,6,WR
09465,ADI DBG SPL,V LAKSHMIBAI JHANSI,VGLJ,11,WR
09465,ADI DBG SPL,KANPUR CENTRAL,CNB,50,WR
09465,ADI DBG SPL,LUCKNOW NR,LKO,93,WR
09465,ADI DBG SPL,AYODHYA CANT,AYC,115,WR
09465,ADI DBG SPL,SHAHGANJ JN,SHG,91,WR
09465,ADI DBG SPL,CHHAPRA,CPR,76,WR
09465,ADI DBG SPL,MUZAFFARPUR JN,MFP,110,WR
09465,ADI DBG SPL,SAMASTIPUR JN,SPJ,191,WR
09465,ADI DBG SPL,DARBHANGA JN,DBG,175,WR
09466,DBG ADI SPL,DARBHANGA JN,DBG,1,WR
09466,DBG ADI SPL,SAMASTIPUR JN,SPJ,42,WR
09466,DBG ADI SPL,MUZAFFARPUR JN,MFP,78,WR
09466,DBG ADI SPL,CHHAPRA,CPR,63,WR
09466,DBG ADI SPL,SHAHGANJ JN,SHG,82,WR
09466,DBG ADI SPL,AYODHYA CANT,AYC,131,WR
09466,DBG ADI SPL,LUCKNOW NR,LKO,172,WR
09466,DBG ADI SPL,KANPUR CENTRAL,CNB,198,WR
09466,DBG ADI SPL,V LAKSHMIBAI JHANSI,VGLJ,203,WR
09466,DBG ADI SPL,BINA JN,BINA,254,WR
09466,DBG ADI SPL,GUNA,GUNA,246,WR
09466,DBG ADI SPL,UJJAIN JN,UJN,281,WR
09466,DBG ADI SPL,RATLAM JN,RTM,297,WR
09466,DBG ADI SPL,CHHAYAPURI,CYI,275,WR
09466,DBG ADI SPL,AHMEDABAD JN,ADI,285,WR
12235,HUMSAFAR EXP,MADHUPUR JN,MDP,29,NR
12235,HUMSAFAR EXP,JASIDIH JN,JSME,38,NR
12235,HUMSAFAR EXP,JHAJHA,JAJ,26,NR
12235,HUMSAFAR EXP,KIUL JN,KIUL,41,NR
12235,HUMSAFAR EXP,MOKAMEH JN,MKA,55,NR
12235,HUMSAFAR EXP,PATNA JN,PNBE,47,NR
12235,HUMSAFAR EXP,ARA,ARA,61,NR
12235,HUMSAFAR EXP,BUXAR,BXR,74,NR
12235,HUMSAFAR EXP,PT DEEN DAYAL UPADHYAY JN,DDU,32,NR
12235,HUMSAFAR EXP,PRAYAGRAJ JN,PRYJ,67,NR
12235,HUMSAFAR EXP,KANPUR CENTRAL,CNB,91,NR
12235,HUMSAFAR EXP,ANAND VIHAR TRM,ANVT,133,NR
12236,ANVT MDP HUMSFR,ANAND VIHAR TRM,ANVT,28,NR
12236,ANVT MDP HUMSFR,KANPUR CENTRAL,CNB,49,NR
12236,ANVT MDP HUMSFR,PRAYAGRAJ JN,PRYJ,65,NR
12236,ANVT MDP HUMSFR,PT DEEN DAYAL UPADHYAY JN,DDU,77,NR
12236,ANVT MDP HUMSFR,BUXAR,BXR,95,NR
12236,ANVT MDP HUMSFR,ARA,ARA,107,NR
12236,ANVT MDP HUMSFR,PATNA JN,PNBE,119,NR
12236,ANVT MDP HUMSFR,MOKAMEH JN,MKA,142,NR
12236,ANVT MDP HUMSFR,KIUL JN,KIUL,143,NR
