Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02563,BJU NDLS HUMSFAR,BARAUNI JN,BJU,90,ECR
02563,BJU NDLS HUMSFAR,MUZAFFARPUR JN,MFP,182,ECR
02563,BJU NDLS HUMSFAR,CHHAPRA,CPR,207,ECR
02563,BJU NDLS HUMSFAR,SIWAN JN,SV,219,ECR
02563,BJU NDLS HUMSFAR,DEORIA SADAR,DEOS,244,ECR
02563,BJU NDLS HUMSFAR,GORAKHPUR JN,GKP,285,ECR
02563,BJU NDLS HUMSFAR,BASTI,BST,308,ECR
02563,BJU NDLS HUMSFAR,AISHBAGH,ASH,400,ECR
02563,BJU NDLS HUMSFAR,KANPUR CENTRAL,CNB,429,ECR
02563,BJU NDLS HUMSFAR,NEW DELHI,NDLS,428,ECR
02564,BJU HUMSAFAR,NEW DELHI,NDLS,40,ECR
02564,BJU HUMSAFAR,KANPUR CENTRAL,CNB,71,ECR
02564,BJU HUMSAFAR,AISHBAGH,ASH,95,ECR
02564,BJU HUMSAFAR,BASTI,BST,158,ECR
02564,BJU HUMSAFAR,GORAKHPUR JN,GKP,158,ECR
02564,BJU HUMSAFAR,DEORIA SADAR,DEOS,164,ECR
02564,BJU HUMSAFAR,SIWAN JN,SV,167,ECR
02564,BJU HUMSAFAR,CHHAPRA,CPR,200,ECR
02564,BJU HUMSAFAR,MUZAFFARPUR JN,MFP,257,ECR
02564,BJU HUMSAFAR,BARAUNI JN,BJU,336,ECR
02569,DBG NDLS HMSAFAR,DARBHANGA JN,DBG,20,ECR
02569,DBG NDLS HMSAFAR,SAMASTIPUR JN,SPJ,32,ECR
02569,DBG NDLS HMSAFAR,MUZAFFARPUR JN,MFP,57,ECR
02569,DBG NDLS HMSAFAR,CHHAPRA,CPR,99,ECR
02569,DBG NDLS HMSAFAR,SIWAN JN,SV,116,ECR
02569,DBG NDLS HMSAFAR,DEORIA SADAR,DEOS,139,ECR
02569,DBG NDLS HMSAFAR,GORAKHPUR JN,GKP,178,ECR
02569,DBG NDLS HMSAFAR,BASTI,BST,200,ECR
02569,DBG NDLS HMSAFAR,AISHBAGH,ASH,275,ECR
02569,DBG NDLS HMSAFAR,KANPUR CENTRAL,CNB,318,ECR
02569,DBG NDLS HMSAFAR,NEW DELHI,NDLS,346,ECR
02570,DBG HUMSAFAR,NEW DELHI,NDLS,112,ECR
02570,DBG HUMSAFAR,KANPUR CENTRAL,CNB,129,ECR
02570,DBG HUMSAFAR,AISHBAGH,ASH,168,ECR
02570,DBG HUMSAFAR,BASTI,BST,243,ECR
02570,DBG HUMSAFAR,GORAKHPUR JN,GKP,247,ECR
02570,DBG HUMSAFAR,DEORIA SADAR,DEOS,254,ECR
02570,DBG HUMSAFAR,SIWAN JN,SV,275,ECR
02570,DBG HUMSAFAR,CHHAPRA,CPR,251,ECR
02570,DBG HUMSAFAR,MUZAFFARPUR JN,MFP,288,ECR
02570,DBG HUMSAFAR,SAMASTIPUR JN,SPJ,316,ECR
02570,DBG HUMSAFAR,DARBHANGA JN,DBG,305,ECR
02595,GKP FESTIVAL SPL,,,,
02596,HMSFR FEST SPL,,,,
02751,JAT HUMSAFAR SPL,,,,
02752,NED HUMSAFAR SPL,,,,
04651,PNBE FZR HUMSAFAR,JAYNAGAR,JYG,133,NR
04651,PNBE FZR HUMSAFAR,DARBHANGA JN,DBG,162,NR
04651,PNBE FZR HUMSAFAR,SAMASTIPUR JN,SPJ,184,NR
04651,PNBE FZR HUMSAFAR,MUZAFFARPUR JN,MFP,214,NR
04651,PNBE FZR HUMSAFAR,CHHAPRA,CPR,234,NR
04651,PNBE FZR HUMSAFAR,SHAHGANJ JN,SHG,225,NR
04651,PNBE FZR HUMSAFAR,LUCKNOW NR,LKO,243,NR
04651,PNBE FZR HUMSAFAR,MORADABAD,MB,286,NR
04651,PNBE FZR HUMSAFAR,DELHI,DLI,359,NR
04651,PNBE FZR HUMSAFAR,AMBALA CANT JN,UMB,385,NR
04651,PNBE FZR HUMSAFAR,DHANDARI KALAN,DDL,909,NR
04651,PNBE FZR HUMSAFAR,AMRITSAR JN,ASR,476,NR
04652,JYG HUMSAFR SPL,AMRITSAR JN,ASR,68,NR
04652,JYG HUMSAFR SPL,DHANDARI KALAN,DDL,207,NR
04652,JYG HUMSAFR SPL,AMBALA CANT JN,UMB,132,NR
04652,JYG HUMSAFR SPL,DELHI,DLI,209,NR
04652,JYG HUMSAFR SPL,MORADABAD,MB,267,NR
04652,JYG HUMSAFR SPL,LUCKNOW NR,LKO,349,NR
04652,JYG HUMSAFR SPL,SHAHGANJ JN,SHG,390,NR
04652,JYG HUMSAFR SPL,CHHAPRA,CPR,403,NR
04652,JYG HUMSAFR SPL,MUZAFFARPUR JN,MFP,456,NR
04652,JYG HUMSAFR SPL,SAMASTIPUR JN,SPJ,478,NR
04652,JYG HUMSAFR SPL,DARBHANGA JN,DBG,502,NR
04652,JYG HUMSAFR SPL,JAYNAGAR,JYG,460,NR
06509,SBC DNR HUMSAFAR,KSR BANGALORE CY JN,SBC,4,SWR
06509,SBC DNR HUMSAFAR,KRISHNARAJAPURM,KJM,17,SWR
06509,SBC DNR HUMSAFAR,JOLARPETTAI,JTJ,21,SWR
06509,SBC DNR HUMSAFAR,KATPADI JN,KPD,14,SWR
06509,SBC DNR HUMSAFAR,ARAKKONAM,AJJ,14,SWR
06509,SBC DNR HUMSAFAR,PERAMBUR,PER,26,SWR
06509,SBC DNR HUMSAFAR,CHENNAI CENTRAL,MAS,13,SWR
06509,SBC DNR HUMSAFAR,VIJAYAWADA JN,BZA,97,SWR
06509,SBC DNR HUMSAFAR,WARANGAL,WL,207,SWR
