Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20918,INDB HUMSAFAR EX,PURI,PURI,2,WR
20918,INDB HUMSAFAR EX,KHURDA ROAD JN,KUR,6,WR
20918,INDB HUMSAFAR EX,BHUBANESWAR,BBS,6,WR
20918,INDB HUMSAFAR EX,TALCHER ROAD,TLHD,49,WR
20918,INDB HUMSAFAR EX,ANGUL,ANGL,55,WR
20918,INDB HUMSAFAR EX,SAMBALPUR CITY,SBPY,36,WR
20918,INDB HUMSAFAR EX,JHARSUGUDA ROAD,JSGR,37,WR
20918,INDB HUMSAFAR EX,RAIGARH,RIG,83,WR
20918,INDB HUMSAFAR EX,BILASPUR JN,BSP,96,WR
20918,INDB HUMSAFAR EX,RAIPUR JN,R,116,WR
20918,INDB HUMSAFAR EX,DURG,DURG,105,WR
20918,INDB HUMSAFAR EX,RAJ NANDGAON,RJN,116,WR
20918,INDB HUMSAFAR EX,GONDIA JN,G,118,WR
20918,INDB HUMSAFAR EX,NAGPUR,NGP,106,WR
20918,INDB HUMSAFAR EX,ITARSI JN,ET,66,WR
20918,INDB HUMSAFAR EX,BHOPAL JN,BPL,77,WR
20918,INDB HUMSAFAR EX,DEWAS,DWX,61,WR
20918,INDB HUMSAFAR EX,INDORE JN BG,INDB,40,WR
