Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
22353,HUMSAFAR EXP,PATNA JN,PNBE,5,ECR
22353,HUMSAFAR EXP,ARA,ARA,8,ECR
22353,HUMSAFAR EXP,BUXAR,BXR,17,ECR
22353,HUMSAFAR EXP,PT DEEN DAYAL UPADHYAY JN,DDU,1,ECR
22353,HUMSAFAR EXP,PRAYAGRAJ CHHEOKI,PCOI,2,ECR
22353,HUMSAFAR EXP,SATNA,STA,16,ECR
22353,HUMSAFAR EXP,KATNI,KTE,34,ECR
22353,HUMSAFAR EXP,JABALPUR,JBP,11,ECR
22353,HUMSAFAR EXP,PIPARIYA,PPI,67,ECR
22353,HUMSAFAR EXP,ITARSI JN,ET,10,ECR
22353,HUMSAFAR EXP,BETUL,BZU,19,ECR
22353,HUMSAFAR EXP,NAGPUR,NGP,16,ECR
22353,HUMSAFAR EXP,CHANDRAPUR,CD,48,ECR
22353,HUMSAFAR EXP,BALHARSHAH,BPQ,5,ECR
22353,HUMSAFAR EXP,WARANGAL,WL,47,ECR
22353,HUMSAFAR EXP,VIJAYAWADA JN,BZA,45,ECR
22353,HUMSAFAR EXP,GUDUR JN,GDR,27,ECR
22353,HUMSAFAR EXP,PERAMBUR,PER,0,ECR
22353,HUMSAFAR EXP,KATPADI JN,KPD,26,ECR
22353,HUMSAFAR EXP,JOLARPETTAI,JTJ,21,ECR
22353,HUMSAFAR EXP,KRISHNARAJAPURM,KJM,13,ECR
