Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12022,BBN JANSHATABDI,BARABIL,BBN,155,SER
12022,BBN JANSHATABDI,BARA JAMDA,BJMD,195,SER
12022,BBN JANSHATABDI,NOAMUNDI,NOMD,199,SER
12022,BBN JANSHATABDI,DANGOAPOSI,DPS,204,SER
12022,BBN JANSHATABDI,CHAIBASA,CBSA,223,SER
12022,BBN JANSHATABDI,SINI JN,SINI,251,SER
12022,BBN JANSHATABDI,TATANAGAR JN,TATA,278,SER
12022,BBN JANSHATABDI,GHATSILA,GTS,282,SER
12022,BBN JANSHATABDI,JHARGRAM,JGM,294,SER
12022,BBN JANSHATABDI,KHARAGPUR JN,KGP,298,SER
12022,BBN JANSHATABDI,SANTRAGACHI JN,SRC,332,SER
12022,BBN JANSHATABDI,HOWRAH JN,HWH,350,SER
