Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02053,HW ASR JNSHTBDI,,,,
02054,ASR HW JNSHTBDI,,,,
02055,DDN JSHT SPL,,,,
02056,DDN NDLS JSHT SPL,,,,
02057,UHL JANSHT SPL,,,,
02061,JBP JANSHATABDI,,,,
02062,HBJ JANSHATABDI,,,,
02066,AII JAN SHATABDI,,,,
02067,JAN SHATABDI EX,,,,
02068,JAN SHATABDI EX,,,,
02069,JANSHATABDI EXP,,,,
12021,BBN JANSHATABDI,HOWRAH JN,HWH,102,SER
12021,BBN JANSHATABDI,KHARAGPUR JN,KGP,118,SER
12021,BBN JANSHATABDI,JHARGRAM,JGM,124,SER
12021,BBN JANSHATABDI,GHATSILA,GTS,130,SER
12021,BBN JANSHATABDI,TATANAGAR JN,TATA,134,SER
12021,BBN JANSHATABDI,SINI JN,SINI,141,SER
12021,BBN JANSHATABDI,CHAIBASA,CBSA,146,SER
12021,BBN JANSHATABDI,DANGOAPOSI,DPS,144,SER
12021,BBN JANSHATABDI,NOAMUNDI,NOMD,141,SER
12021,BBN JANSHATABDI,BARA JAMDA,BJMD,143,SER
12021,BBN JANSHATABDI,BARABIL,BBN,101,SER
12022,BBN JANSHATABDI,BARABIL,BBN,159,SER
12022,BBN JANSHATABDI,BARA JAMDA,BJMD,179,SER
12022,BBN JANSHATABDI,NOAMUNDI,NOMD,182,SER
12022,BBN JANSHATABDI,DANGOAPOSI,DPS,188,SER
12022,BBN JANSHATABDI,CHAIBASA,CBSA,207,SER
12022,BBN JANSHATABDI,SINI JN,SINI,235,SER
12022,BBN JANSHATABDI,TATANAGAR JN,TATA,271,SER
12022,BBN JANSHATABDI,GHATSILA,GTS,273,SER
12022,BBN JANSHATABDI,JHARGRAM,JGM,284,SER
12022,BBN JANSHATABDI,KHARAGPUR JN,KGP,287,SER
12022,BBN JANSHATABDI,SANTRAGACHI JN,SRC,317,SER
12022,BBN JANSHATABDI,HOWRAH JN,HWH,338,SER
12023,JANSHATABDI EXP,HOWRAH JN,HWH,8,ECR
12023,JANSHATABDI EXP,DURGAPUR,DGR,16,ECR
