Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02053,HW ASR JNSHTBDI,,,,
02054,ASR HW JNSHTBDI,,,,
02055,DDN JSHT SPL,,,,
02056,DDN NDLS JSHT SPL,,,,
02057,UHL JANSHT SPL,,,,
02061,JBP JANSHATABDI,,,,
02062,HBJ JANSHATABDI,,,,
02066,AII JAN SHATABDI,,,,
02067,JAN SHATABDI EX,,,,
02068,JAN SHATABDI EX,,,,
02069,JANSHATABDI EXP,,,,
12021,BBN JANSHATABDI,HOWRAH JN,HWH,208,SER
12021,BBN JANSHATABDI,KHARAGPUR JN,KGP,235,SER
12021,BBN JANSHATABDI,JHARGRAM,JGM,248,SER
12021,BBN JANSHATABDI,GHATSILA,GTS,252,SER
12021,BBN JANSHATABDI,TATANAGAR JN,TATA,261,SER
12021,BBN JANSHATABDI,SINI JN,SINI,271,SER
12021,BBN JANSHATABDI,CHAIBASA,CBSA,284,SER
12021,BBN JANSHATABDI,DANGOAPOSI,DPS,286,SER
12021,BBN JANSHATABDI,NOAMUNDI,NOMD,287,SER
12021,BBN JANSHATABDI,BARA JAMDA,BJMD,291,SER
12021,BBN JANSHATABDI,BARABIL,BBN,145,SER
12022,BBN JANSHATABDI,BARABIL,BBN,218,SER
12022,BBN JANSHATABDI,BARA JAMDA,BJMD,316,SER
12022,BBN JANSHATABDI,NOAMUNDI,NOMD,321,SER
12022,BBN JANSHATABDI,DANGOAPOSI,DPS,323,SER
12022,BBN JANSHATABDI,CHAIBASA,CBSA,339,SER
12022,BBN JANSHATABDI,SINI JN,SINI,374,SER
12022,BBN JANSHATABDI,TATANAGAR JN,TATA,401,SER
12022,BBN JANSHATABDI,GHATSILA,GTS,409,SER
12022,BBN JANSHATABDI,JHARGRAM,JGM,424,SER
12022,BBN JANSHATABDI,KHARAGPUR JN,KGP,429,SER
12022,BBN JANSHATABDI,SANTRAGACHI JN,SRC,463,SER
12022,BBN JANSHATABDI,HOWRAH JN,HWH,480,SER
12023,JANSHATABDI EXP,HOWRAH JN,HWH,5,ECR
12023,JANSHATABDI EXP,DURGAPUR,DGR,20,ECR
