Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02053,HW ASR JNSHTBDI,,,,
02054,ASR HW JNSHTBDI,,,,
02055,DDN JSHT SPL,,,,
02056,DDN NDLS JSHT SPL,,,,
02057,UHL JANSHT SPL,,,,
02061,JBP JANSHATABDI,,,,
02062,HBJ JANSHATABDI,,,,
02066,AII JAN SHATABDI,,,,
02067,JAN SHATABDI EX,,,,
02068,JAN SHATABDI EX,,,,
02069,JANSHATABDI EXP,,,,
12021,BBN JANSHATABDI,HOWRAH JN,HWH,150,SER
12021,BBN JANSHATABDI,KHARAGPUR JN,KGP,181,SER
12021,BBN JANSHATABDI,JHARGRAM,JGM,200,SER
12021,BBN JANSHATABDI,GHATSILA,GTS,202,SER
12021,BBN JANSHATABDI,TATANAGAR JN,TATA,213,SER
12021,BBN JANSHATABDI,SINI JN,SINI,224,SER
12021,BBN JANSHATABDI,CHAIBASA,CBSA,232,SER
12021,BBN JANSHATABDI,DANGOAPOSI,DPS,236,SER
12021,BBN JANSHATABDI,NOAMUNDI,NOMD,240,SER
12021,BBN JANSHATABDI,BARA JAMDA,BJMD,252,SER
12021,BBN JANSHATABDI,BARABIL,BBN,75,SER
12022,BBN JANSHATABDI,BARABIL,BBN,103,SER
12022,BBN JANSHATABDI,BARA JAMDA,BJMD,240,SER
12022,BBN JANSHATABDI,NOAMUNDI,NOMD,247,SER
12022,BBN JANSHATABDI,DANGOAPOSI,DPS,252,SER
12022,BBN JANSHATABDI,CHAIBASA,CBSA,266,SER
12022,BBN JANSHATABDI,SINI JN,SINI,298,SER
12022,BBN JANSHATABDI,TATANAGAR JN,TATA,314,SER
12022,BBN JANSHATABDI,GHATSILA,GTS,339,SER
12022,BBN JANSHATABDI,JHARGRAM,JGM,364,SER
12022,BBN JANSHATABDI,KHARAGPUR JN,KGP,374,SER
12022,BBN JANSHATABDI,SANTRAGACHI JN,SRC,402,SER
12022,BBN JANSHATABDI,HOWRAH JN,HWH,413,SER
12023,JANSHATABDI EXP,HOWRAH JN,HWH,14,ECR
12023,JANSHATABDI EXP,DURGAPUR,DGR,27,ECR
