Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02053,HW ASR JNSHTBDI,,,,
02054,ASR HW JNSHTBDI,,,,
02055,DDN JSHT SPL,,,,
02056,DDN NDLS JSHT SPL,,,,
02057,UHL JANSHT SPL,,,,
02061,JBP JANSHATABDI,,,,
02062,HBJ JANSHATABDI,,,,
02066,AII JAN SHATABDI,,,,
02067,JAN SHATABDI EX,,,,
02068,JAN SHATABDI EX,,,,
02069,JANSHATABDI EXP,,,,
12021,BBN JANSHATABDI,HOWRAH JN,HWH,89,SER
12021,BBN JANSHATABDI,KHARAGPUR JN,KGP,104,SER
12021,BBN JANSHATABDI,JHARGRAM,JGM,107,SER
12021,BBN JANSHATABDI,GHATSILA,GTS,111,SER
12021,BBN JANSHATABDI,TATANAGAR JN,TATA,115,SER
12021,BBN JANSHATABDI,SINI JN,SINI,120,SER
12021,BBN JANSHATABDI,CHAIBASA,CBSA,124,SER
12021,BBN JANSHATABDI,DANGOAPOSI,DPS,121,SER
12021,BBN JANSHATABDI,NOAMUNDI,NOMD,118,SER
12021,BBN JANSHATABDI,BARA JAMDA,BJMD,120,SER
12021,BBN JANSHATABDI,BARABIL,BBN,96,SER
12022,BBN JANSHATABDI,BARABIL,BBN,138,SER
12022,BBN JANSHATABDI,BARA JAMDA,BJMD,149,SER
12022,BBN JANSHATABDI,NOAMUNDI,NOMD,151,SER
12022,BBN JANSHATABDI,DANGOAPOSI,DPS,157,SER
12022,BBN JANSHATABDI,CHAIBASA,CBSA,171,SER
12022,BBN JANSHATABDI,SINI JN,SINI,190,SER
12022,BBN JANSHATABDI,TATANAGAR JN,TATA,218,SER
12022,BBN JANSHATABDI,GHATSILA,GTS,222,SER
12022,BBN JANSHATABDI,JHARGRAM,JGM,230,SER
12022,BBN JANSHATABDI,KHARAGPUR JN,KGP,227,SER
12022,BBN JANSHATABDI,SANTRAGACHI JN,SRC,255,SER
12022,BBN JANSHATABDI,HOWRAH JN,HWH,271,SER
12023,JANSHATABDI EXP,HOWRAH JN,HWH,14,ECR
12023,JANSHATABDI EXP,DURGAPUR,DGR,15,ECR
