Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12058,NDLS JANSHTBADI,DAULATPUR CHOWK,DLPC,1,NR
12058,NDLS JANSHTBADI,AMBANDAURA,AADR,4,NR
12058,NDLS JANSHTBADI,UNA HIMACHAL,UHL,5,NR
12058,NDLS JANSHTBADI,NANGAL DAM,NLDM,1,NR
12058,NDLS JANSHTBADI,ANANDPUR SAHIB,ANSB,7,NR
12058,NDLS JANSHTBADI,KIRATPUR SAHIB,KART,8,NR
12058,NDLS JANSHTBADI,RUPNAGAR,RPAR,16,NR
12058,NDLS JANSHTBADI,MORINDA,MRND,19,NR
12058,NDLS JANSHTBADI,KHARAR,KARR,25,NR
12058,NDLS JANSHTBADI,SAHIBZADA ASNGR,SASN,28,NR
12058,NDLS JANSHTBADI,CHANDIGARH,CDG,10,NR
12058,NDLS JANSHTBADI,AMBALA CANT JN,UMB,3,NR
12058,NDLS JANSHTBADI,KURUKSHETRA JN,KKDE,7,NR
12058,NDLS JANSHTBADI,KARNAL,KUN,10,NR
12058,NDLS JANSHTBADI,PANIPAT JN,PNP,14,NR
12058,NDLS JANSHTBADI,SONIPAT JN,SNP,17,NR
12058,NDLS JANSHTBADI,SUBZI MANDI,SZM,19,NR
12058,NDLS JANSHTBADI,NEW DELHI,NDLS,8,NR
