Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12021,BBN JANSHATABDI,HOWRAH JN,HWH,89,SER
12021,BBN JANSHATABDI,KHARAGPUR JN,KGP,104,SER
12021,BBN JANSHATABDI,JHARGRAM,JGM,107,SER
12021,BBN JANSHATABDI,GHATSILA,GTS,111,SER
12021,BBN JANSHATABDI,TATANAGAR JN,TATA,115,SER
12021,BBN JANSHATABDI,SINI JN,SINI,120,SER
12021,BBN JANSHATABDI,CHAIBASA,CBSA,124,SER
12021,BBN JANSHATABDI,DANGOAPOSI,DPS,121,SER
12021,BBN JANSHATABDI,NOAMUNDI,NOMD,118,SER
12021,BBN JANSHATABDI,BARA JAMDA,BJMD,120,SER
12021,BBN JANSHATABDI,BARABIL,BBN,96,SER
