Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
15629,NAGAON EXPRESS,TAMBARAM,TBM,3,NFR
15629,NAGAON EXPRESS,CHENNAI EGMORE,MS,13,NFR
15629,NAGAON EXPRESS,NELLORE,NLR,17,NFR
15629,NAGAON EXPRESS,ONGOLE,OGL,16,NFR
15629,NAGAON EXPRESS,VIJAYAWADA JN,BZA,25,NFR
15629,NAGAON EXPRESS,ELURU,EE,37,NFR
15629,NAGAON EXPRESS,RAJAMUNDRY,RJY,53,NFR
15629,NAGAON EXPRESS,VISHAKAPATNAM,VSKP,14,NFR
15629,NAGAON EXPRESS,BRAHMAPUR,BAM,32,NFR
15629,NAGAON EXPRESS,KHURDA ROAD JN,KUR,41,NFR
15629,NAGAON EXPRESS,BHUBANESWAR,BBS,48,NFR
15629,NAGAON EXPRESS,CUTTACK,CTC,48,NFR
15629,NAGAON EXPRESS,BALASORE,BLS,40,NFR
15629,NAGAON EXPRESS,HIJILLI,HIJ,50,NFR
15629,NAGAON EXPRESS,TATANAGAR JN,TATA,59,NFR
15629,NAGAON EXPRESS,PURULIA JN,PRR,105,NFR
15629,NAGAON EXPRESS,JOYCHANDI PAHAR,JOC,103,NFR
15629,NAGAON EXPRESS,ASANSOL JN,ASN,109,NFR
15629,NAGAON EXPRESS,ANDAL JN,UDL,115,NFR
15629,NAGAON EXPRESS,DURGAPUR,DGR,130,NFR
15629,NAGAON EXPRESS,SIURI,SURI,155,NFR
15629,NAGAON EXPRESS,RAMPUR HAT,RPH,142,NFR
15629,NAGAON EXPRESS,PAKUR,PKR,155,NFR
15629,NAGAON EXPRESS,NEW FARAKKA JN,NFK,152,NFR
15629,NAGAON EXPRESS,MALDA TOWN,MLDT,137,NFR
15629,NAGAON EXPRESS,BARSOI JN,BOE,164,NFR
15629,NAGAON EXPRESS,KISHANGANJ,KNE,172,NFR
15629,NAGAON EXPRESS,NEW JALPAIGURI,NJP,169,NFR
15629,NAGAON EXPRESS,NEW MAYNAGURI,NMX,159,NFR
15629,NAGAON EXPRESS,DHUPGURI,DQG,162,NFR
15629,NAGAON EXPRESS,NEW COOCH BEHAR,NCB,165,NFR
15629,NAGAON EXPRESS,NEW ALIPURDAUR,NOQ,168,NFR
15629,NAGAON EXPRESS,FAKIRAGRAM JN,FKM,191,NFR
15629,NAGAON EXPRESS,KOKRAJHAR,KOJ,191,NFR
15629,NAGAON EXPRESS,NEW BONGAIGAON,NBQ,168,NFR
15629,NAGAON EXPRESS,RANGIYA JN,RNY,147,NFR
15629,NAGAON EXPRESS,KAMAKHYA,KYQ,118,NFR
15629,NAGAON EXPRESS,GUWAHATI,GHY,138,NFR
15629,NAGAON EXPRESS,JAGI ROAD,JID,141,NFR
15629,NAGAON EXPRESS,CHAPARMUKH JN,CPK,140,NFR
15629,NAGAON EXPRESS,NAGAON,NGAN,130,NFR
15629,NAGAON EXPRESS,JAKHALABANDHA,JKB,138,NFR
15629,NAGAON EXPRESS,SILGHAT TOWN,SHTT,115,NFR
