Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
13402,INTERCITY EXP,DANAPUR,DNR,3,ER
13402,INTERCITY EXP,PATNA JN,PNBE,8,ER
13402,INTERCITY EXP,RJNDR NGR BIHAR,RJPB,13,ER
13402,INTERCITY EXP,PATNA SAHEB,PNC,17,ER
13402,INTERCITY EXP,FATUHA JN,FUT,23,ER
13402,INTERCITY EXP,BAKHTIYARPUR JN,BKP,29,ER
13402,INTERCITY EXP,BARH,BARH,35,ER
13402,INTERCITY EXP,MOKAMEH JN,MKA,39,ER
13402,INTERCITY EXP,HATHIDAH JN,HTZ,40,ER
13402,INTERCITY EXP,BARHIYA,BRYA,39,ER
13402,INTERCITY EXP,LUCKEESARAI JN,LKR,35,ER
13402,INTERCITY EXP,KIUL JN,KIUL,22,ER
13402,INTERCITY EXP,RAMPUR H,RMPR,22,ER
13402,INTERCITY EXP,DHANAURI,DNRE,27,ER
13402,INTERCITY EXP,UREN,UREN,28,ER
13402,INTERCITY EXP,KAJRA,KJH,28,ER
13402,INTERCITY EXP,ABHAIPUR,AHA,29,ER
13402,INTERCITY EXP,MASUDAN,MSDN,28,ER
13402,INTERCITY EXP,DHARHARA,DRH,27,ER
13402,INTERCITY EXP,JAMALPUR JN,JMP,32,ER
13402,INTERCITY EXP,RATANPUR,RPUR,37,ER
13402,INTERCITY EXP,BARIARPUR,BUP,37,ER
13402,INTERCITY EXP,KALYANPUR ROAD,KPRD,37,ER
13402,INTERCITY EXP,SULTANGANJ,SGG,38,ER
13402,INTERCITY EXP,AKBARNAGAR,AKN,39,ER
13402,INTERCITY EXP,NATHNAGAR,NAT,40,ER
13402,INTERCITY EXP,BHAGALPUR,BGP,17,ER
