Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
19251,SMNH OKHA EXP,VERAVAL,VRL,3,WR
19251,SMNH OKHA EXP,MALIYA HATINA,MLHA,6,WR
19251,SMNH OKHA EXP,KESHOD,KSD,8,WR
19251,SMNH OKHA EXP,JUNAGADH JN,JND,15,WR
19251,SMNH OKHA EXP,JETALSAR JN,JLR,10,WR
19251,SMNH OKHA EXP,VIRPUR,VRR,12,WR
19251,SMNH OKHA EXP,GONDAL,GDL,12,WR
19251,SMNH OKHA EXP,BHAKTI NAGAR,BKNG,21,WR
19251,SMNH OKHA EXP,RAJKOT JN,RJT,22,WR
19251,SMNH OKHA EXP,HAPA,HAPA,57,WR
19251,SMNH OKHA EXP,JAMNAGAR,JAM,63,WR
19251,SMNH OKHA EXP,KHAMBHALIYA,KMBL,72,WR
19251,SMNH OKHA EXP,BHATIYA,BHTA,40,WR
19251,SMNH OKHA EXP,DWARKA,DWK,50,WR
19251,SMNH OKHA EXP,MITHAPUR,MTHP,27,WR
19251,SMNH OKHA EXP,OKHA,OKHA,16,WR
