Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
15616,SCL GHY EXP,SILCHAR,SCL,14,NFR
15616,SCL GHY EXP,BADARPUR JN,BPB,25,NFR
15616,SCL GHY EXP,SUKRITIPUR,SQF,26,NFR
15616,SCL GHY EXP,HILARA,HLX,28,NFR
15616,SCL GHY EXP,BIHARA,BHZ,33,NFR
15616,SCL GHY EXP,CHANDRANATHPUR,CNE,39,NFR
15616,SCL GHY EXP,DAMCHARA,DCA,49,NFR
15616,SCL GHY EXP,BANDARKHAL,BXK,51,NFR
15616,SCL GHY EXP,DITOKCHERRA,DTC,54,NFR
15616,SCL GHY EXP,NEW HARANGAJAO,NHGJ,64,NFR
15616,SCL GHY EXP,JATINGA LUMPUR,JGLP,62,NFR
15616,SCL GHY EXP,NEW HAFLONG,NHLG,58,NFR
15616,SCL GHY EXP,MIGRENDISA,MGE,58,NFR
15616,SCL GHY EXP,MAHUR,MXR,58,NFR
15616,SCL GHY EXP,PHIDING,PDJ,62,NFR
15616,SCL GHY EXP,DAOTUHAJA,DJA,54,NFR
15616,SCL GHY EXP,WADRENGDISA,WDA,52,NFR
15616,SCL GHY EXP,MAIBANG,MBG,53,NFR
15616,SCL GHY EXP,KALACHAND,KQI,51,NFR
15616,SCL GHY EXP,MUPA,MUPA,58,NFR
15616,SCL GHY EXP,DIHAKHO,DKE,56,NFR
15616,SCL GHY EXP,LANGTING,LGT,58,NFR
15616,SCL GHY EXP,DIBLONG,DBLG,59,NFR
15616,SCL GHY EXP,HATIKHALI,HTL,53,NFR
15616,SCL GHY EXP,MANDERDISA,MYD,54,NFR
15616,SCL GHY EXP,LUMDING JN,LMG,36,NFR
15616,SCL GHY EXP,LANKA,LKA,36,NFR
15616,SCL GHY EXP,HOJAI,HJI,34,NFR
15616,SCL GHY EXP,GUWAHATI,GHY,30,NFR
