Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
53012,AZ KWAE PASSENGER,AZIMGANJ JN,AZ,1,ER
53012,AZ KWAE PASSENGER,DAHAPARA DHAM,DHPD,1,ER
53012,AZ KWAE PASSENGER,LALBAGH CRT RD,LCAE,2,ER
53012,AZ KWAE PASSENGER,NIYALISH PARA,NLSF,1,ER
53012,AZ KWAE PASSENGER,KHAGRAGHAT ROAD,KGLE,4,ER
53012,AZ KWAE PASSENGER,JIBANTI H,JVT,3,ER
53012,AZ KWAE PASSENGER,KARNA SUBARNA,KNSN,5,ER
53012,AZ KWAE PASSENGER,KANTHALIA ROAD H,KTLR,5,ER
53012,AZ KWAE PASSENGER,CHOWRIGACHA,CWLE,4,ER
53012,AZ KWAE PASSENGER,KAZIPARA HALT,KZPE,4,ER
53012,AZ KWAE PASSENGER,BAZARSAU,BZLE,4,ER
53012,AZ KWAE PASSENGER,MIAGRAM H,MIAN,5,ER
53012,AZ KWAE PASSENGER,TENYA,TYAE,7,ER
53012,AZ KWAE PASSENGER,MALIHATI TALIBPUR ROAD,MHTR,6,ER
53012,AZ KWAE PASSENGER,SALAR,SALE,9,ER
53012,AZ KWAE PASSENGER,JHAMATPUR BAHARAN,JHBN,8,ER
53012,AZ KWAE PASSENGER,GANGATIKURI,GGLE,7,ER
53012,AZ KWAE PASSENGER,SHIBLUN H,SHBL,8,ER
53012,AZ KWAE PASSENGER,NABAGRARN KANKURHATI,NBKH,8,ER
