Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01091,KNW SWD SPL,KHANDWA,KNW,14,CR
01091,KNW SWD SPL,AJANTI,ANI,0,CR
01091,KNW SWD SPL,ATTAR,ATR,1,CR
01091,KNW SWD SPL,KOTLAKHERI,KTKH,0,CR
01091,KNW SWD SPL,NIMAR KHERI,NKR,0,CR
01092,SWD KNW SPL,SANAWAD,SWD,0,CR
01092,SWD KNW SPL,NIMAR KHERI,NKR,1,CR
01092,SWD KNW SPL,KOTLAKHERI,KTKH,1,CR
01092,SWD KNW SPL,ATTAR,ATR,1,CR
01092,SWD KNW SPL,AJANTI,ANI,0,CR
01211,BD NK SPL,BADNERA JN,BD,14,CR
01211,BD NK SPL,MURTAJAPUR,MZR,28,CR
01211,BD NK SPL,BORGAON,BGN,39,CR
01211,BD NK SPL,AKOLA JN,AK,39,CR
01211,BD NK SPL,SHEGAON,SEG,48,CR
01211,BD NK SPL,NANDURA,NN,53,CR
01211,BD NK SPL,MALKAPUR,MKU,49,CR
01211,BD NK SPL,BODWAD,BDWD,58,CR
01211,BD NK SPL,BHUSAVAL JN,BSL,20,CR
01211,BD NK SPL,JALGAON JN,JL,21,CR
01211,BD NK SPL,PACHORA JN,PC,37,CR
01211,BD NK SPL,CHALISGAON JN,CSN,48,CR
01211,BD NK SPL,NANDGAON,NGN,48,CR
01211,BD NK SPL,MANMAD JN,MMR,50,CR
01211,BD NK SPL,LASALGAON,LS,62,CR
01211,BD NK SPL,NIPHAD,NR,58,CR
01211,BD NK SPL,NASIK ROAD,NK,17,CR
01212,NK BD SPL,NASIK ROAD,NK,6,CR
01212,NK BD SPL,NIPHAD,NR,14,CR
01212,NK BD SPL,LASALGAON,LS,14,CR
01212,NK BD SPL,MANMAD JN,MMR,17,CR
01212,NK BD SPL,NANDGAON,NGN,27,CR
01212,NK BD SPL,CHALISGAON JN,CSN,32,CR
01212,NK BD SPL,PACHORA JN,PC,42,CR
01212,NK BD SPL,JALGAON JN,JL,53,CR
01212,NK BD SPL,BHUSAVAL JN,BSL,49,CR
01212,NK BD SPL,BODWAD,BDWD,61,CR
01212,NK BD SPL,MALKAPUR,MKU,62,CR
01212,NK BD SPL,NANDURA,NN,61,CR
01212,NK BD SPL,SHEGAON,SEG,63,CR
01212,NK BD SPL,AKOLA JN,AK,61,CR
01212,NK BD SPL,BORGAON,BGN,71,CR
01212,NK BD SPL,MURTAJAPUR,MZR,65,CR
01212,NK BD SPL,BADNERA JN,BD,36,CR
01461,SUR DD DEMU SPL,SOLAPUR JN,SUR,112,CR
01461,SUR DD DEMU SPL,MOHOL,MO,139,CR
01461,SUR DD DEMU SPL,MADHA,MA,160,CR
01461,SUR DD DEMU SPL,KURDUVADI,KWV,175,CR
01461,SUR DD DEMU SPL,KEM,KEM,189,CR
01461,SUR DD DEMU SPL,JEUR,JEUR,197,CR
01461,SUR DD DEMU SPL,PAREWADI,PRWD,239,CR
01461,SUR DD DEMU SPL,BHIGWAN,BGVN,270,CR
01461,SUR DD DEMU SPL,DAUND JN,DD,155,CR
01462,DD SUR DEMU SPL,DAUND JN,DD,17,CR
01462,DD SUR DEMU SPL,BHIGWAN,BGVN,41,CR
01462,DD SUR DEMU SPL,PAREWADI,PRWD,50,CR
01462,DD SUR DEMU SPL,JEUR,JEUR,66,CR
01462,DD SUR DEMU SPL,KEM,KEM,75,CR
01462,DD SUR DEMU SPL,KURDUVADI,KWV,98,CR
01462,DD SUR DEMU SPL,MADHA,MA,102,CR
01462,DD SUR DEMU SPL,MOHOL,MO,119,CR
03020,AZ KNJ PASS SPL,JHUSI,JI,385,ER
03020,AZ KNJ PASS SPL,BANARAS,BSBS,378,ER
