Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01091,KNW SWD SPL,KHANDWA,KNW,67,CR
01091,KNW SWD SPL,AJANTI,ANI,0,CR
01091,KNW SWD SPL,ATTAR,ATR,0,CR
01091,KNW SWD SPL,KOTLAKHERI,KTKH,0,CR
01091,KNW SWD SPL,NIMAR KHERI,NKR,0,CR
01092,SWD KNW SPL,SANAWAD,SWD,0,CR
01092,SWD KNW SPL,NIMAR KHERI,NKR,2,CR
01092,SWD KNW SPL,KOTLAKHERI,KTKH,1,CR
01092,SWD KNW SPL,ATTAR,ATR,1,CR
01092,SWD KNW SPL,AJANTI,ANI,0,CR
01211,BD NK SPL,BADNERA JN,BD,20,CR
01211,BD NK SPL,MURTAJAPUR,MZR,33,CR
01211,BD NK SPL,BORGAON,BGN,41,CR
01211,BD NK SPL,AKOLA JN,AK,44,CR
01211,BD NK SPL,SHEGAON,SEG,58,CR
01211,BD NK SPL,NANDURA,NN,62,CR
01211,BD NK SPL,MALKAPUR,MKU,59,CR
01211,BD NK SPL,BODWAD,BDWD,60,CR
01211,BD NK SPL,BHUSAVAL JN,BSL,26,CR
01211,BD NK SPL,JALGAON JN,JL,30,CR
01211,BD NK SPL,PACHORA JN,PC,48,CR
01211,BD NK SPL,CHALISGAON JN,CSN,54,CR
01211,BD NK SPL,NANDGAON,NGN,56,CR
01211,BD NK SPL,MANMAD JN,MMR,56,CR
01211,BD NK SPL,LASALGAON,LS,70,CR
01211,BD NK SPL,NIPHAD,NR,65,CR
01211,BD NK SPL,NASIK ROAD,NK,23,CR
01212,NK BD SPL,NASIK ROAD,NK,4,CR
01212,NK BD SPL,NIPHAD,NR,14,CR
01212,NK BD SPL,LASALGAON,LS,14,CR
01212,NK BD SPL,MANMAD JN,MMR,15,CR
01212,NK BD SPL,NANDGAON,NGN,27,CR
01212,NK BD SPL,CHALISGAON JN,CSN,30,CR
01212,NK BD SPL,PACHORA JN,PC,41,CR
01212,NK BD SPL,JALGAON JN,JL,49,CR
01212,NK BD SPL,BHUSAVAL JN,BSL,45,CR
01212,NK BD SPL,BODWAD,BDWD,57,CR
01212,NK BD SPL,MALKAPUR,MKU,58,CR
01212,NK BD SPL,NANDURA,NN,58,CR
01212,NK BD SPL,SHEGAON,SEG,60,CR
01212,NK BD SPL,AKOLA JN,AK,62,CR
01212,NK BD SPL,BORGAON,BGN,72,CR
01212,NK BD SPL,MURTAJAPUR,MZR,70,CR
01212,NK BD SPL,BADNERA JN,BD,41,CR
01461,SUR DD DEMU SPL,SOLAPUR JN,SUR,130,CR
01461,SUR DD DEMU SPL,MOHOL,MO,157,CR
01461,SUR DD DEMU SPL,MADHA,MA,181,CR
01461,SUR DD DEMU SPL,KURDUVADI,KWV,193,CR
01461,SUR DD DEMU SPL,KEM,KEM,218,CR
01461,SUR DD DEMU SPL,JEUR,JEUR,229,CR
01461,SUR DD DEMU SPL,PAREWADI,PRWD,261,CR
01461,SUR DD DEMU SPL,BHIGWAN,BGVN,299,CR
01461,SUR DD DEMU SPL,DAUND JN,DD,177,CR
01462,DD SUR DEMU SPL,DAUND JN,DD,39,CR
01462,DD SUR DEMU SPL,BHIGWAN,BGVN,80,CR
01462,DD SUR DEMU SPL,PAREWADI,PRWD,88,CR
01462,DD SUR DEMU SPL,JEUR,JEUR,100,CR
01462,DD SUR DEMU SPL,KEM,KEM,108,CR
01462,DD SUR DEMU SPL,KURDUVADI,KWV,126,CR
01462,DD SUR DEMU SPL,MADHA,MA,134,CR
01462,DD SUR DEMU SPL,MOHOL,MO,141,CR
01462,DD SUR DEMU SPL,SOLAPUR JN,SUR,8,CR
03020,AZ KNJ PASS SPL,JHUSI,JI,385,ER
03020,AZ KNJ PASS SPL,BANARAS,BSBS,378,ER
03020,AZ KNJ PASS SPL,VARANASI JN,BSB,429,ER
03020,AZ KNJ PASS SPL,PT DEEN DAYAL UPADHYAY JN,DDU,408,ER
03020,AZ KNJ PASS SPL,BHABUA ROAD,BBU,417,ER
03020,AZ KNJ PASS SPL,SASARAM,SSM,419,ER
03020,AZ KNJ PASS SPL,DEHRI ON SONE,DOS,417,ER
03020,AZ KNJ PASS SPL,ANUGRAHA N ROAD,AUBR,418,ER
03020,AZ KNJ PASS SPL,GAYA JN,GAYA,451,ER
03020,AZ KNJ PASS SPL,KODERMA,KQR,505,ER
03020,AZ KNJ PASS SPL,HAZARIBAGH RD,HZD,559,ER
03020,AZ KNJ PASS SPL,PARASNATH,PNME,576,ER
03020,AZ KNJ PASS SPL,NSC BOSE J GOMO,GMO,579,ER
03020,AZ KNJ PASS SPL,DHANBAD JN,DHN,584,ER
03020,AZ KNJ PASS SPL,ASANSOL JN,ASN,577,ER
03020,AZ KNJ PASS SPL,DURGAPUR,DGR,592,ER
03020,AZ KNJ PASS SPL,BARDDHAMAN JN,BWN,562,ER
03020,AZ KNJ PASS SPL,BANDEL JN,BDC,577,ER
03020,AZ KNJ PASS SPL,HOWRAH JN,HWH,545,ER
03653,BRWD CAR PASS SPL,,,,
03654,CAR BRWD PASS SPL,,,,
04767,HMH SGNR PASS SPL,HANUMANGARH JN,HMH,3,NWR
04767,HMH SGNR PASS SPL,JORKIAN,JRKN,1,NWR
04767,HMH SGNR PASS SPL,HIRNAWALI,HLW,1,NWR
04767,HMH SGNR PASS SPL,DHOLIPAL,DPK,4,NWR
04767,HMH SGNR PASS SPL,BUGLANWALI,BUGL,3,NWR
04767,HMH SGNR PASS SPL,BUDHSINGHWALA,BDSW,3,NWR
04767,HMH SGNR PASS SPL,SADULSHAHR,SDS,4,NWR
04767,HMH SGNR PASS SPL,FATEH SINGHWALA,FSW,3,NWR
04767,HMH SGNR PASS SPL,BANWALI,BWC,5,NWR
04768,SGNR HMH PASS SPL,SHRI GANGANAGAR,SGNR,3,NWR
04768,SGNR HMH PASS SPL,BANWALI,BWC,4,NWR
04768,SGNR HMH PASS SPL,FATEH SINGHWALA,FSW,3,NWR
04768,SGNR HMH PASS SPL,SADULSHAHR,SDS,5,NWR
04768,SGNR HMH PASS SPL,BUDHSINGHWALA,BDSW,4,NWR
04768,SGNR HMH PASS SPL,BUGLANWALI,BUGL,4,NWR
04768,SGNR HMH PASS SPL,DHOLIPAL,DPK,3,NWR
04768,SGNR HMH PASS SPL,HIRNAWALI,HLW,2,NWR
04768,SGNR HMH PASS SPL,JORKIAN,JRKN,2,NWR
04769,HMH SGNR PASS SPL,HANUMANGARH JN,HMH,2,NWR
04769,HMH SGNR PASS SPL,JORKIAN,JRKN,0,NWR
04769,HMH SGNR PASS SPL,HIRNAWALI,HLW,0,NWR
04769,HMH SGNR PASS SPL,DHOLIPAL,DPK,3,NWR
04769,HMH SGNR PASS SPL,BUGLANWALI,BUGL,2,NWR
04769,HMH SGNR PASS SPL,BUDHSINGHWALA,BDSW,2,NWR
04769,HMH SGNR PASS SPL,SADULSHAHR,SDS,3,NWR
04769,HMH SGNR PASS SPL,FATEH SINGHWALA,FSW,1,NWR
04769,HMH SGNR PASS SPL,BANWALI,BWC,3,NWR
04770,SGNR HMH PASS SPL,SHRI GANGANAGAR,SGNR,2,NWR
04770,SGNR HMH PASS SPL,BANWALI,BWC,4,NWR
04770,SGNR HMH PASS SPL,FATEH SINGHWALA,FSW,3,NWR
04770,SGNR HMH PASS SPL,SADULSHAHR,SDS,5,NWR
04770,SGNR HMH PASS SPL,BUDHSINGHWALA,BDSW,4,NWR
04770,SGNR HMH PASS SPL,BUGLANWALI,BUGL,4,NWR
04770,SGNR HMH PASS SPL,DHOLIPAL,DPK,8,NWR
04770,SGNR HMH PASS SPL,HIRNAWALI,HLW,7,NWR
04770,SGNR HMH PASS SPL,JORKIAN,JRKN,7,NWR
04773,SGNR SOG SPL,SHRI GANGANAGAR,SGNR,1,NWR
04773,SGNR SOG SPL,PRITHWIRAJPUR,PRUR,2,NWR
04773,SGNR SOG SPL,KESRI SINGHPUR,KESR,4,NWR
04773,SGNR SOG SPL,DALPAT SINGHPUR,DPT,3,NWR
04773,SGNR SOG SPL,SHRI KARANPUR,SRW,3,NWR
04773,SGNR SOG SPL,ZORAWARPURA,ZPR,2,NWR
04773,SGNR SOG SPL,GAJSINGHPUR,GJS,8,NWR
04773,SGNR SOG SPL,RAI SINGH NAGAR,RSNR,9,NWR
04773,SGNR SOG SPL,MOHAN NAGAR,MNGR,19,NWR
04773,SGNR SOG SPL,MASANIWALA,MSWA,20,NWR
04773,SGNR SOG SPL,BUGIA,BUGY,20,NWR
04773,SGNR SOG SPL,JAITSAR,JES,20,NWR
04773,SGNR SOG SPL,SARUPSAR JN,SRPR,19,NWR
04773,SGNR SOG SPL,SARDARGARH,SRZ,19,NWR
04773,SGNR SOG SPL,BHAGWANSAR,BNSR,16,NWR
04774,SOG SGNR PASS SPL,SURATGARH JN,SOG,2,NWR
04774,SOG SGNR PASS SPL,SARDARGARH,SRZ,4,NWR
04774,SOG SGNR PASS SPL,SARUPSAR JN,SRPR,4,NWR
04774,SOG SGNR PASS SPL,JAITSAR,JES,3,NWR
04774,SOG SGNR PASS SPL,MOHAN NAGAR,MNGR,6,NWR
04774,SOG SGNR PASS SPL,RAI SINGH NAGAR,RSNR,8,NWR
