Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01091,KNW SWD SPL,KHANDWA,KNW,0,CR
01091,KNW SWD SPL,AJANTI,ANI,0,CR
01091,KNW SWD SPL,ATTAR,ATR,0,CR
01091,KNW SWD SPL,KOTLAKHERI,KTKH,0,CR
01091,KNW SWD SPL,NIMAR KHERI,NKR,0,CR
01092,SWD KNW SPL,SANAWAD,SWD,0,CR
01092,SWD KNW SPL,NIMAR KHERI,NKR,4,CR
01092,SWD KNW SPL,KOTLAKHERI,KTKH,3,CR
01092,SWD KNW SPL,ATTAR,ATR,3,CR
01092,SWD KNW SPL,AJANTI,ANI,0,CR
01211,BD NK SPL,BADNERA JN,BD,27,CR
01211,BD NK SPL,MURTAJAPUR,MZR,41,CR
01211,BD NK SPL,BORGAON,BGN,51,CR
01211,BD NK SPL,AKOLA JN,AK,54,CR
01211,BD NK SPL,SHEGAON,SEG,62,CR
01211,BD NK SPL,NANDURA,NN,65,CR
01211,BD NK SPL,MALKAPUR,MKU,64,CR
01211,BD NK SPL,BODWAD,BDWD,65,CR
01211,BD NK SPL,BHUSAVAL JN,BSL,24,CR
01211,BD NK SPL,JALGAON JN,JL,28,CR
01211,BD NK SPL,PACHORA JN,PC,40,CR
01211,BD NK SPL,CHALISGAON JN,CSN,44,CR
01211,BD NK SPL,NANDGAON,NGN,37,CR
01211,BD NK SPL,MANMAD JN,MMR,36,CR
01211,BD NK SPL,LASALGAON,LS,46,CR
01211,BD NK SPL,NIPHAD,NR,42,CR
01212,NK BD SPL,NASIK ROAD,NK,3,CR
01212,NK BD SPL,NIPHAD,NR,14,CR
01212,NK BD SPL,LASALGAON,LS,14,CR
01212,NK BD SPL,MANMAD JN,MMR,15,CR
01212,NK BD SPL,NANDGAON,NGN,24,CR
01212,NK BD SPL,CHALISGAON JN,CSN,26,CR
01212,NK BD SPL,PACHORA JN,PC,33,CR
01212,NK BD SPL,JALGAON JN,JL,42,CR
01212,NK BD SPL,BHUSAVAL JN,BSL,40,CR
01212,NK BD SPL,BODWAD,BDWD,55,CR
01212,NK BD SPL,MALKAPUR,MKU,56,CR
01212,NK BD SPL,NANDURA,NN,57,CR
01212,NK BD SPL,SHEGAON,SEG,61,CR
01212,NK BD SPL,AKOLA JN,AK,61,CR
01212,NK BD SPL,BORGAON,BGN,69,CR
01212,NK BD SPL,MURTAJAPUR,MZR,66,CR
01212,NK BD SPL,BADNERA JN,BD,35,CR
01461,SUR DD DEMU SPL,SOLAPUR JN,SUR,119,CR
01461,SUR DD DEMU SPL,MOHOL,MO,146,CR
01461,SUR DD DEMU SPL,MADHA,MA,179,CR
01461,SUR DD DEMU SPL,KURDUVADI,KWV,187,CR
01461,SUR DD DEMU SPL,KEM,KEM,217,CR
01461,SUR DD DEMU SPL,JEUR,JEUR,227,CR
01461,SUR DD DEMU SPL,PAREWADI,PRWD,252,CR
01461,SUR DD DEMU SPL,BHIGWAN,BGVN,294,CR
01461,SUR DD DEMU SPL,DAUND JN,DD,170,CR
01462,DD SUR DEMU SPL,DAUND JN,DD,31,CR
01462,DD SUR DEMU SPL,BHIGWAN,BGVN,90,CR
01462,DD SUR DEMU SPL,PAREWADI,PRWD,92,CR
01462,DD SUR DEMU SPL,JEUR,JEUR,105,CR
01462,DD SUR DEMU SPL,KEM,KEM,121,CR
01462,DD SUR DEMU SPL,KURDUVADI,KWV,132,CR
01462,DD SUR DEMU SPL,MADHA,MA,148,CR
01462,DD SUR DEMU SPL,MOHOL,MO,156,CR
01462,DD SUR DEMU SPL,SOLAPUR JN,SUR,27,CR
03020,AZ KNJ PASS SPL,JHUSI,JI,385,ER
03020,AZ KNJ PASS SPL,BANARAS,BSBS,378,ER
03020,AZ KNJ PASS SPL,VARANASI JN,BSB,429,ER
03020,AZ KNJ PASS SPL,PT DEEN DAYAL UPADHYAY JN,DDU,408,ER
03020,AZ KNJ PASS SPL,BHABUA ROAD,BBU,417,ER
03020,AZ KNJ PASS SPL,SASARAM,SSM,419,ER
03020,AZ KNJ PASS SPL,DEHRI ON SONE,DOS,417,ER
03020,AZ KNJ PASS SPL,ANUGRAHA N ROAD,AUBR,418,ER
03020,AZ KNJ PASS SPL,GAYA JN,GAYA,451,ER
03020,AZ KNJ PASS SPL,KODERMA,KQR,505,ER
03020,AZ KNJ PASS SPL,HAZARIBAGH RD,HZD,559,ER
03020,AZ KNJ PASS SPL,PARASNATH,PNME,576,ER
03020,AZ KNJ PASS SPL,NSC BOSE J GOMO,GMO,579,ER
03020,AZ KNJ PASS SPL,DHANBAD JN,DHN,584,ER
03020,AZ KNJ PASS SPL,ASANSOL JN,ASN,577,ER
03020,AZ KNJ PASS SPL,DURGAPUR,DGR,592,ER
03020,AZ KNJ PASS SPL,BARDDHAMAN JN,BWN,562,ER
03020,AZ KNJ PASS SPL,BANDEL JN,BDC,577,ER
03020,AZ KNJ PASS SPL,HOWRAH JN,HWH,545,ER
03653,BRWD CAR PASS SPL,,,,
03654,CAR BRWD PASS SPL,,,,
04767,HMH SGNR PASS SPL,HANUMANGARH JN,HMH,2,NWR
04767,HMH SGNR PASS SPL,JORKIAN,JRKN,1,NWR
04767,HMH SGNR PASS SPL,HIRNAWALI,HLW,1,NWR
04767,HMH SGNR PASS SPL,DHOLIPAL,DPK,3,NWR
04767,HMH SGNR PASS SPL,BUGLANWALI,BUGL,2,NWR
04767,HMH SGNR PASS SPL,BUDHSINGHWALA,BDSW,2,NWR
04767,HMH SGNR PASS SPL,SADULSHAHR,SDS,3,NWR
04767,HMH SGNR PASS SPL,FATEH SINGHWALA,FSW,2,NWR
04767,HMH SGNR PASS SPL,BANWALI,BWC,5,NWR
04768,SGNR HMH PASS SPL,SHRI GANGANAGAR,SGNR,2,NWR
04768,SGNR HMH PASS SPL,BANWALI,BWC,3,NWR
04768,SGNR HMH PASS SPL,FATEH SINGHWALA,FSW,3,NWR
04768,SGNR HMH PASS SPL,SADULSHAHR,SDS,4,NWR
04768,SGNR HMH PASS SPL,BUDHSINGHWALA,BDSW,3,NWR
04768,SGNR HMH PASS SPL,BUGLANWALI,BUGL,3,NWR
04768,SGNR HMH PASS SPL,DHOLIPAL,DPK,2,NWR
04768,SGNR HMH PASS SPL,HIRNAWALI,HLW,2,NWR
04768,SGNR HMH PASS SPL,JORKIAN,JRKN,2,NWR
04769,HMH SGNR PASS SPL,HANUMANGARH JN,HMH,2,NWR
04769,HMH SGNR PASS SPL,JORKIAN,JRKN,0,NWR
04769,HMH SGNR PASS SPL,HIRNAWALI,HLW,0,NWR
04769,HMH SGNR PASS SPL,DHOLIPAL,DPK,3,NWR
04769,HMH SGNR PASS SPL,BUGLANWALI,BUGL,1,NWR
04769,HMH SGNR PASS SPL,BUDHSINGHWALA,BDSW,1,NWR
04769,HMH SGNR PASS SPL,SADULSHAHR,SDS,3,NWR
04769,HMH SGNR PASS SPL,FATEH SINGHWALA,FSW,1,NWR
04769,HMH SGNR PASS SPL,BANWALI,BWC,3,NWR
04770,SGNR HMH PASS SPL,SHRI GANGANAGAR,SGNR,2,NWR
