Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
52951,DVA JND PASSENGER,DELVADA,DVA,0,WR
52951,DVA JND PASSENGER,UNA,UNA,0,WR
52951,DVA JND PASSENGER,GIR GADHARA,GEG,0,WR
52951,DVA JND PASSENGER,HADMADIYA,HRM,0,WR
52951,DVA JND PASSENGER,JAMWALA,JVL,0,WR
52951,DVA JND PASSENGER,VALADAR,VLDR,0,WR
52951,DVA JND PASSENGER,PRACHI ROAD JN,PCC,1,WR
52951,DVA JND PASSENGER,GIR HADMATIYA,GRHM,0,WR
52951,DVA JND PASSENGER,JAMBUR,JBB,0,WR
52951,DVA JND PASSENGER,TALALA JN,TAV,23,WR
52951,DVA JND PASSENGER,CHITRAWAD,CTRD,23,WR
52951,DVA JND PASSENGER,SASAN GIR,SASG,15,WR
52951,DVA JND PASSENGER,KANSIYA NES,KANS,15,WR
52951,DVA JND PASSENGER,SATADHAR,STDR,15,WR
52951,DVA JND PASSENGER,VISAVADAR,VSW,15,WR
52951,DVA JND PASSENGER,JUNICHAVAND,JCN,15,WR
52951,DVA JND PASSENGER,BILKHA,BILK,15,WR
52951,DVA JND PASSENGER,TORNIYA,TORA,15,WR
52951,DVA JND PASSENGER,JUNAGADH JN,JND,98,WR
