Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
55056,GKP CPR PASSENGER,GORAKHPUR JN,GKP,222,NER
55056,GKP CPR PASSENGER,GORAKHPUR CANT,GKC,222,NER
55056,GKP CPR PASSENGER,KUSMHI,KHM,228,NER
55056,GKP CPR PASSENGER,SARDARNAGAR,SANR,232,NER
55056,GKP CPR PASSENGER,CHAURI CHAURA,CC,234,NER
55056,GKP CPR PASSENGER,GAURI BAZAR,GB,237,NER
55056,GKP CPR PASSENGER,BAITALPUR,BALR,240,NER
55056,GKP CPR PASSENGER,DEORIA SADAR,DEOS,246,NER
55056,GKP CPR PASSENGER,AHALYAPUR,AHLR,227,NER
55056,GKP CPR PASSENGER,NUNKHAR,NRA,251,NER
55056,GKP CPR PASSENGER,BHATNI JN,BTT,255,NER
55056,GKP CPR PASSENGER,NONAPAR F,NNPR,255,NER
55056,GKP CPR PASSENGER,BHATPAR RANI,BHTR,261,NER
55056,GKP CPR PASSENGER,BANKATA,BTK,267,NER
55056,GKP CPR PASSENGER,MAIRWA,MW,263,NER
55056,GKP CPR PASSENGER,KARCHHUE H,KYW,240,NER
55056,GKP CPR PASSENGER,JIRADEI,ZRDE,262,NER
55056,GKP CPR PASSENGER,SIWAN JN,SV,252,NER
55056,GKP CPR PASSENGER,PACHRUKHI,PCK,255,NER
55056,GKP CPR PASSENGER,DURAUNDHA JN,DDA,257,NER
55056,GKP CPR PASSENGER,CHAINWA,CW,257,NER
55056,GKP CPR PASSENGER,MAHENDRANATH H,MHRN,256,NER
55056,GKP CPR PASSENGER,EKMA,EKMA,258,NER
55056,GKP CPR PASSENGER,DAUDPUR,DDP,259,NER
55056,GKP CPR PASSENGER,KOPA SAMHOTA,KPS,256,NER
55056,GKP CPR PASSENGER,TEKANWAS,TKV,246,NER
55056,GKP CPR PASSENGER,CHHAPRA,CPR,242,NER
