Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01221,NZM RAJDHANI SPL,,,,
01222,CSMT RAJDNI SPL,,,,
02431,TVC NZM RAJ EXP,,,,
02432,NZM TVC RAJ SPL,,,,
02454,NDLS RNC SPL,,,,
12301,KOLKATA RAJDHNI,HOWRAH JN,HWH,1,ER
12301,KOLKATA RAJDHNI,ASANSOL JN,ASN,10,ER
12301,KOLKATA RAJDHNI,DHANBAD JN,DHN,5,ER
12301,KOLKATA RAJDHNI,PARASNATH,PNME,15,ER
12301,KOLKATA RAJDHNI,GAYA JN,GAYA,7,ER
12301,KOLKATA RAJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,12,ER
12301,KOLKATA RAJDHNI,PRAYAGRAJ JN,PRYJ,28,ER
12301,KOLKATA RAJDHNI,KANPUR CENTRAL,CNB,38,ER
12301,KOLKATA RAJDHNI,NEW DELHI,NDLS,56,ER
12302,KOLKATA RJDHNI,NEW DELHI,NDLS,35,ER
12302,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,66,ER
12302,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,79,ER
12302,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,91,ER
12302,KOLKATA RJDHNI,GAYA JN,GAYA,103,ER
12302,KOLKATA RJDHNI,PARASNATH,PNME,113,ER
12302,KOLKATA RJDHNI,DHANBAD JN,DHN,102,ER
12302,KOLKATA RJDHNI,ASANSOL JN,ASN,107,ER
12302,KOLKATA RJDHNI,HOWRAH JN,HWH,105,ER
12305,KOLKATA RJDHNI,HOWRAH JN,HWH,1,ER
12305,KOLKATA RJDHNI,BARDDHAMAN JN,BWN,17,ER
12305,KOLKATA RJDHNI,MADHUPUR JN,MDP,22,ER
12305,KOLKATA RJDHNI,JASIDIH JN,JSME,23,ER
12305,KOLKATA RJDHNI,PATNA JN,PNBE,6,ER
12305,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,12,ER
12305,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,35,ER
12305,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,53,ER
12305,KOLKATA RJDHNI,NEW DELHI,NDLS,62,ER
12306,KOLKATA RJDHNI,NEW DELHI,NDLS,31,ER
12306,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,91,ER
12306,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,96,ER
12306,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,95,ER
12306,KOLKATA RJDHNI,PATNA JN,PNBE,92,ER
12306,KOLKATA RJDHNI,JASIDIH JN,JSME,89,ER
12306,KOLKATA RJDHNI,MADHUPUR JN,MDP,92,ER
