Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01221,NZM RAJDHANI SPL,,,,
01222,CSMT RAJDNI SPL,,,,
02431,TVC NZM RAJ EXP,,,,
02432,NZM TVC RAJ SPL,,,,
02454,NDLS RNC SPL,,,,
12301,KOLKATA RAJDHNI,HOWRAH JN,HWH,1,ER
12301,KOLKATA RAJDHNI,ASANSOL JN,ASN,17,ER
12301,KOLKATA RAJDHNI,DHANBAD JN,DHN,4,ER
12301,KOLKATA RAJDHNI,PARASNATH,PNME,13,ER
12301,KOLKATA RAJDHNI,GAYA JN,GAYA,8,ER
12301,KOLKATA RAJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,30,ER
12301,KOLKATA RAJDHNI,PRAYAGRAJ JN,PRYJ,62,ER
12301,KOLKATA RAJDHNI,KANPUR CENTRAL,CNB,74,ER
12301,KOLKATA RAJDHNI,NEW DELHI,NDLS,80,ER
12302,KOLKATA RJDHNI,NEW DELHI,NDLS,78,ER
12302,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,118,ER
12302,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,186,ER
12302,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,240,ER
12302,KOLKATA RJDHNI,GAYA JN,GAYA,269,ER
12302,KOLKATA RJDHNI,PARASNATH,PNME,281,ER
12302,KOLKATA RJDHNI,DHANBAD JN,DHN,274,ER
12302,KOLKATA RJDHNI,ASANSOL JN,ASN,286,ER
12302,KOLKATA RJDHNI,HOWRAH JN,HWH,275,ER
12305,KOLKATA RJDHNI,HOWRAH JN,HWH,1,ER
12305,KOLKATA RJDHNI,BARDDHAMAN JN,BWN,18,ER
12305,KOLKATA RJDHNI,MADHUPUR JN,MDP,20,ER
12305,KOLKATA RJDHNI,JASIDIH JN,JSME,20,ER
12305,KOLKATA RJDHNI,PATNA JN,PNBE,6,ER
12305,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,37,ER
12305,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,144,ER
12305,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,189,ER
12305,KOLKATA RJDHNI,NEW DELHI,NDLS,217,ER
12306,KOLKATA RJDHNI,NEW DELHI,NDLS,26,ER
12306,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,56,ER
12306,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,81,ER
12306,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,86,ER
12306,KOLKATA RJDHNI,PATNA JN,PNBE,95,ER
12306,KOLKATA RJDHNI,JASIDIH JN,JSME,92,ER
12306,KOLKATA RJDHNI,MADHUPUR JN,MDP,98,ER
