Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01221,NZM RAJDHANI SPL,,,,
01222,CSMT RAJDNI SPL,,,,
02431,TVC NZM RAJ EXP,,,,
02432,NZM TVC RAJ SPL,,,,
02454,NDLS RNC SPL,,,,
12301,KOLKATA RAJDHNI,HOWRAH JN,HWH,1,ER
12301,KOLKATA RAJDHNI,ASANSOL JN,ASN,10,ER
12301,KOLKATA RAJDHNI,DHANBAD JN,DHN,6,ER
12301,KOLKATA RAJDHNI,PARASNATH,PNME,13,ER
12301,KOLKATA RAJDHNI,GAYA JN,GAYA,9,ER
12301,KOLKATA RAJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,13,ER
12301,KOLKATA RAJDHNI,PRAYAGRAJ JN,PRYJ,21,ER
12301,KOLKATA RAJDHNI,KANPUR CENTRAL,CNB,26,ER
12301,KOLKATA RAJDHNI,NEW DELHI,NDLS,33,ER
12302,KOLKATA RJDHNI,NEW DELHI,NDLS,21,ER
12302,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,39,ER
12302,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,45,ER
12302,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,52,ER
12302,KOLKATA RJDHNI,GAYA JN,GAYA,59,ER
12302,KOLKATA RJDHNI,PARASNATH,PNME,70,ER
12302,KOLKATA RJDHNI,DHANBAD JN,DHN,59,ER
12302,KOLKATA RJDHNI,ASANSOL JN,ASN,60,ER
12302,KOLKATA RJDHNI,HOWRAH JN,HWH,58,ER
12305,KOLKATA RJDHNI,HOWRAH JN,HWH,1,ER
12305,KOLKATA RJDHNI,BARDDHAMAN JN,BWN,14,ER
12305,KOLKATA RJDHNI,MADHUPUR JN,MDP,17,ER
12305,KOLKATA RJDHNI,JASIDIH JN,JSME,18,ER
12305,KOLKATA RJDHNI,PATNA JN,PNBE,11,ER
12305,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,7,ER
12305,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,20,ER
12305,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,29,ER
12305,KOLKATA RJDHNI,NEW DELHI,NDLS,34,ER
12306,KOLKATA RJDHNI,NEW DELHI,NDLS,17,ER
12306,KOLKATA RJDHNI,KANPUR CENTRAL,CNB,52,ER
12306,KOLKATA RJDHNI,PRAYAGRAJ JN,PRYJ,54,ER
12306,KOLKATA RJDHNI,PT DEEN DAYAL UPADHYAY JN,DDU,53,ER
12306,KOLKATA RJDHNI,PATNA JN,PNBE,49,ER
12306,KOLKATA RJDHNI,JASIDIH JN,JSME,46,ER
12306,KOLKATA RJDHNI,MADHUPUR JN,MDP,48,ER
