Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12953,AUG KR RAJ EXP,MUMBAI CENTRAL,MMCT,1,WR
12953,AUG KR RAJ EXP,BORIVALI,BVI,7,WR
12953,AUG KR RAJ EXP,VAPI,VAPI,13,WR
12953,AUG KR RAJ EXP,VALSAD,BL,13,WR
12953,AUG KR RAJ EXP,SURAT,ST,7,WR
12953,AUG KR RAJ EXP,BHARUCH JN,BH,7,WR
12953,AUG KR RAJ EXP,VADODARA JN,BRC,10,WR
12953,AUG KR RAJ EXP,RATLAM JN,RTM,7,WR
12953,AUG KR RAJ EXP,KOTA JN,KOTA,5,WR
12953,AUG KR RAJ EXP,SAWAI MADHOPUR,SWM,9,WR
12953,AUG KR RAJ EXP,MATHURA JN,MTJ,4,WR
12953,AUG KR RAJ EXP,H NIZAMUDDIN,NZM,3,WR
