Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20817,TEJAS RAJ EXP,BHUBANESWAR,BBS,18,ECOR
20817,TEJAS RAJ EXP,CUTTACK,CTC,27,ECOR
20817,TEJAS RAJ EXP,DHENKANAL,DNKL,36,ECOR
20817,TEJAS RAJ EXP,ANGUL,ANGL,49,ECOR
20817,TEJAS RAJ EXP,SAMBALPUR CITY,SBPY,50,ECOR
20817,TEJAS RAJ EXP,JHARSUGUDA JN,JSG,33,ECOR
20817,TEJAS RAJ EXP,ROURKELA,ROU,55,ECOR
20817,TEJAS RAJ EXP,CHAKRADHARPUR,CKP,72,ECOR
20817,TEJAS RAJ EXP,ANARA,ANR,125,ECOR
20817,TEJAS RAJ EXP,NSC BOSE J GOMO,GMO,94,ECOR
20817,TEJAS RAJ EXP,KODERMA,KQR,105,ECOR
20817,TEJAS RAJ EXP,GAYA JN,GAYA,96,ECOR
20817,TEJAS RAJ EXP,PT DEEN DAYAL UPADHYAY JN,DDU,96,ECOR
20817,TEJAS RAJ EXP,PRAYAGRAJ JN,PRYJ,112,ECOR
20817,TEJAS RAJ EXP,KANPUR CENTRAL,CNB,121,ECOR
20817,TEJAS RAJ EXP,NEW DELHI,NDLS,121,ECOR
