Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12001,NDLS SHATABDI,RANI KAMLAPATI,RKMP,21,NR
12001,NDLS SHATABDI,BHOPAL JN,BPL,23,NR
12001,NDLS SHATABDI,BINA JN,BINA,23,NR
12001,NDLS SHATABDI,LALITPUR,LAR,35,NR
12001,NDLS SHATABDI,V LAKSHMIBAI JHANSI,VGLJ,31,NR
12001,NDLS SHATABDI,GWALIOR,GWL,41,NR
12001,NDLS SHATABDI,MORENA,MRA,44,NR
12001,NDLS SHATABDI,DHAULPUR,DHO,34,NR
12001,NDLS SHATABDI,AGRA CANTT,AGC,35,NR
12001,NDLS SHATABDI,MATHURA JN,MTJ,46,NR
12001,NDLS SHATABDI,NEW DELHI,NDLS,71,NR
