Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02003,NDLS SWARNA SHATABDI,,,,
02004,LJN SWARNA SHATABDI,,,,
02005,KALKA SHTBDI SPL,,,,
02006,KALKA SHTBDI SPL,,,,
02011,NDLS KLK SHATABDI,,,,
02012,KLK SHTBDI SPL,,,,
02013,ASR SHTBDI SPL,,,,
02014,NDLS SHATABDI SPL,,,,
02033,CNB NDLS SHT SPL,,,,
02034,NDLS CNB SHT SPL,,,,
02039,NDLS SHATABDI SPL,,,,
02040,KGM SHATABDI SPL,NAGPUR,NGP,2,NR
02040,KGM SHATABDI SPL,AJNI,AJNI,0,NR
02040,KGM SHATABDI SPL,WARDHA JN,WR,72,NR
02040,KGM SHATABDI SPL,PULGAON JN,PLO,81,NR
02040,KGM SHATABDI SPL,DHAMANGAON,DMN,82,NR
02040,KGM SHATABDI SPL,BADNERA JN,BD,73,NR
02040,KGM SHATABDI SPL,AKOLA JN,AK,77,NR
02040,KGM SHATABDI SPL,SHEGAON,SEG,85,NR
02040,KGM SHATABDI SPL,MALKAPUR,MKU,85,NR
02040,KGM SHATABDI SPL,BHUSAVAL JN,BSL,67,NR
02040,KGM SHATABDI SPL,NASIK ROAD,NK,111,NR
02040,KGM SHATABDI SPL,IGATPURI,IGP,160,NR
02040,KGM SHATABDI SPL,KALYAN JN,KYN,330,NR
02040,KGM SHATABDI SPL,DADAR,DR,0,NR
02040,KGM SHATABDI SPL,C SHIVAJI TERM MUMBAI,CSMT,0,NR
12001,NDLS SHATABDI,RANI KAMLAPATI,RKMP,31,NR
12001,NDLS SHATABDI,BHOPAL JN,BPL,33,NR
12001,NDLS SHATABDI,BINA JN,BINA,32,NR
12001,NDLS SHATABDI,LALITPUR,LAR,46,NR
12001,NDLS SHATABDI,V LAKSHMIBAI JHANSI,VGLJ,42,NR
12001,NDLS SHATABDI,GWALIOR,GWL,52,NR
12001,NDLS SHATABDI,MORENA,MRA,57,NR
12001,NDLS SHATABDI,DHAULPUR,DHO,46,NR
12001,NDLS SHATABDI,AGRA CANTT,AGC,47,NR
12001,NDLS SHATABDI,MATHURA JN,MTJ,61,NR
12001,NDLS SHATABDI,NEW DELHI,NDLS,118,NR
12002,BHOPAL SHTBDI,NEW DELHI,NDLS,1,NR
12002,BHOPAL SHTBDI,MATHURA JN,MTJ,27,NR
12002,BHOPAL SHTBDI,AGRA CANTT,AGC,40,NR
12002,BHOPAL SHTBDI,DHAULPUR,DHO,34,NR
12002,BHOPAL SHTBDI,MORENA,MRA,39,NR
12002,BHOPAL SHTBDI,GWALIOR,GWL,42,NR
12002,BHOPAL SHTBDI,V LAKSHMIBAI JHANSI,VGLJ,39,NR
12002,BHOPAL SHTBDI,LALITPUR,LAR,48,NR
12002,BHOPAL SHTBDI,BINA JN,BINA,40,NR
12002,BHOPAL SHTBDI,BHOPAL JN,BPL,44,NR
12002,BHOPAL SHTBDI,RANI KAMLAPATI,RKMP,33,NR
12003,NDLS SWARNA SHATABDI,LUCKNOW NE,LJN,16,NR
12003,NDLS SWARNA SHATABDI,KANPUR CENTRAL,CNB,21,NR
12003,NDLS SWARNA SHATABDI,PHAPHUND,PHD,33,NR
12003,NDLS SWARNA SHATABDI,ETAWAH,ETW,41,NR
12003,NDLS SWARNA SHATABDI,TUNDLA JN,TDL,35,NR
12003,NDLS SWARNA SHATABDI,ALIGARH JN,ALJN,37,NR
12003,NDLS SWARNA SHATABDI,GHAZIABAD,GZB,32,NR
12003,NDLS SWARNA SHATABDI,NEW DELHI,NDLS,29,NR
12004,LJN SWARNA SHATABDI,NEW DELHI,NDLS,11,NR
12004,LJN SWARNA SHATABDI,GHAZIABAD,GZB,19,NR
12004,LJN SWARNA SHATABDI,ALIGARH JN,ALJN,35,NR
12004,LJN SWARNA SHATABDI,TUNDLA JN,TDL,31,NR
12004,LJN SWARNA SHATABDI,ETAWAH,ETW,37,NR
12004,LJN SWARNA SHATABDI,PHAPHUND,PHD,40,NR
12004,LJN SWARNA SHATABDI,KANPUR CENTRAL,CNB,37,NR
12004,LJN SWARNA SHATABDI,LUCKNOW NE,LJN,34,NR
12005,KALKA SHTBDI,NEW DELHI,NDLS,4,NR
12005,KALKA SHTBDI,PANIPAT JN,PNP,16,NR
12005,KALKA SHTBDI,KURUKSHETRA JN,KKDE,22,NR
12005,KALKA SHTBDI,AMBALA CANT JN,UMB,9,NR
12005,KALKA SHTBDI,CHANDIGARH,CDG,9,NR
12005,KALKA SHTBDI,KALKA,KLK,7,NR
12006,KALKA SHTBDI,KALKA,KLK,1,NR
12006,KALKA SHTBDI,CHANDIGARH,CDG,4,NR
12006,KALKA SHTBDI,AMBALA CANT JN,UMB,2,NR
12006,KALKA SHTBDI,KURUKSHETRA JN,KKDE,8,NR
