Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
02003,NDLS SWARNA SHATABDI,,,,
02004,LJN SWARNA SHATABDI,,,,
02005,KALKA SHTBDI SPL,,,,
02006,KALKA SHTBDI SPL,,,,
02011,NDLS KLK SHATABDI,,,,
02012,KLK SHTBDI SPL,,,,
02013,ASR SHTBDI SPL,,,,
02014,NDLS SHATABDI SPL,,,,
02033,CNB NDLS SHT SPL,,,,
02034,NDLS CNB SHT SPL,,,,
02039,NDLS SHATABDI SPL,,,,
02040,KGM SHATABDI SPL,,,,
12001,NDLS SHATABDI,RANI KAMLAPATI,RKMP,9,NR
12001,NDLS SHATABDI,BHOPAL JN,BPL,9,NR
12001,NDLS SHATABDI,BINA JN,BINA,6,NR
12001,NDLS SHATABDI,LALITPUR,LAR,14,NR
12001,NDLS SHATABDI,V LAKSHMIBAI JHANSI,VGLJ,25,NR
12001,NDLS SHATABDI,GWALIOR,GWL,35,NR
12001,NDLS SHATABDI,MORENA,MRA,40,NR
12001,NDLS SHATABDI,DHAULPUR,DHO,27,NR
12001,NDLS SHATABDI,AGRA CANTT,AGC,26,NR
12001,NDLS SHATABDI,MATHURA JN,MTJ,33,NR
12001,NDLS SHATABDI,NEW DELHI,NDLS,792,NR
12002,BHOPAL SHTBDI,NEW DELHI,NDLS,0,NR
12002,BHOPAL SHTBDI,MATHURA JN,MTJ,17,NR
12002,BHOPAL SHTBDI,AGRA CANTT,AGC,27,NR
12002,BHOPAL SHTBDI,DHAULPUR,DHO,21,NR
12002,BHOPAL SHTBDI,MORENA,MRA,25,NR
12002,BHOPAL SHTBDI,GWALIOR,GWL,27,NR
12002,BHOPAL SHTBDI,V LAKSHMIBAI JHANSI,VGLJ,21,NR
12002,BHOPAL SHTBDI,LALITPUR,LAR,30,NR
12002,BHOPAL SHTBDI,BINA JN,BINA,21,NR
12002,BHOPAL SHTBDI,BHOPAL JN,BPL,26,NR
12002,BHOPAL SHTBDI,RANI KAMLAPATI,RKMP,15,NR
12003,NDLS SWARNA SHATABDI,LUCKNOW NE,LJN,3,NR
12003,NDLS SWARNA SHATABDI,KANPUR CENTRAL,CNB,10,NR
12003,NDLS SWARNA SHATABDI,PHAPHUND,PHD,22,NR
12003,NDLS SWARNA SHATABDI,ETAWAH,ETW,28,NR
12003,NDLS SWARNA SHATABDI,TUNDLA JN,TDL,19,NR
12003,NDLS SWARNA SHATABDI,ALIGARH JN,ALJN,20,NR
12003,NDLS SWARNA SHATABDI,GHAZIABAD,GZB,11,NR
12003,NDLS SWARNA SHATABDI,NEW DELHI,NDLS,7,NR
12004,LJN SWARNA SHATABDI,NEW DELHI,NDLS,1,NR
12004,LJN SWARNA SHATABDI,GHAZIABAD,GZB,7,NR
12004,LJN SWARNA SHATABDI,ALIGARH JN,ALJN,17,NR
12004,LJN SWARNA SHATABDI,TUNDLA JN,TDL,5,NR
12004,LJN SWARNA SHATABDI,ETAWAH,ETW,5,NR
12004,LJN SWARNA SHATABDI,PHAPHUND,PHD,9,NR
12004,LJN SWARNA SHATABDI,KANPUR CENTRAL,CNB,3,NR
12004,LJN SWARNA SHATABDI,LUCKNOW NE,LJN,5,NR
12005,KALKA SHTBDI,NEW DELHI,NDLS,2,NR
12005,KALKA SHTBDI,PANIPAT JN,PNP,14,NR
12005,KALKA SHTBDI,KURUKSHETRA JN,KKDE,21,NR
12005,KALKA SHTBDI,AMBALA CANT JN,UMB,8,NR
12005,KALKA SHTBDI,CHANDIGARH,CDG,6,NR
12005,KALKA SHTBDI,KALKA,KLK,7,NR
12006,KALKA SHTBDI,KALKA,KLK,1,NR
12006,KALKA SHTBDI,CHANDIGARH,CDG,3,NR
12006,KALKA SHTBDI,AMBALA CANT JN,UMB,0,NR
12006,KALKA SHTBDI,KURUKSHETRA JN,KKDE,4,NR
12006,KALKA SHTBDI,PANIPAT JN,PNP,11,NR
12006,KALKA SHTBDI,NEW DELHI,NDLS,6,NR
12007,SHATABDI EXP,CHENNAI CENTRAL,MAS,1,SR
12007,SHATABDI EXP,KATPADI JN,KPD,14,SR
12007,SHATABDI EXP,KSR BANGALORE CY JN,SBC,13,SR
12008,SHATABDI EXP,MYSORE JN,MYS,1,SR
12008,SHATABDI EXP,KSR BANGALORE CY JN,SBC,26,SR
12008,SHATABDI EXP,KATPADI JN,KPD,29,SR
12008,SHATABDI EXP,CHENNAI CENTRAL,MAS,28,SR
12009,SHATABDI EXP,MUMBAI CENTRAL,MMCT,2,WR
12009,SHATABDI EXP,BORIVALI,BVI,14,WR
12009,SHATABDI EXP,VAPI,VAPI,17,WR
12009,SHATABDI EXP,SURAT,ST,12,WR
12009,SHATABDI EXP,BHARUCH JN,BH,10,WR
12009,SHATABDI EXP,VADODARA JN,BRC,14,WR
