Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20829,VANDE BHARAT EXP,DURG,DURG,5,SECR
20829,VANDE BHARAT EXP,RAIPUR JN,R,7,SECR
20829,VANDE BHARAT EXP,MAHASAMUND,MSMD,18,SECR
20829,VANDE BHARAT EXP,KHARIAR ROAD,KRAR,26,SECR
20829,VANDE BHARAT EXP,KANTABANJI,KBJ,37,SECR
20829,VANDE BHARAT EXP,TITLAGARH,TIG,45,SECR
20829,VANDE BHARAT EXP,KESINGA,KSNG,47,SECR
20829,VANDE BHARAT EXP,RAYAGADA,RGDA,58,SECR
20829,VANDE BHARAT EXP,PARVATIPURAM,PVP,56,SECR
20829,VANDE BHARAT EXP,VIZIANAGRAM JN,VZM,54,SECR
20829,VANDE BHARAT EXP,VISHAKAPATNAM,VSKP,30,SECR
