Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12002,BHOPAL SHTBDI,NEW DELHI,NDLS,0,NR
12002,BHOPAL SHTBDI,MATHURA JN,MTJ,17,NR
12002,BHOPAL SHTBDI,AGRA CANTT,AGC,27,NR
12002,BHOPAL SHTBDI,DHAULPUR,DHO,21,NR
12002,BHOPAL SHTBDI,MORENA,MRA,25,NR
12002,BHOPAL SHTBDI,GWALIOR,GWL,27,NR
12002,BHOPAL SHTBDI,V LAKSHMIBAI JHANSI,VGLJ,21,NR
12002,BHOPAL SHTBDI,LALITPUR,LAR,30,NR
12002,BHOPAL SHTBDI,BINA JN,BINA,21,NR
12002,BHOPAL SHTBDI,BHOPAL JN,BPL,26,NR
12002,BHOPAL SHTBDI,RANI KAMLAPATI,RKMP,15,NR
