Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12002,BHOPAL SHTBDI,NEW DELHI,NDLS,1,NR
12002,BHOPAL SHTBDI,MATHURA JN,MTJ,22,NR
12002,BHOPAL SHTBDI,AGRA CANTT,AGC,30,NR
12002,BHOPAL SHTBDI,DHAULPUR,DHO,23,NR
12002,BHOPAL SHTBDI,MORENA,MRA,26,NR
12002,BHOPAL SHTBDI,GWALIOR,GWL,26,NR
12002,BHOPAL SHTBDI,V LAKSHMIBAI JHANSI,VGLJ,22,NR
12002,BHOPAL SHTBDI,LALITPUR,LAR,30,NR
12002,BHOPAL SHTBDI,BINA JN,BINA,20,NR
12002,BHOPAL SHTBDI,BHOPAL JN,BPL,24,NR
12002,BHOPAL SHTBDI,RANI KAMLAPATI,RKMP,13,NR
