Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
22167,SGRL NZM SF EXP,SINGRAULI,SGRL,22,WCR
22167,SGRL NZM SF EXP,BARGAWAN,BRGW,31,WCR
22167,SGRL NZM SF EXP,SAREIGRAM,SGAM,42,WCR
22167,SGRL NZM SF EXP,MARWASGRAM,MWJ,50,WCR
22167,SGRL NZM SF EXP,BEOHARI,BEHR,62,WCR
22167,SGRL NZM SF EXP,KHANNA BANJARI,KHBJ,64,WCR
22167,SGRL NZM SF EXP,KATNI MURWARA,KMZ,78,WCR
22167,SGRL NZM SF EXP,DAMOH,DMO,89,WCR
22167,SGRL NZM SF EXP,SAUGOR,SGO,112,WCR
22167,SGRL NZM SF EXP,V LAKSHMIBAI JHANSI,VGLJ,103,WCR
22167,SGRL NZM SF EXP,GWALIOR,GWL,120,WCR
22167,SGRL NZM SF EXP,AGRA CANTT,AGC,90,WCR
22167,SGRL NZM SF EXP,MATHURA JN,MTJ,105,WCR
22167,SGRL NZM SF EXP,FARIDABAD,FDB,93,WCR
22167,SGRL NZM SF EXP,H NIZAMUDDIN,NZM,102,WCR
