Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01005,CSMT CAPE SPL,,,,
01009,LTT DNR SF SPL,,,,
01467,PUNE NGP SF SPL,,,,
01468,NGP PUNE SF SPL,,,,
01469,PUNE NGP SF SPL,,,,
01470,NGP PUNE SF EXP,,,,
01491,PUNE NZM SF SPL,,,,
01492,PUNE HOLI SPL,,,,
02131,PUNE JBP SF SPL,PUNE JN,PUNE,61,WCR
02131,PUNE JBP SF SPL,DAUND CHORD LINE,DDCC,96,WCR
02131,PUNE JBP SF SPL,AHMADNAGAR,ANG,131,WCR
02131,PUNE JBP SF SPL,BELAPUR,BAP,148,WCR
02131,PUNE JBP SF SPL,KOPARGAON,KPG,162,WCR
02131,PUNE JBP SF SPL,MANMAD JN,MMR,154,WCR
02131,PUNE JBP SF SPL,BHUSAVAL JN,BSL,197,WCR
02131,PUNE JBP SF SPL,HARDA,HD,128,WCR
02131,PUNE JBP SF SPL,ITARSI JN,ET,119,WCR
02131,PUNE JBP SF SPL,PIPARIYA,PPI,114,WCR
02131,PUNE JBP SF SPL,NARSINGHPUR,NU,131,WCR
02131,PUNE JBP SF SPL,MADAN MAHAL,MML,158,WCR
02131,PUNE JBP SF SPL,JABALPUR,JBP,156,WCR
02132,JBP PUNE SPECIAL,JABALPUR,JBP,3,WCR
02132,JBP PUNE SPECIAL,MADAN MAHAL,MML,10,WCR
02132,JBP PUNE SPECIAL,NARSINGHPUR,NU,24,WCR
02132,JBP PUNE SPECIAL,PIPARIYA,PPI,60,WCR
02132,JBP PUNE SPECIAL,ITARSI JN,ET,80,WCR
02132,JBP PUNE SPECIAL,HARDA,HD,108,WCR
02132,JBP PUNE SPECIAL,BHUSAVAL JN,BSL,154,WCR
02132,JBP PUNE SPECIAL,MANMAD JN,MMR,180,WCR
02132,JBP PUNE SPECIAL,KOPARGAON,KPG,183,WCR
02132,JBP PUNE SPECIAL,BELAPUR,BAP,181,WCR
02132,JBP PUNE SPECIAL,AHMADNAGAR,ANG,205,WCR
02132,JBP PUNE SPECIAL,DAUND CHORD LINE,DDCC,214,WCR
02132,JBP PUNE SPECIAL,PUNE JN,PUNE,239,WCR
02133,BDTS JBP SF SPL,BANDRA TERMINUS,BDTS,3,WCR
02133,BDTS JBP SF SPL,BORIVALI,BVI,15,WCR
02133,BDTS JBP SF SPL,VAPI,VAPI,11,WCR
02133,BDTS JBP SF SPL,SURAT,ST,21,WCR
02133,BDTS JBP SF SPL,VADODARA JN,BRC,28,WCR
02133,BDTS JBP SF SPL,RATLAM JN,RTM,16,WCR
02133,BDTS JBP SF SPL,UJJAIN JN,UJN,10,WCR
02133,BDTS JBP SF SPL,SANT HIRDARAM NAGAR,SHRN,7,WCR
02133,BDTS JBP SF SPL,BHOPAL JN,BPL,58,WCR
02133,BDTS JBP SF SPL,NARMADAPURAM,NDPM,80,WCR
02133,BDTS JBP SF SPL,ITARSI JN,ET,63,WCR
02133,BDTS JBP SF SPL,PIPARIYA,PPI,69,WCR
02133,BDTS JBP SF SPL,NARSINGHPUR,NU,84,WCR
02133,BDTS JBP SF SPL,JABALPUR,JBP,90,WCR
02134,BDTS FESTIVL SPL,JABALPUR,JBP,3,WCR
02134,BDTS FESTIVL SPL,NARSINGHPUR,NU,24,WCR
02134,BDTS FESTIVL SPL,PIPARIYA,PPI,63,WCR
02134,BDTS FESTIVL SPL,ITARSI JN,ET,65,WCR
02134,BDTS FESTIVL SPL,NARMADAPURAM,NDPM,71,WCR
02134,BDTS FESTIVL SPL,BHOPAL JN,BPL,106,WCR
02134,BDTS FESTIVL SPL,SANT HIRDARAM NAGAR,SHRN,101,WCR
02134,BDTS FESTIVL SPL,UJJAIN JN,UJN,74,WCR
02134,BDTS FESTIVL SPL,RATLAM JN,RTM,46,WCR
02134,BDTS FESTIVL SPL,VADODARA JN,BRC,26,WCR
02134,BDTS FESTIVL SPL,UDHNA JN,UDN,26,WCR
02134,BDTS FESTIVL SPL,SURAT,ST,32,WCR
02134,BDTS FESTIVL SPL,VAPI,VAPI,56,WCR
02134,BDTS FESTIVL SPL,BORIVALI,BVI,85,WCR
02134,BDTS FESTIVL SPL,BANDRA TERMINUS,BDTS,60,WCR
02139,CSMT NGP SF SPL,C SHIVAJI TERM MUMBAI,CSMT,187,CR
02139,CSMT NGP SF SPL,DADAR,DR,192,CR
02139,CSMT NGP SF SPL,LOKMANYATILAK T,LTT,145,CR
02139,CSMT NGP SF SPL,THANE,TNA,191,CR
02139,CSMT NGP SF SPL,KALYAN JN,KYN,198,CR
02139,CSMT NGP SF SPL,NASIK ROAD,NK,211,CR
02139,CSMT NGP SF SPL,MANMAD JN,MMR,241,CR
02139,CSMT NGP SF SPL,BHUSAVAL JN,BSL,305,CR
02139,CSMT NGP SF SPL,MALKAPUR,MKU,319,CR
02139,CSMT NGP SF SPL,SHEGAON,SEG,311,CR
02139,CSMT NGP SF SPL,AKOLA JN,AK,294,CR
02139,CSMT NGP SF SPL,MURTAJAPUR,MZR,307,CR
02139,CSMT NGP SF SPL,BADNERA JN,BD,308,CR
02139,CSMT NGP SF SPL,DHAMANGAON,DMN,309,CR
02139,CSMT NGP SF SPL,WARDHA JN,WR,313,CR
02139,CSMT NGP SF SPL,NAGPUR,NGP,316,CR
02140,NGP CSMT SPL,NAGPUR,NGP,1,CR
02140,NGP CSMT SPL,WARDHA JN,WR,7,CR
02140,NGP CSMT SPL,DHAMANGAON,DMN,1,CR
02140,NGP CSMT SPL,BADNERA JN,BD,14,CR
02140,NGP CSMT SPL,MURTAJAPUR,MZR,21,CR
02140,NGP CSMT SPL,AKOLA JN,AK,19,CR
02140,NGP CSMT SPL,SHEGAON,SEG,20,CR
02140,NGP CSMT SPL,MALKAPUR,MKU,15,CR
02140,NGP CSMT SPL,BHUSAVAL JN,BSL,37,CR
02140,NGP CSMT SPL,MANMAD JN,MMR,72,CR
02140,NGP CSMT SPL,NASIK ROAD,NK,74,CR
02140,NGP CSMT SPL,KALYAN JN,KYN,37,CR
02140,NGP CSMT SPL,THANE,TNA,43,CR
02140,NGP CSMT SPL,LOKMANYATILAK T,LTT,37,CR
02185,RKMP REWA SPL,,,,
02186,REWA RKMP SPL,,,,
02197,CBE JBP SF SPL,COIMBATORE JN,CBE,1,WCR
02197,CBE JBP SF SPL,PALAKKAD JN,PGT,27,WCR
02197,CBE JBP SF SPL,SHORANUR JN,SRR,22,WCR
02197,CBE JBP SF SPL,TIRUR,TIR,17,WCR
02197,CBE JBP SF SPL,KOZHIKODE,CLT,11,WCR
02197,CBE JBP SF SPL,VADAKARA,BDJ,28,WCR
02197,CBE JBP SF SPL,KANNUR,CAN,27,WCR
02197,CBE JBP SF SPL,KASARAGOD,KGQ,38,WCR
02197,CBE JBP SF SPL,MANGALORE JN,MAJN,15,WCR
02197,CBE JBP SF SPL,MULKI,MULK,5,WCR
02197,CBE JBP SF SPL,UDUPI,UD,24,WCR
02197,CBE JBP SF SPL,KUNDAPURA,KUDA,29,WCR
02197,CBE JBP SF SPL,MOOKAMBIKA ROAD,BYNR,19,WCR
02197,CBE JBP SF SPL,KUMTA,KT,82,WCR
02197,CBE JBP SF SPL,KARWAR,KAWR,98,WCR
02197,CBE JBP SF SPL,MADGAON,MAO,85,WCR
02197,CBE JBP SF SPL,THIVIM,THVM,114,WCR
02197,CBE JBP SF SPL,KUDAL,KUDL,70,WCR
02197,CBE JBP SF SPL,KANKAVALI,KKW,87,WCR
02197,CBE JBP SF SPL,RATNAGIRI,RN,95,WCR
02197,CBE JBP SF SPL,CHIPLUN,CHI,120,WCR
02197,CBE JBP SF SPL,KHED,KHED,123,WCR
02197,CBE JBP SF SPL,ROHA,ROHA,106,WCR
02197,CBE JBP SF SPL,PANVEL,PNVL,165,WCR
02197,CBE JBP SF SPL,NASIK ROAD,NK,199,WCR
02197,CBE JBP SF SPL,BHUSAVAL JN,BSL,238,WCR
02197,CBE JBP SF SPL,KHANDWA,KNW,227,WCR
02197,CBE JBP SF SPL,HARDA,HD,234,WCR
02197,CBE JBP SF SPL,ITARSI JN,ET,241,WCR
02197,CBE JBP SF SPL,PIPARIYA,PPI,244,WCR
02197,CBE JBP SF SPL,GADARWARA,GAR,255,WCR
02197,CBE JBP SF SPL,NARSINGHPUR,NU,266,WCR
02197,CBE JBP SF SPL,JABALPUR,JBP,297,WCR
02198,JBP CBE SPECIAL,JABALPUR,JBP,51,WCR
02198,JBP CBE SPECIAL,NARSINGHPUR,NU,70,WCR
02198,JBP CBE SPECIAL,GADARWARA,GAR,77,WCR
02198,JBP CBE SPECIAL,PIPARIYA,PPI,88,WCR
02198,JBP CBE SPECIAL,ITARSI JN,ET,80,WCR
02198,JBP CBE SPECIAL,HARDA,HD,96,WCR
02198,JBP CBE SPECIAL,KHANDWA,KNW,88,WCR
02198,JBP CBE SPECIAL,BHUSAVAL JN,BSL,127,WCR
02198,JBP CBE SPECIAL,NASIK ROAD,NK,180,WCR
02198,JBP CBE SPECIAL,PANVEL,PNVL,227,WCR
02198,JBP CBE SPECIAL,ROHA,ROHA,230,WCR
02198,JBP CBE SPECIAL,KHED,KHED,256,WCR
02198,JBP CBE SPECIAL,CHIPLUN,CHI,279,WCR
02198,JBP CBE SPECIAL,RATNAGIRI,RN,317,WCR
02198,JBP CBE SPECIAL,KANKAVALI,KKW,329,WCR
02198,JBP CBE SPECIAL,KUDAL,KUDL,320,WCR
02198,JBP CBE SPECIAL,THIVIM,THVM,347,WCR
02198,JBP CBE SPECIAL,MADGAON,MAO,348,WCR
02198,JBP CBE SPECIAL,KARWAR,KAWR,366,WCR
02198,JBP CBE SPECIAL,KUMTA,KT,386,WCR
02198,JBP CBE SPECIAL,MOOKAMBIKA ROAD,BYNR,398,WCR
02198,JBP CBE SPECIAL,KUNDAPURA,KUDA,408,WCR
