Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01005,CSMT CAPE SPL,,,,
01009,LTT DNR SF SPL,,,,
01467,PUNE NGP SF SPL,,,,
01468,NGP PUNE SF SPL,,,,
01469,PUNE NGP SF SPL,,,,
01470,NGP PUNE SF EXP,,,,
01491,PUNE NZM SF SPL,,,,
01492,PUNE HOLI SPL,,,,
02131,PUNE JBP SF SPL,PUNE JN,PUNE,45,WCR
02131,PUNE JBP SF SPL,DAUND CHORD LINE,DDCC,69,WCR
02131,PUNE JBP SF SPL,AHMADNAGAR,ANG,143,WCR
02131,PUNE JBP SF SPL,BELAPUR,BAP,187,WCR
02131,PUNE JBP SF SPL,KOPARGAON,KPG,195,WCR
02131,PUNE JBP SF SPL,MANMAD JN,MMR,195,WCR
02131,PUNE JBP SF SPL,BHUSAVAL JN,BSL,231,WCR
02131,PUNE JBP SF SPL,HARDA,HD,158,WCR
02131,PUNE JBP SF SPL,ITARSI JN,ET,152,WCR
02131,PUNE JBP SF SPL,PIPARIYA,PPI,146,WCR
02131,PUNE JBP SF SPL,NARSINGHPUR,NU,157,WCR
02131,PUNE JBP SF SPL,MADAN MAHAL,MML,168,WCR
02131,PUNE JBP SF SPL,JABALPUR,JBP,166,WCR
02132,JBP PUNE SPECIAL,JABALPUR,JBP,6,WCR
02132,JBP PUNE SPECIAL,MADAN MAHAL,MML,16,WCR
02132,JBP PUNE SPECIAL,NARSINGHPUR,NU,26,WCR
02132,JBP PUNE SPECIAL,PIPARIYA,PPI,57,WCR
02132,JBP PUNE SPECIAL,ITARSI JN,ET,68,WCR
02132,JBP PUNE SPECIAL,HARDA,HD,97,WCR
02132,JBP PUNE SPECIAL,BHUSAVAL JN,BSL,126,WCR
02132,JBP PUNE SPECIAL,MANMAD JN,MMR,161,WCR
02132,JBP PUNE SPECIAL,KOPARGAON,KPG,142,WCR
02132,JBP PUNE SPECIAL,BELAPUR,BAP,137,WCR
02132,JBP PUNE SPECIAL,AHMADNAGAR,ANG,157,WCR
02132,JBP PUNE SPECIAL,DAUND CHORD LINE,DDCC,155,WCR
02132,JBP PUNE SPECIAL,PUNE JN,PUNE,172,WCR
02133,BDTS JBP SF SPL,BANDRA TERMINUS,BDTS,3,WCR
02133,BDTS JBP SF SPL,BORIVALI,BVI,13,WCR
02133,BDTS JBP SF SPL,VAPI,VAPI,12,WCR
02133,BDTS JBP SF SPL,SURAT,ST,14,WCR
02133,BDTS JBP SF SPL,VADODARA JN,BRC,18,WCR
02133,BDTS JBP SF SPL,RATLAM JN,RTM,12,WCR
02133,BDTS JBP SF SPL,UJJAIN JN,UJN,7,WCR
02133,BDTS JBP SF SPL,SANT HIRDARAM NAGAR,SHRN,8,WCR
02133,BDTS JBP SF SPL,BHOPAL JN,BPL,61,WCR
02133,BDTS JBP SF SPL,NARMADAPURAM,NDPM,76,WCR
02133,BDTS JBP SF SPL,ITARSI JN,ET,61,WCR
02133,BDTS JBP SF SPL,PIPARIYA,PPI,73,WCR
02133,BDTS JBP SF SPL,NARSINGHPUR,NU,86,WCR
02133,BDTS JBP SF SPL,JABALPUR,JBP,96,WCR
02134,BDTS FESTIVL SPL,JABALPUR,JBP,5,WCR
02134,BDTS FESTIVL SPL,NARSINGHPUR,NU,32,WCR
02134,BDTS FESTIVL SPL,PIPARIYA,PPI,59,WCR
02134,BDTS FESTIVL SPL,ITARSI JN,ET,58,WCR
02134,BDTS FESTIVL SPL,NARMADAPURAM,NDPM,62,WCR
02134,BDTS FESTIVL SPL,BHOPAL JN,BPL,97,WCR
02134,BDTS FESTIVL SPL,SANT HIRDARAM NAGAR,SHRN,92,WCR
02134,BDTS FESTIVL SPL,UJJAIN JN,UJN,66,WCR
02134,BDTS FESTIVL SPL,RATLAM JN,RTM,38,WCR
02134,BDTS FESTIVL SPL,VADODARA JN,BRC,18,WCR
02134,BDTS FESTIVL SPL,UDHNA JN,UDN,26,WCR
02134,BDTS FESTIVL SPL,VAPI,VAPI,43,WCR
02134,BDTS FESTIVL SPL,BORIVALI,BVI,72,WCR
02134,BDTS FESTIVL SPL,BANDRA TERMINUS,BDTS,50,WCR
02139,CSMT NGP SF SPL,,,,
02140,NGP CSMT SPL,,,,
02185,RKMP REWA SPL,,,,
02186,REWA RKMP SPL,,,,
02197,CBE JBP SF SPL,COIMBATORE JN,CBE,1,WCR
02197,CBE JBP SF SPL,PALAKKAD JN,PGT,33,WCR
02197,CBE JBP SF SPL,SHORANUR JN,SRR,28,WCR
02197,CBE JBP SF SPL,TIRUR,TIR,23,WCR
02197,CBE JBP SF SPL,KOZHIKODE,CLT,20,WCR
02197,CBE JBP SF SPL,VADAKARA,BDJ,24,WCR
02197,CBE JBP SF SPL,KANNUR,CAN,26,WCR
02197,CBE JBP SF SPL,KASARAGOD,KGQ,44,WCR
02197,CBE JBP SF SPL,MANGALORE JN,MAJN,21,WCR
02197,CBE JBP SF SPL,MULKI,MULK,3,WCR
02197,CBE JBP SF SPL,UDUPI,UD,25,WCR
02197,CBE JBP SF SPL,KUNDAPURA,KUDA,31,WCR
02197,CBE JBP SF SPL,MOOKAMBIKA ROAD,BYNR,29,WCR
02197,CBE JBP SF SPL,KUMTA,KT,89,WCR
02197,CBE JBP SF SPL,KARWAR,KAWR,113,WCR
02197,CBE JBP SF SPL,MADGAON,MAO,97,WCR
02197,CBE JBP SF SPL,THIVIM,THVM,127,WCR
02197,CBE JBP SF SPL,KUDAL,KUDL,81,WCR
02197,CBE JBP SF SPL,KANKAVALI,KKW,84,WCR
02197,CBE JBP SF SPL,RATNAGIRI,RN,61,WCR
02197,CBE JBP SF SPL,CHIPLUN,CHI,77,WCR
02197,CBE JBP SF SPL,KHED,KHED,78,WCR
02197,CBE JBP SF SPL,ROHA,ROHA,54,WCR
02197,CBE JBP SF SPL,PANVEL,PNVL,89,WCR
02197,CBE JBP SF SPL,NASIK ROAD,NK,103,WCR
02197,CBE JBP SF SPL,BHUSAVAL JN,BSL,179,WCR
02197,CBE JBP SF SPL,KHANDWA,KNW,163,WCR
02197,CBE JBP SF SPL,HARDA,HD,168,WCR
02197,CBE JBP SF SPL,ITARSI JN,ET,169,WCR
02197,CBE JBP SF SPL,PIPARIYA,PPI,169,WCR
02197,CBE JBP SF SPL,GADARWARA,GAR,173,WCR
02197,CBE JBP SF SPL,NARSINGHPUR,NU,181,WCR
02197,CBE JBP SF SPL,JABALPUR,JBP,194,WCR
02198,JBP CBE SPECIAL,JABALPUR,JBP,56,WCR
02198,JBP CBE SPECIAL,NARSINGHPUR,NU,70,WCR
02198,JBP CBE SPECIAL,GADARWARA,GAR,74,WCR
02198,JBP CBE SPECIAL,PIPARIYA,PPI,91,WCR
02198,JBP CBE SPECIAL,ITARSI JN,ET,72,WCR
02198,JBP CBE SPECIAL,HARDA,HD,80,WCR
02198,JBP CBE SPECIAL,KHANDWA,KNW,71,WCR
02198,JBP CBE SPECIAL,BHUSAVAL JN,BSL,129,WCR
02198,JBP CBE SPECIAL,NASIK ROAD,NK,175,WCR
02198,JBP CBE SPECIAL,PANVEL,PNVL,216,WCR
02198,JBP CBE SPECIAL,ROHA,ROHA,214,WCR
02198,JBP CBE SPECIAL,KHED,KHED,247,WCR
02198,JBP CBE SPECIAL,CHIPLUN,CHI,261,WCR
02198,JBP CBE SPECIAL,RATNAGIRI,RN,296,WCR
02198,JBP CBE SPECIAL,KANKAVALI,KKW,310,WCR
02198,JBP CBE SPECIAL,KUDAL,KUDL,303,WCR
02198,JBP CBE SPECIAL,THIVIM,THVM,316,WCR
02198,JBP CBE SPECIAL,MADGAON,MAO,315,WCR
02198,JBP CBE SPECIAL,KARWAR,KAWR,333,WCR
02198,JBP CBE SPECIAL,KUMTA,KT,351,WCR
02198,JBP CBE SPECIAL,MOOKAMBIKA ROAD,BYNR,368,WCR
02198,JBP CBE SPECIAL,KUNDAPURA,KUDA,378,WCR
02198,JBP CBE SPECIAL,UDUPI,UD,373,WCR
02198,JBP CBE SPECIAL,MULKI,MULK,371,WCR
02198,JBP CBE SPECIAL,MANGALORE JN,MAJN,321,WCR
02198,JBP CBE SPECIAL,KASARAGOD,KGQ,324,WCR
02198,JBP CBE SPECIAL,KANNUR,CAN,324,WCR
02198,JBP CBE SPECIAL,VADAKARA,BDJ,330,WCR
02198,JBP CBE SPECIAL,KOZHIKODE,CLT,341,WCR
02198,JBP CBE SPECIAL,TIRUR,TIR,354,WCR
02198,JBP CBE SPECIAL,SHORANUR JN,SRR,340,WCR
02198,JBP CBE SPECIAL,PALAKKAD JN,PGT,336,WCR
02198,JBP CBE SPECIAL,COIMBATORE JN,CBE,292,WCR
02393,RJPB NDLS SF SPL,RJNDR NGR BIHAR,RJPB,11,ECR
02393,RJPB NDLS SF SPL,PATNA JN,PNBE,14,ECR
02393,RJPB NDLS SF SPL,DANAPUR,DNR,18,ECR
02393,RJPB NDLS SF SPL,ARA,ARA,46,ECR
02393,RJPB NDLS SF SPL,BUXAR,BXR,71,ECR
02393,RJPB NDLS SF SPL,PT DEEN DAYAL UPADHYAY JN,DDU,39,ECR
02393,RJPB NDLS SF SPL,PRAYAGRAJ JN,PRYJ,96,ECR
02393,RJPB NDLS SF SPL,GOVINDPURI,GOY,202,ECR
02393,RJPB NDLS SF SPL,NEW DELHI,NDLS,255,ECR
02394,RJPB HOLI SPL,,,,
02397,GAYA ANVT SPL,,,,
02398,GAYA HOLI SPL,,,,
02525,KYQ ANVT SPECIAL,,,,
02526,KYQ HOLI SPL,,,,
02837,SRC PURI SPL,SANTRAGACHI JN,SRC,213,SER
02837,SRC PURI SPL,KHARAGPUR JN,KGP,232,SER
02837,SRC PURI SPL,BALASORE,BLS,247,SER
02837,SRC PURI SPL,BHADRAKH,BHC,263,SER
02837,SRC PURI SPL,JAJPUR K ROAD,JJKR,275,SER
