Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01005,CSMT CAPE SPL,,,,
01009,LTT DNR SF SPL,,,,
01467,PUNE NGP SF SPL,,,,
01468,NGP PUNE SF SPL,,,,
01469,PUNE NGP SF SPL,,,,
01470,NGP PUNE SF EXP,,,,
01491,PUNE NZM SF SPL,,,,
01492,PUNE HOLI SPL,,,,
02131,PUNE JBP SF SPL,PUNE JN,PUNE,39,WCR
02131,PUNE JBP SF SPL,DAUND CHORD LINE,DDCC,65,WCR
02131,PUNE JBP SF SPL,AHMADNAGAR,ANG,127,WCR
02131,PUNE JBP SF SPL,BELAPUR,BAP,166,WCR
02131,PUNE JBP SF SPL,KOPARGAON,KPG,163,WCR
02131,PUNE JBP SF SPL,MANMAD JN,MMR,157,WCR
02131,PUNE JBP SF SPL,BHUSAVAL JN,BSL,158,WCR
02131,PUNE JBP SF SPL,HARDA,HD,110,WCR
02131,PUNE JBP SF SPL,ITARSI JN,ET,125,WCR
02131,PUNE JBP SF SPL,PIPARIYA,PPI,114,WCR
02131,PUNE JBP SF SPL,NARSINGHPUR,NU,132,WCR
02131,PUNE JBP SF SPL,MADAN MAHAL,MML,139,WCR
02131,PUNE JBP SF SPL,JABALPUR,JBP,145,WCR
02132,JBP PUNE SPECIAL,JABALPUR,JBP,2,WCR
02132,JBP PUNE SPECIAL,MADAN MAHAL,MML,3,WCR
02132,JBP PUNE SPECIAL,NARSINGHPUR,NU,39,WCR
02132,JBP PUNE SPECIAL,PIPARIYA,PPI,64,WCR
02132,JBP PUNE SPECIAL,ITARSI JN,ET,40,WCR
02132,JBP PUNE SPECIAL,HARDA,HD,48,WCR
02132,JBP PUNE SPECIAL,BHUSAVAL JN,BSL,75,WCR
02132,JBP PUNE SPECIAL,MANMAD JN,MMR,99,WCR
02132,JBP PUNE SPECIAL,KOPARGAON,KPG,77,WCR
02132,JBP PUNE SPECIAL,BELAPUR,BAP,77,WCR
02132,JBP PUNE SPECIAL,AHMADNAGAR,ANG,92,WCR
02132,JBP PUNE SPECIAL,DAUND CHORD LINE,DDCC,90,WCR
02132,JBP PUNE SPECIAL,PUNE JN,PUNE,104,WCR
02133,BDTS JBP SF SPL,BANDRA TERMINUS,BDTS,3,WCR
02133,BDTS JBP SF SPL,BORIVALI,BVI,5,WCR
02133,BDTS JBP SF SPL,VAPI,VAPI,5,WCR
02133,BDTS JBP SF SPL,SURAT,ST,1,WCR
02133,BDTS JBP SF SPL,VADODARA JN,BRC,14,WCR
02133,BDTS JBP SF SPL,RATLAM JN,RTM,0,WCR
02133,BDTS JBP SF SPL,UJJAIN JN,UJN,0,WCR
02133,BDTS JBP SF SPL,SANT HIRDARAM NAGAR,SHRN,27,WCR
02133,BDTS JBP SF SPL,BHOPAL JN,BPL,115,WCR
02133,BDTS JBP SF SPL,NARMADAPURAM,NDPM,132,WCR
02133,BDTS JBP SF SPL,ITARSI JN,ET,115,WCR
02133,BDTS JBP SF SPL,PIPARIYA,PPI,133,WCR
02133,BDTS JBP SF SPL,NARSINGHPUR,NU,134,WCR
02133,BDTS JBP SF SPL,JABALPUR,JBP,146,WCR
02134,BDTS FESTIVL SPL,JABALPUR,JBP,2,WCR
02134,BDTS FESTIVL SPL,NARSINGHPUR,NU,17,WCR
02134,BDTS FESTIVL SPL,PIPARIYA,PPI,37,WCR
02134,BDTS FESTIVL SPL,ITARSI JN,ET,15,WCR
02134,BDTS FESTIVL SPL,NARMADAPURAM,NDPM,26,WCR
02134,BDTS FESTIVL SPL,BHOPAL JN,BPL,85,WCR
02134,BDTS FESTIVL SPL,SANT HIRDARAM NAGAR,SHRN,74,WCR
02134,BDTS FESTIVL SPL,UJJAIN JN,UJN,49,WCR
02134,BDTS FESTIVL SPL,RATLAM JN,RTM,16,WCR
02134,BDTS FESTIVL SPL,VADODARA JN,BRC,6,WCR
02134,BDTS FESTIVL SPL,UDHNA JN,UDN,15,WCR
02134,BDTS FESTIVL SPL,VAPI,VAPI,48,WCR
02134,BDTS FESTIVL SPL,BORIVALI,BVI,67,WCR
02134,BDTS FESTIVL SPL,BANDRA TERMINUS,BDTS,38,WCR
02139,CSMT NGP SF SPL,,,,
02140,NGP CSMT SPL,,,,
02185,RKMP REWA SPL,,,,
02186,REWA RKMP SPL,,,,
02197,CBE JBP SF SPL,COIMBATORE JN,CBE,1,WCR
02197,CBE JBP SF SPL,PALAKKAD JN,PGT,40,WCR
02197,CBE JBP SF SPL,SHORANUR JN,SRR,42,WCR
02197,CBE JBP SF SPL,TIRUR,TIR,36,WCR
02197,CBE JBP SF SPL,KOZHIKODE,CLT,15,WCR
02197,CBE JBP SF SPL,VADAKARA,BDJ,24,WCR
02197,CBE JBP SF SPL,KANNUR,CAN,17,WCR
02197,CBE JBP SF SPL,KASARAGOD,KGQ,21,WCR
02197,CBE JBP SF SPL,MANGALORE JN,MAJN,0,WCR
02197,CBE JBP SF SPL,MULKI,MULK,0,WCR
02197,CBE JBP SF SPL,UDUPI,UD,24,WCR
02197,CBE JBP SF SPL,KUNDAPURA,KUDA,35,WCR
02197,CBE JBP SF SPL,MOOKAMBIKA ROAD,BYNR,38,WCR
02197,CBE JBP SF SPL,KUMTA,KT,102,WCR
02197,CBE JBP SF SPL,KARWAR,KAWR,110,WCR
02197,CBE JBP SF SPL,MADGAON,MAO,109,WCR
02197,CBE JBP SF SPL,THIVIM,THVM,131,WCR
02197,CBE JBP SF SPL,KUDAL,KUDL,82,WCR
02197,CBE JBP SF SPL,KANKAVALI,KKW,80,WCR
02197,CBE JBP SF SPL,RATNAGIRI,RN,65,WCR
02197,CBE JBP SF SPL,CHIPLUN,CHI,75,WCR
02197,CBE JBP SF SPL,KHED,KHED,77,WCR
02197,CBE JBP SF SPL,ROHA,ROHA,54,WCR
02197,CBE JBP SF SPL,PANVEL,PNVL,82,WCR
02197,CBE JBP SF SPL,NASIK ROAD,NK,96,WCR
02197,CBE JBP SF SPL,BHUSAVAL JN,BSL,208,WCR
02197,CBE JBP SF SPL,KHANDWA,KNW,177,WCR
02197,CBE JBP SF SPL,HARDA,HD,183,WCR
02197,CBE JBP SF SPL,ITARSI JN,ET,181,WCR
02197,CBE JBP SF SPL,PIPARIYA,PPI,194,WCR
02197,CBE JBP SF SPL,GADARWARA,GAR,200,WCR
02197,CBE JBP SF SPL,NARSINGHPUR,NU,203,WCR
02197,CBE JBP SF SPL,JABALPUR,JBP,220,WCR
02198,JBP CBE SPECIAL,JABALPUR,JBP,11,WCR
02198,JBP CBE SPECIAL,NARSINGHPUR,NU,23,WCR
02198,JBP CBE SPECIAL,GADARWARA,GAR,32,WCR
02198,JBP CBE SPECIAL,PIPARIYA,PPI,39,WCR
02198,JBP CBE SPECIAL,ITARSI JN,ET,3,WCR
02198,JBP CBE SPECIAL,HARDA,HD,12,WCR
02198,JBP CBE SPECIAL,KHANDWA,KNW,38,WCR
02198,JBP CBE SPECIAL,BHUSAVAL JN,BSL,146,WCR
02198,JBP CBE SPECIAL,NASIK ROAD,NK,202,WCR
02198,JBP CBE SPECIAL,PANVEL,PNVL,222,WCR
02198,JBP CBE SPECIAL,ROHA,ROHA,224,WCR
02198,JBP CBE SPECIAL,KHED,KHED,240,WCR
02198,JBP CBE SPECIAL,CHIPLUN,CHI,254,WCR
02198,JBP CBE SPECIAL,RATNAGIRI,RN,285,WCR
02198,JBP CBE SPECIAL,KANKAVALI,KKW,298,WCR
02198,JBP CBE SPECIAL,KUDAL,KUDL,288,WCR
02198,JBP CBE SPECIAL,THIVIM,THVM,307,WCR
02198,JBP CBE SPECIAL,MADGAON,MAO,305,WCR
02198,JBP CBE SPECIAL,KARWAR,KAWR,325,WCR
02198,JBP CBE SPECIAL,KUMTA,KT,365,WCR
02198,JBP CBE SPECIAL,MOOKAMBIKA ROAD,BYNR,376,WCR
02198,JBP CBE SPECIAL,KUNDAPURA,KUDA,381,WCR
02198,JBP CBE SPECIAL,UDUPI,UD,371,WCR
02198,JBP CBE SPECIAL,MULKI,MULK,374,WCR
02198,JBP CBE SPECIAL,MANGALORE JN,MAJN,330,WCR
02198,JBP CBE SPECIAL,KASARAGOD,KGQ,329,WCR
02198,JBP CBE SPECIAL,KANNUR,CAN,328,WCR
02198,JBP CBE SPECIAL,VADAKARA,BDJ,333,WCR
02198,JBP CBE SPECIAL,KOZHIKODE,CLT,335,WCR
02198,JBP CBE SPECIAL,TIRUR,TIR,346,WCR
02198,JBP CBE SPECIAL,SHORANUR JN,SRR,336,WCR
02198,JBP CBE SPECIAL,PALAKKAD JN,PGT,383,WCR
02198,JBP CBE SPECIAL,COIMBATORE JN,CBE,354,WCR
02393,RJPB NDLS SF SPL,RJNDR NGR BIHAR,RJPB,11,ECR
02393,RJPB NDLS SF SPL,PATNA JN,PNBE,14,ECR
02393,RJPB NDLS SF SPL,DANAPUR,DNR,18,ECR
02393,RJPB NDLS SF SPL,ARA,ARA,46,ECR
02393,RJPB NDLS SF SPL,BUXAR,BXR,71,ECR
02393,RJPB NDLS SF SPL,PT DEEN DAYAL UPADHYAY JN,DDU,39,ECR
02393,RJPB NDLS SF SPL,PRAYAGRAJ JN,PRYJ,96,ECR
02393,RJPB NDLS SF SPL,GOVINDPURI,GOY,202,ECR
02393,RJPB NDLS SF SPL,NEW DELHI,NDLS,255,ECR
02394,RJPB HOLI SPL,,,,
02397,GAYA ANVT SPL,,,,
02398,GAYA HOLI SPL,,,,
02525,KYQ ANVT SPECIAL,,,,
02526,KYQ HOLI SPL,,,,
02837,SRC PURI SPL,SANTRAGACHI JN,SRC,484,SER
02837,SRC PURI SPL,KHARAGPUR JN,KGP,522,SER
02837,SRC PURI SPL,BALASORE,BLS,537,SER
02837,SRC PURI SPL,BHADRAKH,BHC,537,SER
02837,SRC PURI SPL,JAJPUR K ROAD,JJKR,546,SER
