Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
12788,NSL NS EXP,NAGARSOL,NSL,10,SCR
12788,NSL NS EXP,AURANGABAD,AWB,30,SCR
12788,NSL NS EXP,JALNA,J,33,SCR
12788,NSL NS EXP,PARBHANI JN,PBN,51,SCR
12788,NSL NS EXP,PURNA JN,PAU,48,SCR
12788,NSL NS EXP,H SAHIB NANDED,NED,26,SCR
12788,NSL NS EXP,MUDKHED,MUE,28,SCR
12788,NSL NS EXP,BASAR,BSX,49,SCR
12788,NSL NS EXP,NIZAMABAD,NZB,57,SCR
12788,NSL NS EXP,KAMAREDDI,KMC,59,SCR
12788,NSL NS EXP,SECUNDERABAD JN,SC,49,SCR
12788,NSL NS EXP,KAZIPET JN,KZJ,58,SCR
12788,NSL NS EXP,WARANGAL,WL,66,SCR
12788,NSL NS EXP,MAHBUBABAD,MABD,73,SCR
12788,NSL NS EXP,KHAMMAM,KMT,82,SCR
12788,NSL NS EXP,VIJAYAWADA JN,BZA,61,SCR
12788,NSL NS EXP,GUDIVADA JN,GDV,76,SCR
12788,NSL NS EXP,KAIKOLUR,KKLR,78,SCR
12788,NSL NS EXP,AKIVIDU,AKVD,80,SCR
12788,NSL NS EXP,BHIMAVARAM TOWN,BVRT,43,SCR
12788,NSL NS EXP,PALAKOLLU,PKO,74,SCR
12788,NSL NS EXP,NARASAPUR,NS,51,SCR
