Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20958,NDLS INDB SF EXP,NEW DELHI,NDLS,4,WR
20958,NDLS INDB SF EXP,MATHURA JN,MTJ,8,WR
20958,NDLS INDB SF EXP,BHARATPUR JN,BTE,12,WR
20958,NDLS INDB SF EXP,SAWAI MADHOPUR,SWM,14,WR
20958,NDLS INDB SF EXP,KOTA JN,KOTA,5,WR
20958,NDLS INDB SF EXP,RAMGANJ MANDI,RMA,18,WR
20958,NDLS INDB SF EXP,SHAMGARH,SGZ,17,WR
20958,NDLS INDB SF EXP,NAGDA JN,NAD,1,WR
20958,NDLS INDB SF EXP,KHACHROD,KUH,11,WR
20958,NDLS INDB SF EXP,RATLAM JN,RTM,14,WR
20958,NDLS INDB SF EXP,BARNAGAR,BNG,13,WR
