Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
22131,GYAN GANGA EXP,PUNE JN,PUNE,17,CR
22131,GYAN GANGA EXP,DAUND CHORD LINE,DDCC,34,CR
22131,GYAN GANGA EXP,AHMADNAGAR,ANG,38,CR
22131,GYAN GANGA EXP,BELAPUR,BAP,48,CR
22131,GYAN GANGA EXP,KOPARGAON,KPG,52,CR
22131,GYAN GANGA EXP,MANMAD JN,MMR,34,CR
22131,GYAN GANGA EXP,BHUSAVAL JN,BSL,46,CR
22131,GYAN GANGA EXP,KHANDWA,KNW,32,CR
22131,GYAN GANGA EXP,HARDA,HD,38,CR
22131,GYAN GANGA EXP,ITARSI JN,ET,26,CR
22131,GYAN GANGA EXP,PIPARIYA,PPI,36,CR
22131,GYAN GANGA EXP,NARSINGHPUR,NU,42,CR
22131,GYAN GANGA EXP,JABALPUR,JBP,51,CR
22131,GYAN GANGA EXP,KATNI,KTE,69,CR
22131,GYAN GANGA EXP,MAIHAR,MYR,69,CR
22131,GYAN GANGA EXP,SATNA,STA,50,CR
22131,GYAN GANGA EXP,PRAYAGRAJ JN,PRYJ,46,CR
22131,GYAN GANGA EXP,PRAYAGRAJ RAMBAGH,PRRB,54,CR
22131,GYAN GANGA EXP,GYANPUR ROAD,GYN,59,CR
22131,GYAN GANGA EXP,BANARAS,BSBS,99,CR
