Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20498,FZR RMM HUMSAFAR,FIROZPUR CANT,FZR,44,NWR
20498,FZR RMM HUMSAFAR,BHATINDA JN,BTI,44,NWR
20498,FZR RMM HUMSAFAR,MANDI DABWALI,MBY,53,NWR
20498,FZR RMM HUMSAFAR,SANGARIA,SGRA,57,NWR
20498,FZR RMM HUMSAFAR,HANUMANGARH JN,HMH,54,NWR
20498,FZR RMM HUMSAFAR,ELLENABAD,ENB,57,NWR
20498,FZR RMM HUMSAFAR,NOHAR,NHR,57,NWR
20498,FZR RMM HUMSAFAR,TAHSIL BHADRA,TSD,59,NWR
20498,FZR RMM HUMSAFAR,SADULPUR JN,SDLP,61,NWR
20498,FZR RMM HUMSAFAR,CHURU,CUR,49,NWR
20498,FZR RMM HUMSAFAR,SIKAR JN,SIKR,52,NWR
20498,FZR RMM HUMSAFAR,RINGAS JN,RGS,52,NWR
20498,FZR RMM HUMSAFAR,JAIPUR,JP,46,NWR
20498,FZR RMM HUMSAFAR,KISHANGARH,KSG,61,NWR
20498,FZR RMM HUMSAFAR,AJMER JN,AII,52,NWR
20498,FZR RMM HUMSAFAR,BHILWARA,BHL,60,NWR
20498,FZR RMM HUMSAFAR,CHITTAURGARH,COR,52,NWR
20498,FZR RMM HUMSAFAR,NIMACH,NMH,49,NWR
20498,FZR RMM HUMSAFAR,MANDASOR,MDS,54,NWR
20498,FZR RMM HUMSAFAR,RATLAM JN,RTM,37,NWR
20498,FZR RMM HUMSAFAR,JN,FTD,36,NWR
20498,FZR RMM HUMSAFAR,LAKSHMIBAI NGR,LMNR,50,NWR
20498,FZR RMM HUMSAFAR,DEWAS,DWX,54,NWR
20498,FZR RMM HUMSAFAR,MAKSI,MKC,40,NWR
20498,FZR RMM HUMSAFAR,BHOPAL JN,BPL,49,NWR
20498,FZR RMM HUMSAFAR,ITARSI JN,ET,44,NWR
20498,FZR RMM HUMSAFAR,BETUL,BZU,61,NWR
20498,FZR RMM HUMSAFAR,NAGPUR,NGP,57,NWR
20498,FZR RMM HUMSAFAR,CHANDRAPUR,CD,73,NWR
20498,FZR RMM HUMSAFAR,BALHARSHAH,BPQ,51,NWR
20498,FZR RMM HUMSAFAR,WARANGAL,WL,130,NWR
20498,FZR RMM HUMSAFAR,VIJAYAWADA JN,BZA,111,NWR
20498,FZR RMM HUMSAFAR,NELLORE,NLR,104,NWR
20498,FZR RMM HUMSAFAR,GUDUR JN,GDR,106,NWR
20498,FZR RMM HUMSAFAR,CHENNAI EGMORE,MS,100,NWR
20498,FZR RMM HUMSAFAR,CHENGALPATTU,CGL,104,NWR
20498,FZR RMM HUMSAFAR,MELMARUVATTUR,MLMR,93,NWR
20498,FZR RMM HUMSAFAR,VILLUPURAM JN,VM,90,NWR
20498,FZR RMM HUMSAFAR,ARIYALUR,ALU,94,NWR
20498,FZR RMM HUMSAFAR,TIRUCHCHIRAPALI,TPJ,133,NWR
20498,FZR RMM HUMSAFAR,PUDUKKOTTAI,PDKT,150,NWR
20498,FZR RMM HUMSAFAR,MANAMADURAI JN,MNM,141,NWR
20498,FZR RMM HUMSAFAR,RAMANATHAPURAM,RMD,158,NWR
20498,FZR RMM HUMSAFAR,Unknown Station,PBMB,0,NWR
20498,FZR RMM HUMSAFAR,MANDAPAM,MMM,119,NWR
20498,FZR RMM HUMSAFAR,RAMESWARAM,RMM,0,NWR
