Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01004,SWV DR SPL,CHOPAN,CPU,0,CR
01004,SWV DR SPL,AGORI KHAS,AGY,0,CR
01004,SWV DR SPL,CHURK,CUK,0,CR
01004,SWV DR SPL,SONBHADRA,SBDR,0,CR
01004,SWV DR SPL,KHAIRAHI,KHRY,0,CR
01004,SWV DR SPL,LUSA,LUSA,0,CR
01004,SWV DR SPL,SAKTESGARH,SKGH,0,CR
01004,SWV DR SPL,VISHWANATH PURI,VWP,0,CR
01004,SWV DR SPL,CHUNAR,CAR,0,CR
01004,SWV DR SPL,MIRZAPUR,MZP,0,CR
01004,SWV DR SPL,VINDHYACHAL,BDL,0,CR
01004,SWV DR SPL,MANDA ROAD,MNF,0,CR
01004,SWV DR SPL,MEJA ROAD,MJA,0,CR
01004,SWV DR SPL,NAINI,NYN,0,CR
01004,SWV DR SPL,PRAYAGRAJ JN,PRYJ,0,CR
01004,SWV DR SPL,AHMEDABAD JN,ADI,0,CR
01004,SWV DR SPL,VADODARA JN,BRC,13,CR
01004,SWV DR SPL,UDHNA JN,UDN,44,CR
01004,SWV DR SPL,VAPI,VAPI,62,CR
01004,SWV DR SPL,VASAI ROAD,BSR,68,CR
01004,SWV DR SPL,BHIWANDI ROAD,BIRD,58,CR
01004,SWV DR SPL,THANE,TNA,32,CR
01004,SWV DR SPL,LOKMANYATILAK T,LTT,0,CR
01008,DECCAN EXPRESS,,,,
01029,KOYNA SPL,,,,
01041,DR SNSI SPECIAL,,,,
01042,SNSI DR SPECIAL,,,,
01095,ADI PUNE SF SPL,,,,
01131,DR RN SPL,LOKMANYATILAK T,LTT,14,CR
01131,DR RN SPL,THANE,TNA,12,CR
01131,DR RN SPL,PANVEL,PNVL,12,CR
01131,DR RN SPL,PEN,PEN,19,CR
01131,DR RN SPL,ROHA,ROHA,3,CR
01131,DR RN SPL,MANGAON,MNI,12,CR
01131,DR RN SPL,KHED,KHED,54,CR
01131,DR RN SPL,CHIPLUN,CHI,58,CR
01131,DR RN SPL,SANGMESHWAR,SGR,76,CR
01131,DR RN SPL,RATNAGIRI,RN,105,CR
01131,DR RN SPL,ADAVALI,ADVI,108,CR
01131,DR RN SPL,VILAVADE,VID,107,CR
01131,DR RN SPL,RAJAPUR ROAD,RAJP,94,CR
01131,DR RN SPL,VAIBHAVWADI RD,VBW,97,CR
01131,DR RN SPL,KANKAVALI,KKW,108,CR
01131,DR RN SPL,SINDHUDURG,SNDD,107,CR
01131,DR RN SPL,KUDAL,KUDL,101,CR
01131,DR RN SPL,SAWANTWADI ROAD,SWV,32,CR
01132,RN DR SPL,,,,
01221,NZM RAJDHANI SPL,,,,
01222,CSMT RAJDNI SPL,,,,
01223,ERS DURONTO SPL,,,,
01265,MML ABKP SPL,,,,
01266,ABKP JBP SPL,NAGPUR,NGP,254,WCR
01266,ABKP JBP SPL,AJNI,AJNI,250,WCR
01266,ABKP JBP SPL,SEVAGRAM,SEGM,332,WCR
01266,ABKP JBP SPL,WARDHA JN,WR,326,WCR
01266,ABKP JBP SPL,PULGAON JN,PLO,333,WCR
01266,ABKP JBP SPL,DHAMANGAON,DMN,335,WCR
01266,ABKP JBP SPL,BADNERA JN,BD,312,WCR
01266,ABKP JBP SPL,MURTAJAPUR,MZR,323,WCR
01266,ABKP JBP SPL,AKOLA JN,AK,315,WCR
01266,ABKP JBP SPL,JALAMB JN,JM,318,WCR
01266,ABKP JBP SPL,MALKAPUR,MKU,323,WCR
01266,ABKP JBP SPL,BHUSAVAL JN,BSL,265,WCR
01266,ABKP JBP SPL,JALGAON JN,JL,253,WCR
01266,ABKP JBP SPL,CHALISGAON JN,CSN,222,WCR
01266,ABKP JBP SPL,MANMAD JN,MMR,222,WCR
01266,ABKP JBP SPL,NASIK ROAD,NK,188,WCR
01266,ABKP JBP SPL,IGATPURI,IGP,157,WCR
01266,ABKP JBP SPL,KASARA,KSRA,177,WCR
01266,ABKP JBP SPL,KALYAN JN,KYN,49,WCR
01266,ABKP JBP SPL,DADAR,DR,98,WCR
01266,ABKP JBP SPL,C SHIVAJI TERM MUMBAI,CSMT,96,WCR
01271,ET BPL SPECIAL,,,,
01272,BPL ET SPECIAL,,,,
01435,SUR LTT SPECIAL,SOLAPUR JN,SUR,7,CR
01435,SUR LTT SPECIAL,AKALKOT ROAD,AKOR,18,CR
01435,SUR LTT SPECIAL,GANAGAPUR ROAD,GUR,23,CR
01435,SUR LTT SPECIAL,KALABURAGI JN,KLBG,38,CR
01435,SUR LTT SPECIAL,HUMNABAD,HMBD,32,CR
01435,SUR LTT SPECIAL,BIDAR,BIDR,115,CR
01435,SUR LTT SPECIAL,BHALKI,BHLK,136,CR
01435,SUR LTT SPECIAL,UDGIR,UDGR,479,CR
01435,SUR LTT SPECIAL,LATUR ROAD,LTRR,465,CR
01435,SUR LTT SPECIAL,LATUR,LUR,101,CR
01435,SUR LTT SPECIAL,USMANABAD,UMD,95,CR
01435,SUR LTT SPECIAL,BARSI TOWN,BTW,84,CR
01435,SUR LTT SPECIAL,KURDUVADI,KWV,105,CR
01435,SUR LTT SPECIAL,DAUND JN,DD,104,CR
01435,SUR LTT SPECIAL,PUNE JN,PUNE,119,CR
01435,SUR LTT SPECIAL,PANVEL,PNVL,209,CR
01435,SUR LTT SPECIAL,THANE,TNA,269,CR
01435,SUR LTT SPECIAL,LOKMANYATILAK T,LTT,0,CR
01436,LTT SUR SPECIAL,LOKMANYATILAK T,LTT,7,CR
01436,LTT SUR SPECIAL,THANE,TNA,3,CR
01436,LTT SUR SPECIAL,PANVEL,PNVL,52,CR
01436,LTT SUR SPECIAL,PUNE JN,PUNE,121,CR
01436,LTT SUR SPECIAL,DAUND JN,DD,150,CR
01436,LTT SUR SPECIAL,KURDUVADI,KWV,162,CR
01436,LTT SUR SPECIAL,BARSI TOWN,BTW,184,CR
01436,LTT SUR SPECIAL,USMANABAD,UMD,181,CR
01436,LTT SUR SPECIAL,LATUR,LUR,163,CR
01436,LTT SUR SPECIAL,LATUR ROAD,LTRR,91,CR
01436,LTT SUR SPECIAL,UDGIR,UDGR,91,CR
01436,LTT SUR SPECIAL,BHALKI,BHLK,106,CR
01436,LTT SUR SPECIAL,BIDAR,BIDR,147,CR
01436,LTT SUR SPECIAL,HUMNABAD,HMBD,360,CR
01436,LTT SUR SPECIAL,KALABURAGI JN,KLBG,402,CR
