Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
01004,SWV DR SPL,,,,
01008,DECCAN EXPRESS,,,,
01029,KOYNA SPL,,,,
01041,DR SNSI SPECIAL,,,,
01042,SNSI DR SPECIAL,,,,
01095,ADI PUNE SF SPL,,,,
01131,DR RN SPL,LOKMANYATILAK T,LTT,14,CR
01131,DR RN SPL,THANE,TNA,12,CR
01131,DR RN SPL,PANVEL,PNVL,12,CR
01131,DR RN SPL,PEN,PEN,19,CR
01131,DR RN SPL,ROHA,ROHA,3,CR
01131,DR RN SPL,MANGAON,MNI,12,CR
01131,DR RN SPL,KHED,KHED,54,CR
01131,DR RN SPL,CHIPLUN,CHI,58,CR
01131,DR RN SPL,SANGMESHWAR,SGR,76,CR
01131,DR RN SPL,RATNAGIRI,RN,105,CR
01131,DR RN SPL,ADAVALI,ADVI,108,CR
01131,DR RN SPL,VILAVADE,VID,107,CR
01131,DR RN SPL,RAJAPUR ROAD,RAJP,94,CR
01131,DR RN SPL,VAIBHAVWADI RD,VBW,97,CR
01131,DR RN SPL,KANKAVALI,KKW,108,CR
01131,DR RN SPL,SINDHUDURG,SNDD,107,CR
01131,DR RN SPL,KUDAL,KUDL,101,CR
01131,DR RN SPL,SAWANTWADI ROAD,SWV,32,CR
01132,RN DR SPL,,,,
01221,NZM RAJDHANI SPL,,,,
01222,CSMT RAJDNI SPL,,,,
01223,ERS DURONTO SPL,,,,
01265,MML ABKP SPL,,,,
01266,ABKP JBP SPL,,,,
01271,ET BPL SPECIAL,,,,
01272,BPL ET SPECIAL,,,,
01435,SUR LTT SPECIAL,SOLAPUR JN,SUR,12,CR
01435,SUR LTT SPECIAL,AKALKOT ROAD,AKOR,22,CR
01435,SUR LTT SPECIAL,GANAGAPUR ROAD,GUR,26,CR
01435,SUR LTT SPECIAL,KALABURAGI JN,KLBG,42,CR
01435,SUR LTT SPECIAL,HUMNABAD,HMBD,23,CR
01435,SUR LTT SPECIAL,BIDAR,BIDR,107,CR
01435,SUR LTT SPECIAL,BHALKI,BHLK,105,CR
01435,SUR LTT SPECIAL,UDGIR,UDGR,1209,CR
