Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
22924,BDTS HUMSAFAR,JAMNAGAR,JAM,56,WR
22924,BDTS HUMSAFAR,HAPA,HAPA,57,WR
22924,BDTS HUMSAFAR,RAJKOT JN,RJT,71,WR
22924,BDTS HUMSAFAR,WANKANER JN,WKR,68,WR
22924,BDTS HUMSAFAR,SURENDRANAGAR JN,SUNR,62,WR
22924,BDTS HUMSAFAR,VIRAMGAM JN,VG,53,WR
22924,BDTS HUMSAFAR,AHMEDABAD JN,ADI,62,WR
22924,BDTS HUMSAFAR,ANAND JN,ANND,60,WR
22924,BDTS HUMSAFAR,VADODARA JN,BRC,60,WR
22924,BDTS HUMSAFAR,BHARUCH JN,BH,64,WR
22924,BDTS HUMSAFAR,UDHNA JN,UDN,62,WR
22924,BDTS HUMSAFAR,VAPI,VAPI,68,WR
22924,BDTS HUMSAFAR,BORIVALI,BVI,76,WR
22924,BDTS HUMSAFAR,BANDRA TERMINUS,BDTS,57,WR
