Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
07029,AGTL SC SPECIAL,AGARTALA,AGTL,5,SCR
07029,AGTL SC SPECIAL,AMBASA,ABSA,3,SCR
07029,AGTL SC SPECIAL,DHARMANAGAR,DMR,0,SCR
07029,AGTL SC SPECIAL,NEW KARIMGANJ,NKMG,13,SCR
07029,AGTL SC SPECIAL,BADARPUR JN,BPB,27,SCR
07029,AGTL SC SPECIAL,NEW HAFLONG,NHLG,65,SCR
07029,AGTL SC SPECIAL,GUWAHATI,GHY,165,SCR
07029,AGTL SC SPECIAL,KAMAKHYA,KYQ,159,SCR
07029,AGTL SC SPECIAL,NEW BONGAIGAON,NBQ,151,SCR
07029,AGTL SC SPECIAL,NEW ALIPURDAUR,NOQ,159,SCR
07029,AGTL SC SPECIAL,NEW COOCH BEHAR,NCB,194,SCR
07029,AGTL SC SPECIAL,JALPAIGURI ROAD,JPE,183,SCR
07029,AGTL SC SPECIAL,NEW JALPAIGURI,NJP,195,SCR
07029,AGTL SC SPECIAL,KISHANGANJ,KNE,211,SCR
07029,AGTL SC SPECIAL,MALDA TOWN,MLDT,278,SCR
07029,AGTL SC SPECIAL,RAMPUR HAT,RPH,314,SCR
07029,AGTL SC SPECIAL,BOLPUR S NIKTN,BHP,348,SCR
07029,AGTL SC SPECIAL,BARDDHAMAN JN,BWN,336,SCR
07029,AGTL SC SPECIAL,DANKUNI,DKAE,350,SCR
07029,AGTL SC SPECIAL,KHARAGPUR JN,KGP,389,SCR
07029,AGTL SC SPECIAL,BALASORE,BLS,428,SCR
07029,AGTL SC SPECIAL,BHADRAKH,BHC,429,SCR
07029,AGTL SC SPECIAL,CUTTACK,CTC,455,SCR
07029,AGTL SC SPECIAL,BHUBANESWAR,BBS,457,SCR
07029,AGTL SC SPECIAL,KHURDA ROAD JN,KUR,397,SCR
07029,AGTL SC SPECIAL,BRAHMAPUR,BAM,529,SCR
07029,AGTL SC SPECIAL,SRIKAKULAM ROAD,CHE,429,SCR
07029,AGTL SC SPECIAL,VIZIANAGRAM JN,VZM,454,SCR
07029,AGTL SC SPECIAL,KOTTAVALASA,KTV,456,SCR
07029,AGTL SC SPECIAL,PENDURTI,PDT,467,SCR
07029,AGTL SC SPECIAL,DUVVADA,DVD,444,SCR
07029,AGTL SC SPECIAL,RAJAMUNDRY,RJY,551,SCR
07029,AGTL SC SPECIAL,VIJAYAWADA JN,BZA,574,SCR
07029,AGTL SC SPECIAL,GUNTUR JN,GNT,587,SCR
07029,AGTL SC SPECIAL,SECUNDERABAD JN,SC,465,SCR
