Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
22920,ADI MAS HUMSAFAR,AHMEDABAD JN,ADI,6,WR
22920,ADI MAS HUMSAFAR,ANAND JN,ANND,7,WR
22920,ADI MAS HUMSAFAR,VADODARA JN,BRC,10,WR
22920,ADI MAS HUMSAFAR,SURAT,ST,7,WR
22920,ADI MAS HUMSAFAR,PALGHAR,PLG,8,WR
22920,ADI MAS HUMSAFAR,VASAI ROAD,BSR,8,WR
22920,ADI MAS HUMSAFAR,KALYAN JN,KYN,22,WR
22920,ADI MAS HUMSAFAR,PUNE JN,PUNE,22,WR
22920,ADI MAS HUMSAFAR,SOLAPUR JN,SUR,25,WR
22920,ADI MAS HUMSAFAR,KALABURAGI JN,KLBG,33,WR
22920,ADI MAS HUMSAFAR,RAICHUR,RC,14,WR
22920,ADI MAS HUMSAFAR,GUNTAKAL JN,GTL,7,WR
22920,ADI MAS HUMSAFAR,RENIGUNTA JN,RU,6,WR
