Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20830,VANDE BHARAT EXP,VISHAKAPATNAM,VSKP,19,SECR
20830,VANDE BHARAT EXP,VIZIANAGRAM JN,VZM,20,SECR
20830,VANDE BHARAT EXP,PARVATIPURAM,PVP,18,SECR
20830,VANDE BHARAT EXP,RAYAGADA,RGDA,18,SECR
20830,VANDE BHARAT EXP,KESINGA,KSNG,38,SECR
20830,VANDE BHARAT EXP,TITLAGARH,TIG,41,SECR
20830,VANDE BHARAT EXP,KANTABANJI,KBJ,49,SECR
20830,VANDE BHARAT EXP,KHARIAR ROAD,KRAR,56,SECR
20830,VANDE BHARAT EXP,MAHASAMUND,MSMD,52,SECR
20830,VANDE BHARAT EXP,RAIPUR JN,R,31,SECR
20830,VANDE BHARAT EXP,DURG,DURG,19,SECR
