Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20836,VANDE BHARAT EXP,PURI,PURI,2,ECOR
20836,VANDE BHARAT EXP,KHURDA ROAD JN,KUR,3,ECOR
20836,VANDE BHARAT EXP,BHUBANESWAR,BBS,7,ECOR
20836,VANDE BHARAT EXP,CUTTACK,CTC,10,ECOR
20836,VANDE BHARAT EXP,DHENKANAL,DNKL,6,ECOR
20836,VANDE BHARAT EXP,TALCHER ROAD,TLHD,6,ECOR
20836,VANDE BHARAT EXP,ANGUL,ANGL,11,ECOR
20836,VANDE BHARAT EXP,RAIRAKHOL,RAIR,12,ECOR
20836,VANDE BHARAT EXP,SAMBALPUR CITY,SBPY,15,ECOR
20836,VANDE BHARAT EXP,JHARSUGUDA JN,JSG,6,ECOR
