Train_No,Train_Name,Station_Name,Station_Code,Delay,Zone
20830,VANDE BHARAT EXP,VISHAKAPATNAM,VSKP,16,SECR
20830,VANDE BHARAT EXP,VIZIANAGRAM JN,VZM,19,SECR
20830,VANDE BHARAT EXP,PARVATIPURAM,PVP,16,SECR
20830,VANDE BHARAT EXP,RAYAGADA,RGDA,15,SECR
20830,VANDE BHARAT EXP,KESINGA,KSNG,29,SECR
20830,VANDE BHARAT EXP,TITLAGARH,TIG,33,SECR
20830,VANDE BHARAT EXP,KANTABANJI,KBJ,36,SECR
20830,VANDE BHARAT EXP,KHARIAR ROAD,KRAR,42,SECR
20830,VANDE BHARAT EXP,MAHASAMUND,MSMD,44,SECR
20830,VANDE BHARAT EXP,RAIPUR JN,R,23,SECR
20830,VANDE BHARAT EXP,DURG,DURG,23,SECR
